"rownum","LegionFactionsKey","LegionRanksKey","i32","i32","i32","i32","i32","i32"
0,0,0,50,60,0,95,5,1
1,0,1,20,30,20,95,3,1
2,0,2,0,0,40,100,2,1
3,0,3,0,0,90,100,1,1
4,1,0,50,60,0,95,4,1
5,1,1,20,30,20,95,3,1
6,1,2,0,0,40,100,2,1
7,1,3,0,0,90,100,1,1
8,2,0,50,60,0,95,1,1
9,2,1,20,30,20,95,2,1
10,2,2,0,0,40,100,2,1
11,2,3,0,0,90,100,1,1
12,3,0,50,60,0,95,2,1
13,3,1,20,30,20,95,3,1
14,3,2,0,0,40,100,2,1
15,3,3,0,0,90,100,1,1
16,4,0,50,60,0,95,3,1
17,4,1,20,30,20,95,2,1
18,4,2,0,0,40,100,2,1
19,4,3,0,0,90,100,1,1
20,0,4,50,60,0,95,5,6
21,0,5,20,30,20,95,3,6
22,0,6,0,2,40,100,2,6
23,0,7,0,0,90,100,1,6
24,1,4,50,60,0,95,4,6
25,1,5,20,30,20,95,3,6
26,1,6,0,2,40,100,2,6
27,1,7,0,0,90,100,1,6
28,2,4,50,60,0,95,1,6
29,2,5,20,30,20,95,2,6
30,2,6,0,2,40,100,2,6
31,2,7,0,0,90,100,1,6
32,3,4,50,60,0,95,2,6
33,3,5,20,30,20,95,3,6
34,3,6,0,2,40,100,2,6
35,3,7,0,0,90,100,1,6
36,4,4,50,60,0,95,3,6
37,4,5,20,30,20,95,2,6
38,4,6,0,2,40,100,2,6
39,4,7,0,0,90,100,1,6
40,0,8,50,60,0,95,5,10
41,0,9,20,30,20,95,3,10
42,0,10,1,3,40,100,2,10
43,0,11,0,0,90,100,1,10
44,1,8,50,60,0,95,4,10
45,1,9,20,30,20,95,3,10
46,1,10,1,3,40,100,2,10
47,1,11,0,0,90,100,1,10
48,2,8,50,60,0,95,1,10
49,2,9,20,30,20,95,2,10
50,2,10,1,3,40,100,2,10
51,2,11,0,0,90,100,1,10
52,3,8,50,60,0,95,2,10
53,3,9,20,30,20,95,3,10
54,3,10,1,3,40,100,2,10
55,3,11,0,0,90,100,1,10
56,4,8,50,60,0,95,3,10
57,4,9,20,30,20,95,2,10
58,4,10,1,3,40,100,2,10
59,4,11,0,0,90,100,1,10
60,0,16,50,60,0,95,5,20
61,0,17,20,30,20,95,3,20
62,0,18,2,3,50,100,2,20
63,0,19,0,0,90,100,1,20
64,1,16,50,60,0,95,4,20
65,1,17,20,30,20,95,3,20
66,1,18,2,3,40,100,2,20
67,1,19,0,0,90,100,1,20
68,2,16,50,60,0,95,1,20
69,2,17,20,30,20,95,2,20
70,2,18,2,3,40,100,2,20
71,2,19,0,0,90,100,1,20
72,3,16,50,60,0,95,2,20
73,3,17,20,30,20,95,3,20
74,3,18,2,3,40,100,2,20
75,3,19,0,0,90,100,1,20
76,4,16,50,60,0,95,3,20
77,4,17,20,30,20,95,2,20
78,4,18,2,3,40,100,2,20
79,4,19,0,0,90,100,1,20
80,0,24,50,60,0,95,5,41
81,0,25,20,30,20,95,3,41
82,0,26,3,4,40,100,2,41
83,0,27,0,0,90,100,1,41
84,1,24,50,60,0,95,4,41
85,1,25,20,30,20,95,3,41
86,1,26,3,4,40,100,2,41
87,1,27,0,0,90,100,1,41
88,2,24,50,60,0,95,1,41
89,2,25,20,30,20,95,2,41
90,2,26,3,4,40,100,2,41
91,2,27,0,0,90,100,1,41
92,3,24,50,60,0,95,2,41
93,3,25,20,30,20,95,3,41
94,3,26,3,4,40,100,2,41
95,3,27,0,0,90,100,1,41
96,4,24,50,60,0,95,3,41
97,4,25,20,30,20,95,2,41
98,4,26,3,4,40,100,2,41
99,4,27,0,0,90,100,1,41
100,0,28,50,60,0,95,5,46
101,0,29,20,30,20,95,3,46
102,0,30,3,4,40,100,2,46
103,0,31,1,1,90,100,1,46
104,1,28,50,60,0,95,4,46
105,1,29,20,30,20,95,3,46
106,1,30,3,4,40,100,2,46
107,1,31,1,1,90,100,1,46
108,2,28,50,60,0,95,1,46
109,2,29,20,30,20,95,2,46
110,2,30,3,4,40,100,2,46
111,2,31,1,1,90,100,1,46
112,3,28,50,60,0,95,2,46
113,3,29,20,30,20,95,3,46
114,3,30,3,4,40,100,2,46
115,3,31,1,1,90,100,1,46
