"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","bool","bool","AwakenedVariant","RegularVariant"
0,4967,0,0,0,100,"[11,25,5,4,14,0]",5176,"","","","","","",1,1,"",""
1,5176,2877,0,0,100,"[11,25,24,5,4,14,0]","",1,"","",0,"","",1,1,"",""
2,4968,58,0,0,100,"[11,25,4,14,1,38]",5185,"","","","","","",1,1,"",""
3,5008,4881,0,0,100,"[11,25,4,14,5]",5176,"","","","","","",1,1,"",""
4,5185,67,0,0,100,"[11,25,24,4,14,1,38]","",1,"","",58,"","",1,1,"",""
5,4969,96,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","",1,1,"",""
6,5021,4849,100,0,100,"[11,25,4,14,5,1]","","","","","","","",1,1,"",""
7,4970,7552,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","",1,1,"",""
8,4971,4867,0,60,40,"[10,25,13,14,30,33,7]","","","","","","","",1,1,"",""
9,4972,100,100,0,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
10,4973,6906,100,0,0,"[9,25,13,14,7]","","","","","","","",1,1,"",""
11,5206,102,100,0,0,"[9,25,24,13,14,33,7]","",1,"","","","","",1,1,"",""
12,5186,4936,0,0,0,"[25,4,5,22]","","","","","","","",1,1,"",""
13,4974,7607,100,0,0,"[9,25,13,14,40,7]",5188,"","","","","","",1,1,"",""
14,5188,7611,100,0,0,"[9,25,24,13,14,40,7]","",1,"","",7607,"","",1,1,"",""
15,4975,163,60,40,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
16,4976,184,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","",1,1,"",""
17,4977,223,100,0,0,"[27,9,25,14,15]","","","","","","","",1,1,"",""
18,4978,233,0,100,0,"[10,25,13,7,36,33]",5194,"","","","","","",1,1,"",""
19,5194,7605,0,100,0,"[10,25,24,13,7,36,15,33]","",1,"","",233,"","",1,1,"",""
20,4979,4915,40,60,0,"[10,25,13,14,33,7]","","","","","","","",1,1,"",""
21,4980,241,0,100,0,"[10,25,13,5,7,36,0,1,2,14,45,6]","","","","","","","",1,1,"",""
22,4981,253,100,0,0,"[9,25,4,15,34]","","","","","","","",1,1,"",""
23,5182,255,100,0,0,"[9,25,24,4,15,34]","",1,"","",253,"","",1,1,"",""
24,4982,259,40,60,0,"[47,10,25,13,7,36]","","","","","","","",1,1,"",""
25,4983,270,0,60,40,"[10,25,13,22,35,7]","","","","","","","",1,1,"",""
26,4984,303,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","",1,1,"",""
27,4987,309,0,60,40,"[10,25,4,14,0]",5187,"","","","","","",1,1,"",""
28,5187,7606,0,60,40,"[10,25,24,4,14,0]","",1,"","",309,"","",1,1,"",""
29,4988,6898,0,60,40,"[10,25,4,14,0]","","","","","","","",1,1,"",""
30,4989,6907,0,60,40,"[10,25,4,5,14,33]","","","","","","","",1,1,"",""
31,4990,327,0,100,0,"[10,25,13,5,6]","","","","","","","",1,1,"",""
32,4995,328,0,100,0,"[10,25,13,5,33,6]","","","","","","","",1,1,"",""
33,4996,506,100,0,0,"[0,33,9,16]","","","Supports any skill that hits enemies.",13038,"","","",1,1,433,""
34,4997,507,0,100,0,"[13,10,16]","","","Supports attack skills.",13133,"","","",1,1,"",""
