"rownum","Id","i32","[i32]","UnlockType","CraftingItemClassCategories","ObtainingDescription"
0,"JunAddedColdAndLightningDamage",1,"[1,1,1]","Added Cold and Lightning Damage - Rank","[4,9,13]","Unveiling shields, rings or quivers"
1,"JunAddedFireAndColdDamage",1,"[1,1,1]","Added Fire and Cold Damage - Rank","[4,9,13]","Unveiling shields, rings or quivers"
2,"JunAddedFireAndLightningDamage",1,"[1,1,1]","Added Fire and Lightning Damage - Rank","[4,9,13]","Unveiling shields, rings or quivers"
3,"JunAllDamage",1,"[1,1]","Damage - Rank","[9,11]","Unveiling certain rings or belts from Leo"
4,"JunAlwaysHits",1,[1],"Hits can't be Evaded","[0,1]","Unveiling certain melee weapons from Vagan"
5,"JunArmourAndEnergyShield",1,"[1,1,1]","Armour and Energy Shield - Rank",[11],"Unveiling belts"
6,"JunArmourAndEvasionRating",1,"[1,1,1]","Armour and Evasion Rating - Rank","[11,13]","Unveiling belts or quivers"
7,"JunAttackAndCastSpeed",1,"[1,1,1]","Attack and Cast Speed - Rank","[10,13]","Unveiling amulets or quivers"
8,"JunAttackAndCastSpeedWhileFocused",1,"[1,1,1]","Attack and Cast Speed while Focused - Rank",[7],"Unveiling gloves"
9,"JunAttackSpeedPercentIfRareOrUniqueEnemyNearby",1,"[1,1,1]","Attack Speed while a Rare or Unique Enemy is Nearby - Rank","[0,1,2,3]","Unveiling weapons"
10,"JunAvoidElementalDamageChancePercentDuringSoulGainPrevention",1,"[1,1]","Avoid Elemental Damage during Soul Gain Prevention - Rank","[6,5]","Unveiling body armour or helmets"
11,"JunAvoidFreeze",1,"[1,1]","Avoid Freeze - Rank",[8],"Unveiling certain boots from Rin Yuushu"
12,"JunBaseLifeAndMana",1,"[1,1,1]","Life and Mana - Rank","[5,7,8,9,10,11,13]","Unveiling helmets, gloves, boots, rings, amulets, belts or quivers"
13,"JunBleedOnHitGained",1,"[1,1]","Added Physical Damage and Bleeding on Hit - Rank","[0,1,2,3]","Unveiling certain weapons from Tora"
14,"JunChanceToDealDoubleDamageWhileFocused",1,"[1,1,1]","Chance to Deal Double Damage while Focused - Rank","[0,1,2,3]","Unveiling weapons"
15,"JunChanceToNotConsumeFlaskCharges",1,"[1,1]","Chance for Flasks to not Consume Charges - Rank",[11],"Unveiling belts"
16,"JunChaosDamageAndChaosSkillDuration",1,"[1,1,1]","Chaos Damage and Chaos Skill Effect Duration - Rank","[0,1,2,3]","Unveiling weapons"
17,"JunChaosNonAilmentDamageOverTimeMultiplier",1,"[1,1,1]","Physical and Chaos Damage over Time Multiplier - Rank","[0,1,2,3]","Unveiling weapons"
18,"JunChaosPenetrationWithAttacks",1,"[1,1,1]","Weapon Chaos Resistance Penetration - Rank","[0,1,2,3]","Unveiling weapons"
19,"JunColdDamageAndBaseChanceToFreeze",1,"[1,1,1]","Cold Damage and Chance to Freeze - Rank","[0,1,2,3]","Unveiling weapons"
20,"JunColdDamageOnCritAndCritChance",1,"[1,1]","Critical Strike Chance and Critical Multiplier on Shatter - Rank",[9],"Unveiling certain rings from Cameria the Coldblooded"
21,"JunColdDamageOverTimeMultiplier",1,"[1,1,1]","Fire and Cold Damage over Time Multiplier - Rank","[0,1,2,3]","Unveiling weapons"
22,"JunCriticalChanceAndAddedChaosDamageIfHaveCritRecently",1,"[1,1,1]","Critical Chance and Added Chaos Damage on Critical Strike - Rank","[7,13]","Unveiling gloves or quivers"
23,"JunCriticalChanceAndElementalDamagePercentIfHaveCritRecently",1,"[1,1,1]","Critical Chance and Elemental Damage on Critical Strike - Rank","[7,13]","Unveiling gloves or quivers"
24,"JunCriticalChanceAndGainFrenzyChargeOnCriticalStrikePercent",1,"[1,1,1]","Critical Chance and Gain Frenzy Charge on Critical Strike - Rank",[13],"Unveiling quivers"
25,"JunCriticalStrikeMultiplierIfRareOrUniqueEnemyNearby",1,"[1,1,1]","Critical Strike Multiplier while a Rare or Unique Enemy is Nearby - Rank","[0,1,2,3]","Unveiling weapons"
26,"JunCurseEffect",1,"[1,1]","Curse Effect - Rank",[4],"Unveiling shields"
27,"JunDamageDuringFlaskEffect",1,"[1,1]","Damage during Flask Effect - Rank",[7],"Unveiling certain gloves from Guff Grenn"
28,"JunDamagePerEnduranceCharge",1,[1],"Damage per Endurance Charge","[0,1,2,3]","Unveiling weapons"
29,"JunDamagePerFrenzyCharge",1,[1],"Damage per Frenzy Charge","[0,1,2,3]","Unveiling weapons"
30,"JunDamagePerPowerCharge",1,[1],"Damage per Power Charge","[0,1,2,3]","Unveiling weapons"
31,"JunDamagePlusPercentWithNonVaalSkillsDuringSoulGainPrevention",1,"[1,1,1]","Damage with Non-Vaal Skills during Soul Gain Prevention - Rank","[8,7]","Unveiling boots or gloves"
32,"JunDamageRemovedFromManaBeforeLifeWhileFocused",1,[1],"Damage taken from Mana before Life while Focused",[6],"Unveiling body armour"
33,"JunDamageWhileLeeching",1,"[1,1]","Damage while Leeching - Rank","[7,10]","Unveiling certain gloves or amulets from Vorici"
34,"JunDexterityAndIntelligence",1,"[1,1,1]","Dexterity and Intelligence - Rank","[6,8,7,5,4,10,11,9,13]","Unveiling body armour, boots, gloves, helmets, shields, amulets, belts, rings or quivers"
35,"JunDodgeChanceDuringFocus",1,"[1,1,1]","Dodge Chance while Focused - Rank","[5,8]","Unveiling helmets or boots"
36,"JunDoubleDamageChance",1,"[1,1]","Chance to deal Double Damage - Rank","[0,1,2,3]","Unveiling weapons"
37,"JunWolfOnKill",1,[1],"Summon Spectral Wolf on Kill",[10],"Unveiling certain amulets from Thane Jorgin"
38,"JunEffectOfAilments",1,"[1,1]","Effect of non-Damaging Ailments - Rank","[8,10]","Unveiling boots or amulets"
39,"JunElementalPenetrationWithAttacks",1,"[1,1,1]","Weapon Elemental Resistance Penetration - Rank","[0,1,2,3]","Unveiling weapons"
40,"JunEnergyShieldRegenerationRatePerMinuteIfRareOrUniqueEnemyNearby",1,"[1,1,1]","Energy Shield Regeneration while a Rare or Unique Enemy is Nearby - Rank","[6,11]","Unveiling body armour or belts"
41,"JunEvasionRatingAndEnergyShield",1,"[1,1,1]","Evasion Rating and Energy Shield - Rank","[11,13]","Unveiling belts or quivers"
42,"JunFireDamageAndChanceToIgnite",1,"[1,1,1]","Fire Damage and Chance to Ignite - Rank","[0,1,2,3]","Unveiling weapons"
43,"JunFlaskEffect",1,"[1,1,1]","Flask Effect - Rank",[11],"Unveiling belts"
44,"JunFlaskEffectAndFlaskChargesGained",1,"[1,1]","Flask Effect and reduced Flask Charges Gained - Rank",[11],"Unveiling belts"
45,"JunFortifyEffectWhileFocused",1,"[1,1,1]","Effect of Fortify while Focused - Rank",[6],"Unveiling body armour"
46,"JunGainOnslaughtDuringSoulGainPrevention",1,[1],"Onslaught during Soul Gain Prevention","[8,7]","Unveiling boots or gloves"
47,"JunBrandAttachmentRange",1,"[1,1,1]","Brand Attachment Range - Rank","[10,7]","Unveiling amulets or gloves"
48,"JunGlobalCooldownRecovery",1,"[1,1]","Cooldown Recovery Speed - Rank",[11],"Unveiling belts"
49,"JunImmuneToStatusAilmentsWhileFocused",1,[1],"Immune to Ailments while Focused and Focus Cooldown Recovery",[8],"Unveiling boots"
50,"JunIncreasedChaosAndPhysicalDamage",1,"[1,1]","Chaos and Physical Damage - Rank",[9],"Unveiling certain rings from Aisling Laffrey"
51,"JunIncreasedDefencesAndLife",1,"[1,1,1]","Defences and Life - Rank","[6,8,7,5,4]","Unveiling body armour, boots, gloves, helmets or shields"
52,"JunIncreasedFireAndLightningDamage",1,"[1,1]","Fire and Lightning Damage - Rank",[9],"Unveiling certain rings from Riker Maloney"
53,"JunIncreasedManaAndRegen",1,"[1,1,1]","Mana and Mana Regenerated per Second - Rank","[9,10]","Unveiling rings or amulets"
54,"JunItemRarityFromRareAndUniqueEnemies",1,"[1,1]","Rarity of Items from Rare and Unique Enemies - Rank",[5],"Unveiling certain helmets from Janus Perandus"
55,"JunLifeAddedAsEnergyShield",1,"[1,1]","Maximum Life as Extra Energy Shield - Rank",[6],"Unveiling certain body armour from Gravicius Reborn"
56,"JunLifeLeechFromAnyDamagePermyriadWhileFocused",1,[1],"Vaal Pact and Damage Leeched as Life while Focused",[10],"Unveiling amulets"
57,"JunLifeRegeneration",1,"[1,1]","Life Regeneration - Rank","[10,4]","Unveiling amulets or shields"
58,"JunLifeRegenerationPerEvasionDuringFocus",1,[1],"Evasion Rating Regenerated as Life while Focused",[6],"Unveiling body armour"
59,"JunLightningDamageAndChanceToShock",1,"[1,1,1]","Lightning Damage and Chance to Shock - Rank","[0,1,2,3]","Unveiling weapons"
60,"JunLocalFlaskAvoidStunChanceAndMovementSpeedDuringFlaskEffect",1,[1],"Chance to Avoid Stun during Flask Effect",[12],"Unveiling flasks"
