"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32"
0,1079,6356,"",14,1,5
1,1080,6209,"",0,1,5
2,1081,6223,"",0,6,10
3,1082,6222,"",1,6,10
4,1254,6268,"",3,1,5
5,1083,6346,"",16,1,5
6,1084,6348,"",0,1,5
7,1085,6207,"",5,1,5
8,1086,6213,"",2,1,5
9,1087,6214,"",4,1,5
10,1088,6217,"",0,1,5
11,1089,6354,"",0,6,10
12,1090,6340,"",0,1,5
13,1091,6311,"",9,1,5
14,1092,6283,"",0,1,5
15,1093,6304,"",5,6,10
16,1094,6228,"",0,1,5
17,1095,6277,"",3,6,10
18,1096,6227,"",0,1,5
19,1097,6250,"",13,6,10
20,1098,6204,"",12,1,5
21,1099,6351,"",0,6,10
22,1100,6347,"",9,1,5
23,1101,6352,"",0,11,15
24,1102,6243,"",2,1,5
25,1103,7760,"",2,0,0
26,1104,6282,"",3,6,10
27,1106,6216,"",4,1,5
28,1107,6299,"",5,6,10
29,1108,6312,"",0,1,5
30,1109,6298,"",3,11,15
31,1110,6236,"",2,11,15
32,1249,6287,"",0,1,5
33,1251,6281,"",5,1,5
34,1252,6308,"",10,1,5
35,1253,6303,"",11,1,5
36,1255,6232,"",0,1,5
37,1256,6240,"",3,1,5
38,1111,6350,"",8,6,10
39,1112,6345,"",15,1,5
40,1113,6337,"",1,1,5
41,1114,6306,"",5,1,5
42,1115,10255,"",5,0,0
43,1116,6215,"",0,1,5
44,1117,6218,"",9,6,10
45,1118,6245,"",3,6,10
46,1119,6293,"",0,6,10
47,1120,6234,"",3,6,10
48,1121,6258,"",7,1,5
49,1122,6338,"",4,1,5
50,1123,6344,"",16,1,5
51,1124,6208,"",0,1,5
52,1125,6224,"",0,11,15
53,1126,6220,"",0,6,10
54,1127,6244,"",14,1,5
55,1128,6246,"",4,1,5
56,1129,6252,"",12,1,5
57,1130,6260,"",3,1,5
58,1131,7269,"",3,0,0
59,1132,6257,"",4,11,15
60,1133,10024,"",4,0,0
61,1134,6286,"",13,6,10
62,1135,6339,"",0,6,10
63,1136,6333,"",0,6,10
64,1137,6289,"",0,6,10
65,1138,6294,"",0,6,10
66,1139,6241,"",0,1,5
67,1140,6229,"",2,1,5
68,1141,10256,"",2,0,0
69,1142,6249,"",3,6,10
70,1143,7445,"",3,0,0
71,1144,6279,"",2,6,10
72,1145,9637,"",2,0,0
73,1146,6278,"",2,11,15
74,1147,6254,"",16,6,10
75,1148,6280,"",0,6,10
76,1149,6355,"",2,11,15
77,1150,6349,"",0,11,15
78,1151,6318,"",4,6,10
79,1152,6219,"",4,11,15
80,1153,6362,"",4,0,0
81,1154,6238,"",0,6,10
82,1155,6273,"",11,1,5
83,1156,6275,"",3,11,15
84,1157,8394,"",3,0,0
85,1158,6253,"",3,6,10
86,1159,6262,"",14,0,0
87,1160,7381,"",14,0,0
88,1161,6263,"",3,0,0
89,1163,6307,"",4,6,10
90,1164,6343,"",6,6,10
91,1165,10254,"",6,0,0
92,1166,6358,"",12,11,15
93,1167,6235,"",3,11,15
94,1168,6226,"",3,11,15
95,1169,6292,"",15,6,10
96,1170,6290,"",1,6,10
97,1171,6296,"",4,6,10
98,1172,6272,"",11,6,10
99,1173,7364,"",11,0,0
100,1174,6255,"",0,6,10
101,1175,6266,"",3,6,10
102,1176,10023,"",3,0,0
103,1177,6302,"",0,6,10
104,1178,6342,"",5,6,10
105,1179,6295,"",0,11,15
106,1180,6334,"",0,6,10
107,1181,6247,"",0,0,0
108,1182,6288,"",3,6,10
109,1183,6284,"",0,11,15
110,1184,6256,"",13,6,10
111,1185,6261,"",0,0,0
112,1186,6265,"",3,0,0
113,1187,7288,"",3,0,0
114,1188,6267,"",4,6,10
115,1189,6270,"",5,6,10
116,1190,8393,"",5,0,0
117,1191,6297,"",4,11,15
118,1192,6251,"",0,6,10
119,1193,6233,"",0,6,10
120,1194,6242,"",4,6,10
121,1195,6264,"",0,11,15
122,1196,6305,"",2,6,10
123,1197,6210,"",0,6,10
124,1198,6230,"",0,0,0
125,1199,6231,"",2,6,10
126,1201,6336,"",14,11,15
127,1202,6331,"",16,11,15
128,1203,6269,"",9,6,10
129,1204,7331,"",9,0,0
130,1205,6248,"",0,0,0
131,1206,6206,"",0,11,15
132,1207,6225,"",0,6,10
133,1208,6285,"",15,11,15
134,1209,7385,"",13,0,0
135,1210,6291,"",5,6,10
136,1211,7599,"",5,0,0
137,1212,6239,"",3,11,15
138,1213,6313,"",3,11,15
139,1214,6211,"",3,6,10
140,1215,6341,"",15,6,10
141,1216,6276,"",9,11,15
142,1217,6300,"",14,11,15
143,1218,6310,"",0,11,15
144,1219,6274,"",14,6,10
145,1220,6212,"",0,11,15
146,1221,6315,"",3,11,15
147,1222,6314,"",3,11,15
148,1223,6221,"",13,11,15
149,1224,6317,"",11,11,15
150,1225,6357,"",14,11,15
151,1226,6301,"",2,11,15
152,1227,6353,"",6,11,15
153,1228,6309,"",12,11,15
154,1229,6332,"",14,11,15
155,1230,6335,"",13,11,15
156,1231,6330,"",12,11,15
157,1232,6271,"",2,11,15
158,1233,6329,"",3,11,15
159,1247,6237,"",1,0,0
160,1248,6259,"",0,0,0
161,1257,6316,"",4,0,0
162,1234,6319,"",16,0,0
163,1235,6320,"",16,0,0
164,1237,6321,"",16,0,0
165,1236,6322,"",16,0,0
166,1239,6324,"",16,0,0
167,1245,6205,"",2,0,0
