"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2235,125,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4305,125,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",4852,125,1029,2,1
4,"EssenceBloodworm",4172,125,"",1,""
5,"Essence Elemental Swarm 1st stage",386,125,107,4,1
6,"Essence Elemental Swarm 2nd stage",387,125,107,2,1
7,"Essence Elemental Swarm 3rd stage",388,125,107,2,1
8,"Essence Rock Golem",4424,125,"",1,1
9,"Essence Explosive Insect",1520,125,"",1,1
10,"Volatile Flameblood",4879,125,"",1,1
11,"Obsidian Golem",4107,125,"",1,1
12,"TormentedBetrayerBeacon",7155,125,"",1,""
13,"BlightDaemonFire",7469,125,107,1,""
14,"BlightDaemonCold",7471,125,109,1,""
15,"BlightDaemonLightning",7473,125,440,1,""
16,"BlightDaemonPhysical",7475,125,515,1,""
17,"BlightDaemonChaos",7477,125,1044,1,""
