"rownum","Id","Text","rid","Command","Parameters","AchievementItemsKeys","bool","i32","HarvestCraftOptionIconsKeys","Description","DDSFile","bool","bool"
0,"SocketColour_1","<white>{Reforge} the colour of a <white>{non-Red} socket on an item, turning it <craftingred>{Red}",0,"change_non_color_socket_to_color","R",[6987],"",19674,[5],"Reforge the colour of a non-Red socket on an item, turning it Red","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
1,"SocketColour_2","<white>{Reforge} the colour of a <white>{non-Blue} socket on an item, turning it <craftingblue>{Blue}",0,"change_non_color_socket_to_color","B",[6987],"",26615,[5],"Reforge the colour of a non-Blue socket on an item, turning it Blue","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
2,"SocketColour_3","<white>{Reforge} the colour of a <white>{non-Green} socket on an item, turning it <craftinggreen>{Green}",0,"change_non_color_socket_to_color","G",[6987],"",62182,[5],"Reforge the colour of a non-Green socket on an item, turning it Green","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
3,"SocketColour_1b","<white>{Reforge} the colour of a <white>{non-Red} socket on an item, turning it <craftingred>{Red}",0,"change_non_color_socket_to_color","R",[6987],"",42903,[5],"Reforge the colour of a non-Red socket on an item, turning it Red","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
4,"SocketColour_2b","<white>{Reforge} the colour of a <white>{non-Blue} socket on an item, turning it <craftingblue>{Blue}",0,"change_non_color_socket_to_color","B",[6987],"",60546,[5],"Reforge the colour of a non-Blue socket on an item, turning it Blue","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
5,"SocketColour_3b","<white>{Reforge} the colour of a <white>{non-Green} socket on an item, turning it <craftinggreen>{Green}",0,"change_non_color_socket_to_color","G",[6987],"",45697,[5],"Reforge the colour of a non-Green socket on an item, turning it Green","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
6,"SocketColour_4","<white>{Reforge} the colour of <white>{two random} sockets on an item, turning them <craftingred>{Red} and <craftingblue>{Blue}",0,"modify_socket_colors","R B",[6987],"",29916,[5],"Reforge the colour of two random sockets on an item, turning them Red and Blue","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
7,"SocketColour_5","<white>{Reforge} the colour of <white>{two random} sockets on an item, turning them <craftingred>{Red} and <craftinggreen>{Green}",0,"modify_socket_colors","R G",[6987],"",29070,[5],"Reforge the colour of two random sockets on an item, turning them Red and Green","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
8,"SocketColour_6","<white>{Reforge} the colour of <white>{two random} sockets on an item, turning them <craftingblue>{Blue} and <craftinggreen>{Green}",0,"modify_socket_colors","B G",[6987],"",36164,[5],"Reforge the colour of two random sockets on an item, turning them Blue and Green","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
9,"SocketColour_7","<white>{Reforge} the colour of <white>{three random} sockets on an item, turning them <craftingred>{Red}, <craftingblue>{Blue} and <craftinggreen>{Green}",0,"modify_socket_colors","R B G",[6987],"",28268,[5],"Reforge the colour of three random sockets on an item, turning them Red, Blue and Green","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
10,"SocketColour_8","<white>{Reforge} the colour of a random <white>{socket} on an item, turning it <white>{White}",0,"modify_socket_colors","W",[6987],"",63381,[5],"Reforge the colour of a random socket on an item, turning it White","Art/2DItems/Currency/Harvest/RedSeedTier1Wolf.dds","",""
11,"ModSpell_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingcaster>{Caster} modifier",0,"reroll_with_mod","caster ON normal_magic_rare",[6987],"",25848,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Caster modifier","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
12,"ModSpell_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingcaster>{Caster} modifier",0,"reroll_with_mod","caster ON normal_magic_rare",[6987],"",10786,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Caster modifier","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
13,"ModSpell_2","<white>{Remove} a random <white>{non-Caster} modifier from a non-Influenced item and <white>{add} a new <craftingcaster>{Caster} modifier",0,"remove_non_type_and_add_type_mod","caster FOR caster noinfluence",[6987],"",14443,"[8,0]","Remove a random non-Caster modifier from a non-Influenced item and add a new Caster modifier","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
14,"ModSpell_2b","<white>{Remove} a random <white>{non-Caster} modifier from a non-Influenced item and <white>{add} a new <craftingcaster>{Caster} modifier",0,"remove_non_type_and_add_type_mod","caster FOR caster noinfluence",[6987],"",29482,"[8,0]","Remove a random non-Caster modifier from a non-Influenced item and add a new Caster modifier","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
15,"ModSpell_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingcaster>{Caster} modifier",0,"add_type_mod","caster noinfluence",[6987],"",27627,[0],"Augment a non-Influenced Magic or Rare item with a new Caster modifier","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
16,"ModSpell_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingcaster>{Caster} modifier",0,"add_type_mod","caster noinfluence",[6987],"",2155,[0],"Augment a non-Influenced Magic or Rare item with a new Caster modifier","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
17,"ModSpell_4","<white>{Remove} a random <craftingcaster>{Caster} modifier from a non-Influenced item",0,"remove_type_mod","caster noinfluence",[6987],"",64757,[8],"Remove a random Caster modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
18,"ModSpell_5","<white>{Randomise} the numeric values of the random <craftingcaster>{Caster} modifiers on a Magic or Rare item",0,"reroll_type_mods","caster",[6987],"",15615,[9],"Randomise the numeric values of the random Caster modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
19,"ModSpell_6","<white>{Remove} a random <craftingcaster>{Caster} modifier from a non-Influenced item and <white>{add} a new <craftingcaster>{Caster} modifier",0,"remove_type_and_add_type_mod","caster FOR caster noinfluence",[6987],"",21595,"[8,0]","Remove a random Caster modifier from a non-Influenced item and add a new Caster modifier","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
20,"ModSpell_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingcaster>{Caster} modifier. <craftingcaster>{Caster} modifiers are more common",0,"reroll_with_mod_with_affinity_multiplier","caster ON normal_magic_rare",[6987],"",11991,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Caster modifier. Caster modifiers are more common","Art/2DItems/Currency/Harvest/RedSeedTier1DropBear.dds","",""
