"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6574],"",[],[],[]
1,"DropVaalItem",[],"",[],[2523],[50]
2,"AlwaysIgnite",[],"",[],"[4999,611]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1228],[100]
4,"Maimed",[],494,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4998,659]","[1,100]"
6,"TormentedExperimenterPossess","[8256,8347,8432,8434,8474]","",[],[],[]
7,"TormentedBlasphemerPossess","[8259,8345,8432,8434,8474]","",[],[],[]
8,"TormentedNecromancerPossess","[8262,8347,8432,8434,8474]","",[],[],[]
9,"TormentedArsonistPossess","[8265,8347,8432,8434,8474]","",[],[],[]
10,"TormentedThiefPossess","[8294,8348,8432,8434,8474]","",[],[],[]
11,"TormentedMutilatorPossess","[8307,8347,8432,8434,8474]","",[],[],[]
12,"TormentedCharlatanPossess","[8275,8347,8432,8434,8474]","",[],[],[]
13,"TormentedCannibalPossess","[8300,8347,8432,8434,8474]","",[],[],[]
14,"TormentedPoisonerPossess","[8268,8347,8432,8434,8474]","",[],[],[]
15,"TormentedCorrupterPossess","[8271,8348,8432,8434,8474]","",[],[],[]
16,"TormentedThugPossess","[8278,8345,8432,8434,8474]","",[],[],[]
17,"TormentedRoguePossess","[8281,8345,8282,8432,8434,8474]","",[],[],[]
18,"TormentedFishermanPossess","[8284,8348,8432,8434,8474]","",[],[],[]
19,"TormentedLibrarianPossess","[8287,8348,8432,8434,8474]","",[],[],[]
20,"TormentedCutthroatPossess","[8291,8345,8432,8434,8474]","",[],[],[]
21,"TormentedSpyPossess","[8297,8345,8432,8434,8474]","",[],[],[]
22,"TormentedMartyrPossess","[8304,8347,8432,8434,8474]","",[],[],[]
23,"TormentedEmbezzlerPossess","[8310,8348,8432,8434,8474]","",[],[],[]
24,"TormentedCounterfeiterPossess","[8316,8347,8432,8434,8474]","",[],[],[]
25,"TormentedWarlordPossess","[8319,8345,8432,8434,8474]","",[],[],[]
26,"TormentedFreezerPossess","[8323,8347,8432,8434,8474]","",[],[],[]
27,"TormentedSmugglerPossess","[8327,8325,8348,8432,8434,8474]","",[],[],[]
