"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,6362,1153,97,79,"","g","Vaults of Atziri",""
1,7269,1131,148,149,"","Ç","Maelstrom of Chaos",""
2,7288,1187,152,153,"","Å","The Coward's Trial",""
3,7331,1204,154,159,"","Ô","Acton's Nightmare",""
4,7364,1173,184,191,"","ß","Poorjoy's Asylum",""
5,7381,1160,207,209,"","À","Mao Kun",""
6,7385,1209,211,213,"","#","Oba's Cursed Trove",""
7,7445,1143,214,216,"","$","Olmec's Sanctum",""
8,7446,1162,215,217,1,"","Untainted Paradise",""
9,7599,1211,301,303,"","¿","Death and Taxes",""
10,7760,1103,363,390,"","È","Whakawairua Tuahu",""
11,8393,1190,386,413,1,"Ù","Hall of Grandmasters",""
12,8394,1157,587,573,"","²","The Vinktar Square",""
13,9637,1145,643,802,"","æ","Caer Blaidd, Wolfpack's Den",""
14,9706,1105,700,889,1,"™","The Perandus Manor",1
15,10023,1176,784,1045,"","Õ","The Putrid Cloister",""
16,10024,1133,786,1047,"","Ð","Hallowed Ground",""
17,10250,1241,928,1435,1,"","The Beachhead",""
18,10251,1242,928,1435,1,"","The Beachhead",""
19,10252,1243,928,1435,1,"","The Beachhead",""
20,10254,1165,930,1456,"","^","The Twilight Temple",""
21,10255,1115,934,1457,"","‹","Doryani's Machinarium",""
22,10256,1141,938,1458,"","›","Pillars of Arun",""
23,10789,443,1158,1922,1,"","Altered Distant Memory",""
24,10790,444,1159,1923,1,"","Augmented Distant Memory",""
25,10791,445,1160,1924,1,"","Twisted Distant Memory",""
26,10792,446,1161,1925,1,"","Rewritten Distant Memory",""
27,10793,442,1162,1926,1,"","Cortex",""
28,10253,1244,1249,1435,1,"","Infused Beachhead",""
29,10794,442,1163,1926,1,"","Cortex",""
30,10257,1141,939,1458,"","","Pillars of Arun",""
31,7365,1173,185,191,"","","Poorjoy's Asylum",""
