"rownum","Id","BetrayalRanksKey","MonsterVarietiesKey","BetrayalJobsKey","Art","bool","ItemClasses","FullName","Safehouse_ARMFile","ShortName","i32","SafehouseLeader_AcheivementItemsKey","Level3_AchievementItemsKey","i32","i32","i32","rid"
0,"Catarina","",6737,"","Art/2DArt/UIImages/InGame/Betrayal/BossImages/Catarina","","","Catarina, Master of Undeath","","Catarina",0,"","",536,536,536,""
1,"Haku",0,6741,0,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Haku","",16,"Haku, Warmaster","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_haku.arm","Haku",0,"","",537,554,571,7850
2,"Elreon",2,6742,4,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Elreon",1,17,"Elreon, Light's Judge","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_elreon.arm","Elreon",0,"","",538,555,572,7851
3,"Tora",2,6743,1,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Tora",1,13,"Tora, the Culler","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_tora.arm","Tora",0,"","",539,556,573,7852
4,"Vagan",2,6744,2,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Vagan",1,9,"Vagan, Victory's Herald","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_vagan.arm","Vagan",0,"","",540,557,574,7853
5,"Vorici",2,6745,3,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Vorici",1,7,"Vorici, Silent Brother","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_vorici.arm","Vorici",0,"","",541,558,575,7854
6,"Hillock",0,6750,0,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Hillock","",12,"Hillock, the Blacksmith","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_hillock.arm","Hillock",0,"","",542,559,576,7855
7,"Leo",1,6751,1,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Leo","",9,"Leo, Wolf of the Pits","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_leo.arm","Leo",0,"","",543,560,577,7856
8,"Guff",1,6752,1,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Grenn","",9,"Guff \""Tiny\"" Grenn","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_guff.arm","Guff",0,"","",544,561,578,7857
9,"Janus",1,6754,4,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Janus","",36,"Janus Perandus","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_janus.arm","Janus",0,"","",545,562,579,7858
10,"ItThatFled","",6755,"","Art/2DArt/UIImages/InGame/Betrayal/BossImages/Breach","",36,"It That Fled","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_it_that_fled.arm","It That Fled",0,"","",546,563,580,7859
11,"Gravicius","",6756,"","Art/2DArt/UIImages/InGame/Betrayal/BossImages/Gravicius","",32,"Gravicius Reborn","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_gravicius.arm","Gravicius",30,"","",547,564,581,7860
12,"Jorgin",1,6757,2,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Thane","",36,"Thane Jorgin the Banished ","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_jorgin.arm","Jorgin",0,"","",548,565,582,7861
13,"Korell",1,6758,2,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Keema","",9,"Korell Goya, Son of Stone","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_keema.arm","Korell",0,"","",549,566,583,7862
14,"Rin","",6759,"","Art/2DArt/UIImages/InGame/Betrayal/BossImages/Rin","",13,"Rin Yuushu","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_rin.arm","Rin",68,"","",550,567,584,7863
15,"Cameria",0,6760,0,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Cameria","",12,"Cameria the Coldblooded","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_cameria.arm","Cameria",0,"","",551,568,585,7864
16,"Aisling",1,6762,3,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Aislin","",7,"Aisling Laffrey, The Silent Butcher","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_aisling.arm","Aisling",0,"","",552,569,586,7865
17,"Riker",0,6763,0,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Riker","",13,"Riker Maloney, Midnight Tinkerer","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_riker.arm","Riker",0,"","",553,570,587,7866
