"rownum","Id","Text","BackgroundImage","i32","f32","f32","string","string","ForegroundImage","OGGFile","i32"
0,"LegionMapDeviceAward","You have unlocked an additional item slot on the Map Device","Art/2DArt/UIImages/InGame/GenericRewardBackground",6,3,2,"","","Art/2DArt/UIImages/InGame/GenericRewardMapDevice5","Audio/Sound Effects/UI/Atlas/Upgrade.ogg",2604
1,"AtlasMissionZana","Atlas Mission from Zana Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationZana",1161,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2604
2,"AtlasMissionAlva","Atlas Mission from Alva Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationAlva",1161,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2604
3,"AtlasMissionNiko","Atlas Mission from Niko Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationNiko",1161,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2604
4,"AtlasMissionEinhar","Atlas Mission from Einhar Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationEinhar",1161,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2604
5,"AtlasMissionJun","Atlas Mission from Jun Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationJun",1161,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2604
6,"AtlasCitadelTopLeft","Haewark Hamlet\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",399,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
7,"AtlasCitadelBottomLeft","Glennach Cairns\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",404,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
8,"AtlasCitadelTopRight","Valdo's Rest\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",405,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
9,"AtlasCitadelBottomRight","Lira Arthain\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",406,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
10,"FavouredMapSlotUnlockedTopLeft","Haewark Hamlet\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1161,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
11,"FavouredMapSlotUnlockedBottomLeft","Glennach Cairns\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1161,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
12,"FavouredMapSlotUnlockedTopRight","Valdo's Rest\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1161,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
13,"FavouredMapSlotUnlockedBottomRight","Lira Arthain\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1161,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
14,"HarvestCraftingBenchUnlocked","Horticrafting Station decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1161,3,2,"","","Art/2DArt/UIImages/InGame/HorticraftingDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
15,"HarvestSeedStashUnlocked","Seed Stockpile decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1161,3,2,"","","Art/2DArt/UIImages/InGame/SeedStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
16,"HeistStashUnlocked","Heist Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1161,3,2,"","","Art/2DArt/UIImages/InGame/HeistStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
17,"ExpeditionStashUnlocked","Expedition Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1161,3,2,"","","Art/2DArt/UIImages/InGame/ExpeditionStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2604
