"rownum","Id","QuestKey","QuestState","i32","i32"
0,"a1q1",0,3,1161,2
1,"a1q5",1,42,1161,2
2,"a1q5b",1,1878,1161,2
3,"a1q4",2,37,1161,2
4,"a1q4b",2,2149,1161,2
5,"a1q8",3,2604,1161,0
6,"a1q7",4,2604,1161,0
7,"a1q2",5,7,1161,2
8,"a1q2b",5,798,1161,2
9,"a1q6",6,2604,1161,0
10,"a1q3",7,73,1161,2
11,"a1q9",8,2604,1161,0
12,"a2q5",10,2604,1161,0
13,"a2q5b",10,825,1161,2
14,"a2q6",11,109,1161,2
15,"a2q10",12,249,1161,2
16,"a2q4",13,107,1161,2
17,"a2q9b_tencent",14,2550,1161,2
18,"a2q9c_tencent",14,2552,1161,2
19,"a2q9d_tencent",14,2554,1161,2
20,"a2q7",15,2604,1161,0
21,"a3q1",21,174,1161,2
22,"a3q2",22,2604,1161,0
23,"a3q11",23,2604,1161,0
24,"a3q4",25,190,1161,2
25,"a3q5",26,2604,1161,0
26,"a3q8",27,213,1161,2
27,"a3q12",28,494,1161,2
28,"a3q13",29,198,1161,2
29,"a3q9",30,2604,1161,0
30,"d2c1",32,522,1161,2
31,"d2c2",33,523,1161,2
32,"a4q1",34,689,1161,2
33,"a4q2",35,666,1161,2
34,"a4q6",39,2604,1161,0
35,"a4q6b_tencent",39,2556,1161,2
36,"a4q6c_tencent",39,2558,1161,2
37,"a4q6d_tencent",39,2560,1161,2
38,"a4q6e_tencent",39,2562,1161,2
39,"a4q6f_tencent",39,2564,1161,2
40,"bandit_respec",50,2604,1161,1
41,"a5q1b",63,1055,1161,2
42,"a5q2",64,1063,1161,2
43,"a5q3",65,2604,1161,0
44,"a5q4",66,1075,1161,2
45,"a5q5",67,1081,1161,2
46,"a5q7",69,2604,1161,0
47,"a6q2",71,1171,1161,2
48,"a6q3",72,2604,1161,0
49,"a6q4",73,2604,1161,0
50,"a6q5",74,1254,1161,2
51,"a6q6",75,2604,1161,0
52,"a6q7",76,2604,1161,0
53,"a7q1",77,2604,1161,0
54,"a7q2",78,1279,1161,2
55,"a7q3",79,2604,1161,0
56,"a7q5",81,1309,1161,2
57,"a7q6",82,2604,1161,0
58,"a7q8",84,1377,1161,2
59,"a7q8_offer",84,2604,1161,1
60,"a7q9",85,2604,1161,0
61,"a8q1",86,1422,1161,2
62,"a8q4",89,2604,1161,0
63,"a8q5",90,1442,1161,2
64,"a8q6",91,2604,1161,0
65,"a8q7",92,2604,1161,0
66,"a9q2",94,2604,1161,0
67,"a9q3",95,1628,1161,2
68,"a9q4",96,2604,1161,0
69,"a9q5",97,2604,1161,0
70,"a9q5_offer",97,2604,1161,1
71,"a10q1",98,1646,1161,2
72,"a10q2",99,1653,1161,2
73,"a10q3",100,2604,1161,0
74,"a10q4",101,2604,1161,0
75,"a10q5",102,1681,1161,2
76,"a10q6",103,2604,1161,0
77,"a11q1",105,2604,216,2
78,"a11q3",107,2604,1161,0
79,"heist_tutorial",134,2604,1161,1
80,"heist_quest_karst2",136,2604,1161,1
81,"heist_quest_karst3",137,2604,1161,1
82,"heist_quest_tibbs2",139,2604,1161,1
83,"heist_quest_tullina2",147,2604,1161,1
84,"heist_quest_faustus2",162,2604,1161,1
85,"heist_quest_kurai4",167,2604,871,2
86,"heist_quest_karst1",135,2604,942,2
87,"heist_quest_karst2_2",136,2604,943,2
88,"heist_quest_karst3_2",137,2604,944,2
89,"heist_quest_tibbs1",138,2604,945,2
90,"heist_quest_tibbs2_2",139,2604,946,2
91,"heist_quest_huck1",140,2604,947,2
92,"heist_quest_huck2",141,2604,948,2
93,"heist_quest_vinderi1",142,2604,949,2
94,"heist_quest_vinderi2",143,2604,950,2
95,"heist_quest_gianna1",144,2604,951,2
96,"heist_quest_gianna2",145,2604,952,2
97,"heist_quest_tullina1",146,2604,953,2
98,"heist_quest_tullina2_2",147,2604,954,2
99,"heist_quest_niles1",148,2604,955,2
100,"heist_quest_niles2",149,2604,956,2
101,"heist_quest_nenet1",150,2604,957,2
102,"heist_quest_nenet2",151,2604,958,2
103,"heist_quest_isla1",152,2604,959,2
104,"heist_quest_isla2",153,2604,960,2
105,"heist_quest_isla3",154,2604,961,2
106,"heist_quest_adiyah1",155,2604,962,2
107,"heist_quest_adiyah2",156,2604,963,2
108,"heist_quest_adiyah3",157,2604,964,2
109,"heist_quest_whakano1",158,2604,965,2
110,"heist_quest_whakano2",159,2604,966,2
111,"heist_quest_whakano3",160,2604,967,2
112,"heist_quest_faustus1",161,2604,968,2
113,"heist_quest_faustus2_2",162,2604,969,2
114,"heist_quest_faustus3",163,2604,970,2
115,"heist_quest_kurai1",164,2604,971,2
116,"heist_quest_kurai2",165,2604,972,2
117,"heist_quest_kurai3",166,2604,973,2
118,"hellscape_tutorial1",180,2604,1161,1
