"rownum","Id","Art","Name","AchievementItemsKeys"
0,"Currency","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedCurrency","Currency",[]
1,"Uniques","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedUniques","Uniques",[]
2,"Gems","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedGems","Gems",[]
3,"Maps","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMaps","Maps",[]
4,"Trinkets","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedTrinkets","Trinkets",[]
5,"Armour","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedArmour","Armour",[]
6,"Weapon","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedWeapons","Weapon",[]
7,"Abyss","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedAbyss","Abyss",[]
8,"Expedition","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedExpedition","Expedition",[]
9,"Harbinger","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedHarbinger","Harbinger",[]
10,"Breach","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedBreach","Breach",[]
11,"Essences","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedEssence","Essences",[]
12,"Essences2","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedEssence","Essences",[]
13,"Fragments","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedFragments","Fragments",[]
14,"Scarabs","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedScarabs","Scarabs",[]
15,"Fossils","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedFossils","Fossils",[]
16,"Prophecies","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedProphecies","Prophecies",[]
17,"DivinationCards","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedDivination","Divination Cards",[]
18,"Generic","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedGeneric","Generic",[]
19,"Talismans","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedTalismans","Talismans",[]
20,"Labyrinth","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedLabyrinth","Labyrinth",[]
21,"Legion","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedLegion","Legion",[]
22,"Blight","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedBlight","Blight",[]
23,"Metamorphosis","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Metamorph",[]
