"rownum","HideoutNPCsKey","Order","AddMod","Cost_BaseItemTypes","Cost_Values","RequiredLevel","Name","CraftingBenchCustomAction","ItemClasses","Links","SocketColours","Sockets","ItemQuantity","[i32]","Description","IsDisabled","IsAreaOption","RecipeIds","Tier","CraftingItemClassCategories","i32","UnlockCategory","UnveilsRequired","UnveilsRequired2","[rid]","[rid]","i32","i32","bool","rid","AddEnchantment","SortCategory","rid","bool"
0,4,0,"",[21],[1],0,"Two Sockets",7,[],0,"",2,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
1,4,1,"",[21],[3],0,"Three Sockets",7,[],0,"",3,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
2,4,2,"",[21],[10],0,"Four Sockets",7,[],0,"",4,0,[],"","","",[236],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
3,4,3,"",[21],[70],0,"Five Sockets",7,[],0,"",5,0,[],"","","",[237],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
4,4,4,"",[21],[350],0,"Six Sockets",7,[],0,"",6,0,[],"","","",[238],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
5,4,5,"",[20],[1],0,"Two Linked Sockets",7,[],2,"",0,0,[],"","","",[239],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
6,4,6,"",[20],[3],0,"Three Linked Sockets",7,[],3,"",0,0,[],"","","",[240],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
7,4,7,"",[20],[5],0,"Four Linked Sockets",7,[],4,"",0,0,[],"","","",[241],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
8,4,8,"",[20],[150],0,"Five Linked Sockets",7,[],5,"",0,0,[],"","","",[242],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
9,4,9,"",[20],[1500],0,"Six Linked Sockets",7,[],6,"",0,0,[],"","","",[243],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
10,4,10,"",[19],[4],0,"At Least One Red Socket",7,[],0,"R",0,0,[],"","","",[245],0,"[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
11,4,11,"",[19],[25],0,"At Least Two Red Sockets",7,[],0,"RR",0,0,[],"","","",[245],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
12,4,12,"",[19],[120],0,"At Least Three Red Sockets",7,[],0,"RRR",0,0,[],"","","",[246],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
13,4,13,"",[19],[4],0,"At Least One Green Socket",7,[],0,"G",0,0,[],"","","",[245],0,"[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
14,4,14,"",[19],[25],0,"At Least Two Green Sockets",7,[],0,"GG",0,0,[],"","","",[245],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
15,4,15,"",[19],[120],0,"At Least Three Green Sockets",7,[],0,"GGG",0,0,[],"","","",[246],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
16,4,16,"",[19],[4],0,"At Least One Blue Socket",7,[],0,"B",0,0,[],"","","",[245],0,"[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
17,4,17,"",[19],[25],0,"At Least Two Blue Sockets",7,[],0,"BB",0,0,[],"","","",[245],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
18,4,18,"",[19],[120],0,"At Least Three Blue Sockets",7,[],0,"BBB",0,0,[],"","","",[246],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
19,4,19,"",[19],[15],0,"At Least One Red and One Green Socket",7,[],0,"RG",0,0,[],"","","",[245],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
20,4,20,"",[19],[15],0,"At Least One Red and One Blue Socket",7,[],0,"RB",0,0,[],"","","",[245],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
21,4,21,"",[19],[15],0,"At Least One Green and One Blue Socket",7,[],0,"GB",0,0,[],"","","",[245],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
22,4,22,"",[19],[100],0,"At Least Two Red and One Green Socket",7,[],0,"RRG",0,0,[],"","","",[246],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
23,4,23,"",[19],[100],0,"At Least Two Red and One Blue Socket",7,[],0,"RRB",0,0,[],"","","",[246],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
24,4,24,"",[19],[100],0,"At Least Two Green and One Red Socket",7,[],0,"GGR",0,0,[],"","","",[246],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],1161,1161,"","","",3,"",""
