"rownum","Id","GMFile","AISFile","ModsKeys","CharacterLevel","bool"
0,"1","Metadata/Monsters/Grandmaster/608100.27655555.gm","Metadata/Monsters/Grandmaster/608100.27655555.ais","[8374,8363,8367,8372]",90,""
1,"2","Metadata/Monsters/Grandmaster/5481226.26969621.gm","Metadata/Monsters/Grandmaster/5481226.26969621.ais","[8374,8365,8361,8367]",99,""
2,"3","Metadata/Monsters/Grandmaster/2966578.40737288.gm","Metadata/Monsters/Grandmaster/2966578.40737288.ais","[8374,8363,8367,8372]",93,""
3,"4","Metadata/Monsters/Grandmaster/511763.17217173.gm","Metadata/Monsters/Grandmaster/511763.17217173.ais","[8374,8367]",95,""
4,"5","Metadata/Monsters/Grandmaster/820433.28474488.gm","Metadata/Monsters/Grandmaster/820433.28474488.ais","[8374,8361,8367]",90,""
5,"6","Metadata/Monsters/Grandmaster/6379618.33102038.gm","Metadata/Monsters/Grandmaster/6379618.33102038.ais",[8374],94,""
6,"7","Metadata/Monsters/Grandmaster/6715299.34331349.gm","Metadata/Monsters/Grandmaster/6715299.34331349.ais","[8374,8363,8367]",60,""
7,"8","Metadata/Monsters/Grandmaster/4646255.21046305.gm","Metadata/Monsters/Grandmaster/4646255.21046305.ais",[8908],92,""
8,"9","Metadata/Monsters/Grandmaster/838894.31086254.gm","Metadata/Monsters/Grandmaster/838894.31086254.ais","[8374,8367]",93,""
9,"10","Metadata/Monsters/Grandmaster/498878.55501473.gm","Metadata/Monsters/Grandmaster/498878.55501473.ais",[8374],90,""
10,"11","Metadata/Monsters/Grandmaster/2068186.52774691.gm","Metadata/Monsters/Grandmaster/2068186.52774691.ais",[8374],90,""
11,"12","Metadata/Monsters/Grandmaster/598639.51158659.gm","Metadata/Monsters/Grandmaster/598639.51158659.ais",[8374],88,""
12,"13","Metadata/Monsters/Grandmaster/736869.32727099.gm","Metadata/Monsters/Grandmaster/736869.32727099.ais","[8374,8367,8370]",87,""
