"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[4787,4750,4765,1,1]","[4787,4787,1,1]","[4787,4750,4765,1,1]","[4787,4787,1,1]","[4787,4750,4765,1,1]","[4787,4787,1,1]","[4787,4750,4765,1,1]","[4787,4787,1,1]","[4787,4750,4765,1,1]","[4787,4787,1,1]","[4787,4750,4765,1,1]","[4787,4787,1,1]",1302,"[4787,4750,4765,1,1]","[4787,4787,1,1]"
1,"Descent2","[5108,5243,6,4314,5278]","[5108,5243,10,11,11,4313,5278]","[5108,5243,6,4314,5278]","[5108,5243,10,11,11,4313,5278]","[4991,5107,4993,6,4314,5255]","[4991,5107,4993,10,11,11,4313,5255]","[5105,6,4314,5266,5261]","[5105,10,11,11,4313,5266,5261]","[5113,6,4314,5266,5261]","[5113,10,11,11,4313,5266,5261]","[5243,5113,5108,6,4314,5261,5278]","[5243,5113,5108,10,11,11,4313,5261,5278]",1303,"[5108,5113,5243,6,4314,5278,5261]","[5108,5113,5243,10,11,11,4313,5261,5278]"
2,"Descent3","[10,15,10,15,4751,4766,4261,4262,4263,4231,4231,4205,4042,4042,4329]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4232,4233,4205,4042,4042,4329]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4231,3989,3959,4180,4155]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4232,4233,3989,3959,4180,4155]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4231,3989,3989,4098,4805]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4232,4233,3989,3989,4098,4805]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4231,3900,3900,3876,3876]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4232,4233,3900,3900,3876,3876]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4231,3876,3876,4070,4070]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4232,4233,3876,3876,4070,4070]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4231,4070,4070,4127]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4232,4233,4070,4070,4127]",1304,"[10,15,10,15,4751,4766,4261,4262,4263,4231,4231,4070,4070,4180,3959,3959]","[10,15,10,15,4751,4766,4261,4262,4263,4231,4232,4233,4070,4070,4180,3959,3959]"
3,"Descent4","[4260,10,14,1,1,1,5131,4996]","[6,6,5131,4996]","[4260,10,14,1,1,1,5131,4996]","[6,6,5131,4996]","[4260,10,14,1,1,1,4999,5002,4996]","[6,6,5002,4999,4996]","[4260,10,14,1,1,1,4999,5005,5002,5140,5270]","[6,6,4999,5002,5005,5140,5270]","[4260,10,14,1,1,1,5005,4999,5002,5270]","[6,6,5002,5005,4999,5270]","[4260,10,14,1,1,1,5005,4996,5131]","[6,6,4996,5005,5131]",1305,"[4260,10,14,1,1,1,5002,5005,4996]","[6,6,4996,5005,5002]"
4,"Descent5","[4969,0,0,0,0,6,2]","[4969,0,0,0,0,10,11,11,11,11,15,15]","[4969,0,0,0,0,6,2,4983]","[4969,0,0,0,0,10,11,11,11,11,15,15,4983]","[5227,4983,0,0,0,0,6,2]","[5227,4983,0,0,0,0,10,11,11,11,11,15,15]","[5053,0,0,0,0,6,2,5241,5092]","[5241,0,0,0,0,10,11,11,11,11,15,15,5053,5092]","[5053,5241,0,0,0,0,6,2,5092]","[5053,5241,0,0,0,0,10,11,11,11,11,15,15,5092]","[5241,0,0,0,0,6,2,5053,5237,4969]","[4969,5237,0,0,0,0,10,11,11,11,11,15,15,5241,5053]",1306,"[5241,0,0,0,0,6,2,4969,5053]","[4969,0,0,0,0,10,11,11,11,11,15,15,5053,5241]"
5,"Descent6","[4236,4972,4752,4767,6,6,5275]","[4236,4752,4767,4972,11,11,11,11,15,15,5275]","[4236,4972,4752,4767,5137,6,6,5275]","[4236,5137,4752,4767,4972,11,11,11,11,15,15,5275]","[4236,5061,5137,4752,4767,5078,6,6]","[4236,5137,5078,4752,4767,5061,11,11,11,11,15,15]","[4236,5142,4752,4767,5160,5168,6,6,5269,5257]","[4236,4752,4767,5160,5168,5142,11,11,11,11,15,15,5269,5257]","[4236,5079,4752,4767,5168,5072,4968,6,6,5269,5257]","[4236,4968,4752,4767,5072,5168,5079,11,11,11,11,15,15,5269,5257]","[4236,5072,4752,4767,4968,4972,5133,6,6,5275]","[4236,4752,4767,4972,4968,5072,5133,11,11,11,11,15,15,5275]",1307,"[4236,4752,4767,5072,4972,6,6,5275]","[4236,4752,4767,5072,4972,11,11,11,11,15,15,5275]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4044,4044,4330,4206]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4044,4044,4330,4206]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4156,4181,3991,3960]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4156,4181,3991,3960]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4100,3991,3991,4805]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,4100,3991,3991,4805]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,3877,3877,3902,3902]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,3877,3877,3902,3902]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,3877,3877,4072,4072]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,3877,3877,4072,4072]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4072,4072,4128]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4072,4072,4128]",1308,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4072,4072,3960,3960,4181]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4072,4072,3960,3960,4181]"
7,"Descent8","[5216,4977,5112,4235,4237,4267,4268,4266,2,6,11]","[5216,4977,5112,4235,4237,4267,4268,4266,12,12,10,10,10,11]","[5216,4977,5112,4235,4237,4267,4268,4266,2,6,11]","[5216,4977,5112,4235,4237,12,12,10,10,10,11,4267,4268,4266]","[5216,5217,4984,5112,4235,4237,4267,4268,4266,2,6,11]","[5216,5217,4984,5112,4235,4237,12,12,10,10,10,11,4267,4268,4266]","[5218,5217,5112,4235,4237,4267,4268,4266,2,6,11]","[5218,5217,5112,4235,4237,12,12,10,10,10,11,4267,4268,4266]","[5218,5217,4235,4237,4267,4268,4266,2,6,11]","[5218,5217,4235,4237,12,12,10,10,10,11,4267,4268,4266]","[5216,5218,4977,4235,4237,4267,4268,4266,2,6,11]","[5216,5218,4977,4235,4237,12,12,10,10,10,11,4267,4268,4266]",1309,"[5217,5218,5216,4235,4237,4267,4268,4266,2,6,11]","[5217,5218,5216,4235,4237,12,12,10,10,10,11,4267,4268,4266]"
8,"Descent9","[4,4,4,6,6,4315,4506,4682,4428,4611,5039,4753,4768,4997,5069,4]","[4313,0,0,0,6,6,4207,4045,4331,4997,5069,4753,4768,5039,4045,0]","[4,4,4,6,6,4315,4558,4718,4459,4648,5039,4753,4768,4997,5069,4]","[4313,0,0,0,6,6,4182,3992,5069,4997,4753,4768,5039,4157,3962,0]","[4,4,4,6,6,4315,4524,4694,4439,4624,5166,4753,4768,4997,5069,5039,4]","[4313,0,0,0,6,6,4101,4805,5069,4997,4753,4768,3992,3992,5166,5039,0]","[4,4,4,6,6,4315,4592,4734,4486,4664,5062,4753,4768,5042,5249,4]","[4313,0,0,0,6,6,4314,3903,3903,5042,5249,4753,4768,5062,3878,3878,0]","[4,4,4,6,6,4315,4541,4706,4449,4636,5042,4753,4768,5062,4]","[4313,0,0,0,6,6,4314,5062,4753,4768,5042,3878,3878,4073,4073,0]","[4,4,4,6,6,4315,4575,4726,4472,4656,5042,5039,4753,4768,4997,5062,5069,4]","[4313,0,0,0,6,6,4314,4073,4073,5062,5069,4753,4768,4997,5039,5042,4129,0]",1310,"[4,4,4,6,6,4315,4558,4718,4459,4648,5042,5039,4753,4768,5062,4997,5069,4]","[4313,0,0,0,6,6,4182,5062,4997,4753,4768,5042,5069,5039,4073,4073,3962,3962,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1311,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
