"rownum","Id","Normal_WorldAreasKeys","Cruel_WorldAreasKeys","Merciless_WorldAreasKeys","Endgame_WorldAreasKeys","i32"
0,"OutdoorEnd","[472,506]","[545,578]","[617,650]","[689,722]",1
1,"OutdoorEndBottleneck","[473,507,496]","[546,579,568]","[618,651,640]","[690,723,712]",1
2,"OutdoorStraight","[474,497,508]","[547,569,580]","[619,641,652]","[691,713,724]",2
3,"OutdoorStraightBottleneck","[509,498,475]","[581,570,548]","[653,642,620]","[725,714,692]",2
4,"OutdoorBranch","[476,499,510]","[549,571,582]","[621,643,654]","[693,715,726]",3
5,"OutdoorBranchBottleneck1","[500,511]","[572,583]","[644,655]","[716,727]",3
6,"OutdoorBranchBottleneck2","[512,501,478]","[584,573,551]","[656,645,623]","[728,717,695]",3
7,"OutdoorQuad","[480,503,514]","[553,575,586]","[625,647,658]","[697,719,730]",4
8,"IndoorShortcut",[452],[525],[597],[669],2
9,"IndoorEndBottleneck","[451,462,485]","[524,535,557]","[596,607,629]","[668,679,701]",1
10,"IndoorStraight","[486,463,452]","[558,536,525]","[630,608,597]","[702,680,669]",2
11,"IndoorStraightBottleneck","[453,487,464]","[526,559,537]","[598,631,609]","[670,703,681]",2
12,"IndoorBranch","[488,465,454]","[560,538,527]","[632,610,599]","[704,682,671]",3
13,"IndoorBranchBottleneck1","[455,489,466]","[528,561,539]","[600,633,611]","[672,705,683]",3
14,"IndoorBranchBottleneck2","[456,490,467]","[529,562,540]","[601,634,612]","[673,706,684]",3
15,"IndoorQuad","[458,469,492]","[531,542,564]","[603,614,636]","[675,686,708]",4
16,"OutdoorQuadDoor","[516,482,505]","[588,555,577]","[660,627,649]","[732,699,721]",4
17,"OutdoorBranchDoor","[513,479,502]","[585,552,574]","[657,624,646]","[729,696,718]",3
18,"IndoorQuadDoor","[460,471,494]","[533,544,566]","[605,616,638]","[677,688,710]",4
19,"IndoorBranchDoor","[457,468,491]","[530,541,563]","[602,613,635]","[674,685,707]",3
20,"EntranceStraight",[508],[580],[652],[724],2
21,"EntranceQuadDoor",[516],[588],[660],[732],4
22,"EntranceQuad",[514],[586],[658],[730],4
23,"EntranceBranch",[510],[582],[654],[726],3
24,"EntranceBranchDoor",[513],[585],[657],[729],3
25,"EntranceStraightBottleneck",[509],[581],[653],[725],2
26,"ElegantBlockBranch",[483],[],[],[],3
27,"Boss1",[517],[589],[661],[733],2
28,"Boss2",[518],[590],[662],[734],3
29,"Boss3",[519],[591],[663],[735],4
30,"FinalBoss1",[520],[592],[664],[736],2
31,"FinalBoss2",[521],[593],[665],[737],3
32,"FinalBoss3",[522],[594],[666],[738],4
