"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasRegionsKey","AtlasNodeKeys0","AtlasNodeKeys1","AtlasNodeKeys2","AtlasNodeKeys3","AtlasNodeKeys4","Tier0","Tier1","Tier2","Tier3","Tier4","X0","X1","X2","X3","X4","Y0","Y1","Y2","Y3","Y4","f32","f32","f32","f32","f32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","DDSFile"
0,1160,7381,"",403,1831,3,[],[],[],[],[54],0,0,0,0,14,594.514,594.514,594.514,594.514,593.315,526.493,526.493,526.493,526.493,484.462,20,20,20,20,48,0,0,0,0,-4,0,0,0,0,-12,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds"
1,1233,6329,"",467,1902,2,"[115,61,53,117]","[115,53,23,117]","[53,23,117]","[53,17,117]","[53,20]",3,7,10,12,14,315.335,292.278,305.149,317.647,334.983,339.226,375.488,390.51,410.264,428.004,179,217,171,180,127,-2,0,-16,-1,-5,7,4,10,5,0,""
2,1208,6285,"",444,1877,0,[],[],[],[],"[105,78,69,32]",0,0,0,0,15,502.582,485.719,483.524,477.199,293.138,253.61,181.756,178.053,178.289,100.981,20,20,20,20,157,0,0,0,0,15,0,0,0,0,14,""
3,1202,6331,"",439,1871,1,[],[],[],[],"[58,10]",0,0,0,0,16,926.74,926.74,926.74,926.74,830.657,85.832,85.832,85.832,85.832,83.506,20,20,20,20,172,0,0,0,0,-34,0,0,0,0,16,""
4,1167,6235,"",408,1837,1,"[102,95,96,116]","[102,95,96,116]","[102,113,116,44]","[102,113,116,44]","[95,113,116,44]",3,6,10,12,14,678.814,703.997,713.186,711.17,707.138,241.942,264.608,261.18,264.405,263.067,205,179,172,169,180,4,-12,-5,0,-26,7,-4,2,3,2,""
5,1229,6332,"",463,1898,0,[],[],[],[],"[114,88,34,30]",0,0,0,0,14,483.93,483.93,483.93,483.93,292.558,233.606,233.606,233.606,233.606,214.871,20,20,20,20,157,0,0,0,0,-7,0,0,0,0,7,""
6,1228,6309,"",462,1897,2,[],[],[],"[115,65,53,117]","[65,17,16]",0,0,0,12,15,554.68,554.68,554.68,342.298,336.512,49.751,49.751,49.751,372.895,345.997,20,20,20,157,135,0,0,0,7,10,0,0,0,-10,10,""
7,1239,6324,"",476,1918,1,[],[],[],[],[],0,0,0,0,16,521.34,524.386,536.569,536.569,575.93,512.916,526.404,528.58,535.106,276.967,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,""
8,1226,6301,"",460,1895,0,"[103,91,67,42]","[103,78,67,42,14]","[103,91,67,14]","[104,103,67]","[103,78,67,14]",2,6,9,11,14,434.549,436.29,440.112,440.083,429.197,152.7,152.226,145.741,139.898,131.029,149,253,133,120,194,4,-20,8,16,0,10,0,13,8,9,""
9,1224,6317,"",458,1893,3,[],[],[],"[83,80,55,38]","[80,55,38]",0,0,0,11,14,567.566,567.566,567.566,611.756,610.649,542.89,542.89,542.89,430.756,438.024,20,20,20,147,119,0,0,0,-8,6,0,0,0,-8,-2,""
10,1230,6335,"",464,1899,1,[],[],[],"[100,58,39]","[100,49,3]",0,0,0,13,16,938.043,938.043,938.043,831.144,832.764,97.38,97.38,97.38,126.398,136.823,20,20,20,163,183,0,0,0,-34,-26,0,0,0,14,3,""
11,1225,6357,"",459,1894,1,[],[],[],[],"[103,46,27]",0,0,0,0,14,569.416,569.416,569.416,569.416,546.169,51.091,51.091,51.091,51.091,190.705,20,20,20,20,132,0,0,0,0,-1,0,0,0,0,-1,""
12,1231,6330,"",465,1900,1,[],[],[],"[58,33,21]","[100,96,33]",0,0,0,12,14,947.236,947.236,947.236,726.752,693.39,111.194,111.194,111.194,85.092,133.584,20,20,20,177,111,0,0,0,-16,-3,0,0,0,3,19,""
13,1221,6315,"",455,1890,1,"[96,81,21,110]","[96,112,22,21,110]","[22,21,110]","[49,33,27,110]","[33,27,110]",3,6,10,11,14,580.165,614.698,604.216,617.117,607.844,122.051,147.294,100.124,131.571,125.12,213,177,141,182,125,6,3,14,-14,-2,16,8,14,-7,3,""
14,1227,6353,"",461,1896,0,[],"[104,91,8]","[104,78,42,8]","[104,114,78,42]","[91,42,8]",0,6,9,11,14,498.462,440.656,402.171,398.508,437.446,239.017,179.441,170.177,158.744,174.161,20,98,168,170,137,0,-2,-11,-20,-12,0,6,-3,-2,-3,""
15,1219,6274,"",453,1888,3,[],[],[],[],"[107,116,63]",0,0,0,0,14,502.582,487.42,483.524,477.989,658.713,253.61,182.607,178.326,177.499,322.385,20,20,20,20,142,0,0,0,0,-8,0,0,0,0,7,""
16,1217,6300,"",451,1886,2,[],[],[],[],"[108,40,6]",0,0,0,0,14,189.401,189.401,189.401,189.401,375.482,252.763,252.763,252.763,252.763,327.538,20,20,20,20,114,0,0,0,0,5,0,0,0,0,7,""
17,1216,6276,"",450,1885,2,[],"[23,117]","[98,117]","[72,36,1]","[97,23,6,117]",0,9,12,13,15,84.49,187.022,193.65,269.231,292.186,482.235,461.653,483.529,470.923,355.533,20,162,144,192,158,0,44,18,8,8,0,-28,-25,-16,-1,""
18,1211,7599,"",445,1880,2,[23],[23],[23],[23],[23],5,8,11,13,16,208.266,196.602,191.764,200.231,225.63,344.831,364.43,369.268,370.477,344.272,51,57,58,48,55,5,17,17,11,6,14,0,-3,7,16,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds"
19,1209,7385,"",383,1878,3,[],[],[],[73],[73],0,0,0,13,16,523.428,523.428,523.428,694.534,733.821,24.181,24.181,24.181,359.182,347.31,20,20,20,42,42,0,0,0,3,10,0,0,0,10,1,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds"
20,1215,6341,"",449,1884,2,[],[],[],[],"[89,47,23,1,117]",0,0,0,0,15,502.582,486.853,484.889,481.673,278.4,253.61,183.174,177.507,175.657,421.009,20,20,20,20,169,0,0,0,0,11,0,0,0,0,6,""
21,1214,6211,"",448,1883,1,"[96,33,13]","[81,33,13]","[33,22,13]","[49,33,12]","[58,33,110]",3,6,10,12,14,644.728,614.608,665.69,649.378,642.825,81.649,91.798,90.763,78.583,79.459,159,217,137,168,182,2,-1,-10,12,6,40,19,18,12,14,""
22,1213,6313,"",447,1882,1,"[95,96,110]","[44,33,13]","[96,27,21,13]","[95,96,33,27]","[95,33,27]",3,7,10,11,14,601.677,679.922,643.333,636.233,633.378,178.986,148.072,157.631,169.591,168.246,154,195,159,153,132,2,9,-6,11,-7,12,-3,-14,1,0,""
23,1210,6291,"",445,1879,2,"[61,18,117]","[61,18,17,1]","[98,61,18,1]","[98,61,18,117]","[72,98,61,18,20,17]",5,8,11,13,16,218.795,232.402,227.545,223.716,238.229,373.72,364.244,361.289,385.387,376.518,137,230,183,159,218,19,3,6,5,0,-11,8,8,-17,-5,""
24,1212,6239,"",446,1881,3,"[55,52,38]","[107,80,55,52,29]","[90,55,52,38]","[55,52,37]","[82,57,55,38]",3,6,11,12,15,686.734,611.01,716.1,701.925,677.576,450.527,412.456,465.724,456.791,452.428,165,196,232,191,147,-18,3,-19,-1,-5,-11,6,-29,-11,-14,""
