"rownum","Id","Monster","Tier","Description","[rid]","i32","[i32]","[i32]","i32","SeedAnimation","i32","HatchAnimation","SeedType"
0,"DropBearT1Red",7825,1,"<white>{Reveals} a random <craftingcaster>{Caster} modifier crafting effect when Harvested","[11,12,13,14,15,16,17,18,19,20,21]",2,"[110,150,175]",[7020],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
1,"HellionT1Red",7827,1,"<white>{Reveals} a random <craftingphysical>{Physical} modifier crafting effect when Harvested","[22,23,24,25,26,27,28,29,30,31,32]",1,"[110,150,175]",[7021],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
2,"WolfT1Red",7830,1,"<white>{Reveals} a random <white>{Socket colour} crafting effect when Harvested","[0,1,2,3,4,5,6,7,8,9,10]",2,"[110,150,175]",[7022],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
3,"MonkeyT1Red",7832,1,"<white>{Reveals} a random <craftingfire>{Fire} modifier crafting effect when Harvested","[33,34,35,36,37,38,39,40,41,42,43]",2,"[110,150,175]",[7023],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
4,"InsectT1Red",7834,1,"<white>{Reveals} a random <white>{Currency} crafting effect with improved outcome chances when Harvested","[141,142,143,144,145,146,147,148]",2,"[110,150,175]",[7024],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
5,"BeastT2Red",7836,2,"<white>{Reveals} a random crafting effect that <white>{changes} the element of <white>{Elemental Resistance} modifiers when Harvested","[52,53,54,55,56,57]",1,"[110,150,175]",[7055],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
6,"HoundT2Red",7838,2,"<white>{Reveals} a <white>{currency} item exchange, trading three of a certain type of <white>{currency} for other <white>{currency} items when Harvested","[269,270,271,272,273,274,275,276,277,278,279,280,281,282]",1,"[110,150,175]",[7056],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
7,"MinerHammerT2Red",7840,2,"<white>{Reveals} a random effect that <white>{exchanges Fossils, Essences, Delirium Orbs, Oils or Catalysts} when Harvested","[304,305,306,307,308]",1,"[110,150,175]",[7057],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
8,"ChieftainT2Red",7842,2,"Allows you to <white>{Sacrifice} a <white>{Map} to influence Zana's crafting options when Harvested","[171,172,173,174,175,176,177,178]",1,"[110,150,175]",[7058],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
9,"SpikerT2Red",7844,2,"<white>{Reveals} a random crafting effect that <white>{reforges} a Rare item a certain way when Harvested","[58,59,60,61]",1,"[110,150,175]",[7059],3,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
