"rownum","Id","WorldAreasKey","CharactersKey","MonsterVarietiesKey","i32"
0,"ProxyKey0",1320,0,2520,1
1,"ProxyKey1",1324,0,2532,1
2,"ProxyKey2",1325,0,2532,1
3,"ProxyKey3",1332,0,2501,1
4,"ProxyKey4",1333,0,2501,1
5,"ProxyKey5",1340,0,2547,1
6,"ProxyKey6",1320,1,2510,1
7,"ProxyKey7",1324,1,2541,1
8,"ProxyKey8",1325,1,2541,1
9,"ProxyKey9",1332,1,2532,1
10,"ProxyKey10",1333,1,2532,1
11,"ProxyKey11",1340,1,2547,1
12,"ProxyKey12",1320,3,2493,1
13,"ProxyKey13",1324,3,2501,1
14,"ProxyKey14",1325,3,2501,1
15,"ProxyKey15",1332,3,2541,1
16,"ProxyKey16",1333,3,2541,1
17,"ProxyKey17",1340,3,2547,1
18,"ProxyKey18",1320,6,2532,1
19,"ProxyKey19",1324,6,2510,1
20,"ProxyKey20",1325,6,2510,1
21,"ProxyKey21",1332,6,2520,1
22,"ProxyKey22",1333,6,2520,1
23,"ProxyKey23",1340,6,2547,1
24,"ProxyKey24",1320,4,2501,1
25,"ProxyKey25",1324,4,2520,1
26,"ProxyKey26",1325,4,2520,1
27,"ProxyKey27",1332,4,2493,1
28,"ProxyKey28",1333,4,2493,1
29,"ProxyKey29",1340,4,2547,1
30,"ProxyKey30",1320,5,2541,1
31,"ProxyKey31",1324,5,2493,1
32,"ProxyKey32",1325,5,2493,1
33,"ProxyKey33",1332,5,2510,1
34,"ProxyKey34",1333,5,2510,1
35,"ProxyKey35",1340,5,2547,1
36,"ProxyKey36",1320,2,2510,1
37,"ProxyKey50",1320,2,2493,1
38,"ProxyKey51",1324,2,2520,1
39,"ProxyKey37",1324,2,2541,1
40,"ProxyKey42",1325,2,2520,1
41,"ProxyKey43",1325,2,2541,1
42,"ProxyKey38",1332,2,2532,1
43,"ProxyKey44",1332,2,2501,1
44,"ProxyKey45",1333,2,2532,1
45,"ProxyKey39",1333,2,2501,1
46,"ProxyKey41",1340,2,2547,1
