"rownum","Id","Name","BaseIcon_DDSFile","Infected_DDSFile","Shaper_DDSFile","Elder_DDSFile","Drawn_DDSFile","Delirious_DDSFile","UberBlight_DDSFile"
0,"Map","Original","","","","","","",""
1,"Map2","The Awakening","","","","","","",""
2,"MapAtlas","Atlas of Worlds","","","","","","",""
3,"MapWorlds","War for the Atlas","Art/2DItems/Maps/Atlas2Maps/New/Base.dds","","","","","",""
4,"Betrayal","Betrayal","Art/2DItems/Maps/Atlas2Maps/New/Base2.dds","","","","","",""
5,"Synthesis","Synthesis","Art/2DItems/Maps/Atlas2Maps/New/Base3.dds","","","","","",""
6,"Legion","Legion","Art/2DItems/Maps/Atlas2Maps/New/Base4.dds","","","","","",""
7,"Blight","Blight","Art/2DItems/Maps/Atlas2Maps/New/Base5.dds","Art/2DItems/Maps/Atlas2Maps/New/BaseInfected.dds","","","","",""
8,"Metamorphosis","Metamorph","Art/2DItems/Maps/Atlas2Maps/New/Base6.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Drawn.dds","",""
9,"Delirium","Delirium","Art/2DItems/Maps/Atlas2Maps/New/Base7.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Drawn.dds","",""
10,"Harvest","Harvest","Art/2DItems/Maps/Atlas2Maps/New/Base8.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base8Drawn.dds","",""
11,"Heist","Heist","Art/2DItems/Maps/Atlas2Maps/New/Base9.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base9Drawn.dds","",""
12,"Ritual","Ritual","Art/2DItems/Maps/Atlas2Maps/New/Base10.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base10Drawn.dds","",""
13,"Expedition","Expedition","Art/2DItems/Maps/Atlas2Maps/New/Base11.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base11Drawn.dds","",""
14,"Hellscape","Scourge","Art/2DItems/Maps/Atlas2Maps/New/Base12.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Drawn.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12Delirious.dds","Art/2DItems/Maps/Atlas2Maps/New/Base12UberBlighted.dds"
