"rownum","ItemClass","Influence","Tag"
0,4,2,501
1,4,1,255
2,4,4,504
3,4,3,503
4,4,0,254
5,4,5,502
6,21,2,497
7,21,1,259
8,21,4,500
9,21,3,499
10,21,0,258
11,21,5,498
12,24,2,489
13,24,1,253
14,24,4,492
15,24,3,491
16,24,0,252
17,24,5,490
18,23,2,477
19,23,1,245
20,23,4,480
21,23,3,479
22,23,0,244
23,23,5,478
24,13,2,520
25,13,1,273
26,13,4,548
27,13,3,534
28,13,0,272
29,13,5,562
30,6,2,513
31,6,1,271
32,6,4,541
33,6,3,527
34,6,0,270
35,6,5,555
36,7,2,514
37,7,1,275
38,7,4,542
39,7,3,528
40,7,0,274
41,7,5,556
42,22,2,481
43,22,1,249
44,22,4,484
45,22,3,483
46,22,0,248
47,22,5,482
48,25,2,485
49,25,1,251
50,25,4,488
51,25,3,487
52,25,0,250
53,25,5,486
54,11,2,517
55,11,1,267
56,11,4,545
57,11,3,531
58,11,0,266
59,11,5,559
60,12,2,518
61,12,1,269
62,12,4,546
63,12,3,532
64,12,0,268
65,12,5,560
66,9,2,516
67,9,1,247
68,9,4,544
69,9,3,530
70,9,0,246
71,9,5,558
72,20,2,509
73,20,1,261
74,20,4,512
75,20,3,511
76,20,0,260
77,20,5,510
78,5,2,505
79,5,1,257
80,5,4,508
81,5,3,507
82,5,0,256
83,5,5,506
84,56,2,525
85,56,1,287
86,56,4,553
87,56,3,539
88,56,0,286
89,56,5,567
90,32,2,519
91,32,1,283
92,32,4,547
93,32,3,533
94,32,0,282
95,32,5,561
96,26,2,493
97,26,1,263
98,26,4,496
99,26,3,495
100,26,0,262
101,26,5,494
102,14,2,521
103,14,1,281
104,14,4,549
105,14,3,535
106,14,0,280
107,14,5,563
108,10,2,516
109,10,1,247
110,10,4,544
111,10,3,530
112,10,0,246
113,10,5,558
114,16,2,523
115,16,1,277
116,16,4,551
117,16,3,537
118,16,0,276
119,16,5,565
120,17,2,524
121,17,1,279
122,17,4,552
123,17,3,538
124,17,0,278
125,17,5,566
126,15,2,522
127,15,1,265
128,15,4,550
129,15,3,536
130,15,0,264
131,15,5,564
132,8,2,515
133,8,1,285
134,8,4,543
135,8,3,529
136,8,0,284
137,8,5,557
138,57,2,526
139,57,1,289
140,57,4,554
141,57,3,540
142,57,0,288
143,57,5,568
