"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","[rid]"
0,"Metadata/Pet/Kiwi/Basic",3550,37988,-398558118,8,"","",[1]
1,"Metadata/Pet/Kiwi/Bronze",3551,44438,774276016,8,"","",[1]
2,"Metadata/Pet/Kiwi/Silver",3552,42132,-80846918,8,"","",[1]
3,"Metadata/Pet/Kiwi/Gold",3553,60474,1808500721,8,"","",[1]
4,"Metadata/Pet/Kiwi/Diamond",3554,18975,235029533,9,"","",[1]
5,"Metadata/Pet/Basilisk/Green",3527,61895,-1091154127,8,"","",[1]
6,"Metadata/Pet/Basilisk/Infernal",3528,36008,237863557,8,"","",[1]
7,"Metadata/Pet/Basilisk/Spectral",3529,17172,1286475706,8,"","",[1]
8,"Metadata/Pet/Frog/Blue",3530,37577,1910039313,8,"","",[1]
9,"Metadata/Pet/Frog/BlueCrown",3531,48394,1576132859,8,"","",[1]
10,"Metadata/Pet/Frog/Green",3532,58853,1150919036,8,"","",[1]
11,"Metadata/Pet/Frog/GreenCrown",3533,38190,-1138087676,8,"","",[1]
12,"Metadata/Pet/Frog/Red",3534,47577,-1986187196,8,"","",[1]
13,"Metadata/Pet/Frog/RedCrown",3535,46175,1589963419,8,"","",[1]
14,"Metadata/Pet/Frog/Mysterious",3536,45262,-943687922,8,"","",[1]
15,"Metadata/Pet/Scorpion/Black",3537,37381,-296518570,8,"","",[1]
16,"Metadata/Pet/Scorpion/Chrome",3538,20859,386156159,8,"","",[1]
17,"Metadata/Pet/Scorpion/Purple",3539,13085,1481075546,8,"","",[1]
18,"Metadata/Pet/Scorpion/Red",3540,29389,-2141064532,8,"","",[1]
19,"Metadata/Pet/Scorpion/White",3541,41999,784698058,8,"","",[1]
20,"Metadata/Pet/Scorpion/Yellow",3542,20903,465717861,8,"","",[1]
21,"Metadata/Pet/Weta/Basic",3546,33343,1722344599,8,"","",[1]
22,"Metadata/Pet/Weta/Colossal",3547,12979,1519151167,8,"","",[1]
23,"Metadata/Pet/Weta/Giant",3548,29172,1896349948,8,"","",[1]
24,"Metadata/Pet/Scorpion/fire_upgrade",3543,30851,493774317,8,"","",[1]
25,"Metadata/Pet/Scorpion/acid_upgrade",3544,37150,501714169,8,"","",[1]
26,"Metadata/Pet/Scorpion/Light_upgrade",3545,5815,-902046580,8,"","",[1]
27,"Metadata/Pet/Weta/Blood",3549,58150,-1362539025,8,"","",[1]
28,"Metadata/Pet/Kiwi/Albino",3555,27785,495546624,8,"","",[1]
29,"Metadata/Pet/BabyRhoa/babyrhoa",3556,26930,-1705315480,8,"","",[1]
30,"Metadata/Pet/BabyRhoa/babyrhoa_attach1",3557,17929,55199043,8,"","",[1]
31,"Metadata/Pet/BabyRhoa/babyrhoa_attach2",3558,25177,-1157441189,8,"","",[1]
32,"Metadata/Pet/BabyRhoa/babyrhoa_attach3",3559,14091,-1647793469,8,"","",[1]
33,"Metadata/Pet/BabyRhoaFlying/babyrhoaflying",3560,27061,-1667107564,9,"","",[1]
34,"Metadata/Pet/Ferret/Ferret",3561,23993,-1027825915,8,"","",[1]
35,"Metadata/Pet/Cat/Black",3562,45791,424651664,8,"","",[1]
36,"Metadata/Pet/DemonHand/Basic",3563,44454,-915315497,8,"","",[1]
37,"Metadata/Pet/Fox/infernal_fox/Infernal",3564,28741,-177240790,9,"","",[1]
38,"Metadata/Pet/Bat/Vampire_Bat/Lightning",3565,63077,1760403080,8,"","",[1]
39,"Metadata/Pet/Garena/Garena",3566,21065,1776958371,8,"","",[1]
40,"Metadata/Pet/BellLizard/BellLizard",3567,38215,-1052814216,8,"","",[1]
41,"Metadata/Pet/Lion/Demon/DemonLion",3568,61331,2043582045,11,"","",[1]
42,"Metadata/Pet/Lion/Gem/GemLion",3569,51436,92786027,11,"","",[1]
43,"Metadata/Pet/Cobra/Cobra",3570,37676,2142825620,8,"","",[1]
44,"Metadata/Pet/Cockroach/Cockroach",3571,61480,-184875821,8,"","",[1]
45,"Metadata/Pet/FormosanBear/FormosanBear",3572,51230,-33606175,10,"","",[1]
46,"Metadata/Pet/SpiderLizard/SpiderLizard",3573,179,1059602331,8,"","",[1]
47,"Metadata/Pet/BlueLandCrab/BlueLandCrab",3574,32372,2015692369,8,"","",[1]
48,"Metadata/Pet/CaneToad/CaneToad1/CaneToad1",3575,37890,1447674443,8,"","",[1]
49,"Metadata/Pet/CaneToad/CaneToad2/CaneToad2",3576,236,-1925083731,8,"","",[1]
50,"Metadata/Pet/CaneToad/CaneToad3/CaneToad3",3577,32726,107313587,8,"","",[1]
51,"Metadata/Pet/CaneToad/CaneToad4/CaneToad4",3578,38988,-170234474,8,"","",[1]
52,"Metadata/Pet/CaneToad/CaneToad5/CaneToad5",3579,35988,561753583,8,"","",[1]
53,"Metadata/Pet/CaneToad/CaneToad6/CaneToad6",3580,52732,1611509233,8,"","",[1]
54,"Metadata/Pet/Spider/spider",3581,55525,-1498775985,8,"","",[1]
55,"Metadata/Pet/FormosanDeer/FormosanDeer",3582,24612,-519143126,10,"","",[1]
56,"Metadata/Pet/FlySwarm/FlySwarm",3583,21094,323895592,10,"","",[1]
57,"Metadata/Pet/DropBear/DropBear",3586,53741,-1624813878,9,"","",[1]
58,"Metadata/Pet/BloodWorm/BloodWorm",3587,22385,250173848,8,"","",[1]
59,"Metadata/Pet/Rat_Black/Rat_Black",3588,12421,1561226635,8,"","",[1]
60,"Metadata/Pet/RollingHead/RollingHead",3589,39587,525305324,8,"","",[1]
61,"Metadata/Pet/FlySwarm/FlySwarmGreen",3584,54607,-1460765279,9,"","",[1]
62,"Metadata/Pet/FlySwarm/FlySwarmOrange",3585,45808,65843484,9,"","",[1]
63,"Metadata/Pet/BabyBlackDeath/BabyBlackDeath",3590,61684,736025386,10,"","",[1]
