"rownum","Id","StatsKey","bool","StatMin","StatMax"
0,"IsMagic",1946,"",1,1
1,"IsRare",1946,"",2,2
2,"IsUnique",1946,"",3,3
3,"IsTwinned",981,1,1,1
4,"IsUnidentified",1358,1,1,1
5,"IsCorrupted",2524,1,1,1
6,"Has8ExplicitMods",4499,1,8,8
7,"Has10TotalMods",6504,1,10,10
8,"Has3Leaguestones",5808,1,3,3
9,"HasZanaMod",7701,1,1,1
10,"HasCraftedMods",7702,1,1,1
11,"HasShaperInfluence",6841,"",1,1
12,"HasElderInfluence",6841,"",2,2
13,"HasShaperOrElderInfluence",6841,"",1,2
14,"IsWhiteTier",10033,"",1,5
15,"IsYellowTier",10033,"",6,10
16,"IsRedTier",10033,"",11,16
17,"HasSextantMod",5841,1,1,1
18,"HasNemesisSextant",4939,1,1,1
19,"HasGroundHasteSextant",5060,1,1,1
20,"HasNoReflectSextant",5086,1,1,1
21,"HasExtraTeamMonstersSextant",5094,1,1,1
22,"HasBodyguardsSextant",5123,1,1,1
23,"HasBarrelSextant1",5120,1,1,1
24,"HasBarrelSextant2",5147,1,1,1
25,"HasBarrelSextant3",5148,1,1,1
26,"HasBarrelSextant4",5149,1,1,1
27,"HasBarrelSextant5",5150,1,1,1
28,"HasBarrelSextant6",5151,1,1,1
29,"HasConvertOnDeathSextant",5093,1,1,1
30,"HasOnslaughtIfHitRecentlySextant",5043,1,1,1
31,"HasQualityAffectsRaritySextant",5078,1,1,1
32,"HasCorruptedDropsSextant",5080,1,1,1
33,"HasMinStrongboxRaritySextant",5146,1,1,1
34,"HasPossessedRustedScarabSextant",9353,1,1,1
35,"HasPossessedPolishedScarabSextant",9354,1,1,1
36,"HasPossessedGildedScarabSextant",9355,1,1,1
37,"HasPossessedWingedScarabSextant",9356,1,1,1
38,"HasPossessedUniqueDropSextant",9357,1,1,1
39,"HasPossessedMapDropSextant",9358,1,1,1
40,"HasShrineDurationSextant",5721,1,1,1
41,"HasCurrencyShardSextant",9362,1,1,1
42,"HasVaalMonstersSextant",9387,1,1,1
43,"HasBeyondSextant",9378,1,1,1
44,"HasTormentBetrayersSextant",9416,1,1,1
45,"HasTormentHereticsSextant",9417,1,1,1
46,"HasTormentGraverobbersSextant",9415,1,1,1
47,"HasCorruptEssenceSextant",9832,1,1,1
48,"HasTempests",3121,1,1,1
49,"HasLegionSextant",9375,1,1,1
50,"HasQuality",5079,1,20,20
51,"IsDeliriumMap",11534,1,1,1
52,"IsMaximumDelirium",11534,1,100,100
53,"AwakeningLevel8",10727,1,8,8
54,"ContainsElderGuardian",6560,1,1,1
55,"IsBlightedMap",10364,1,1,1
56,"IsT10PlusHellscapeMap",15115,1,10,10
57,"HasIncreasedAreaOfEffect",3246,1,1,1
58,"HasMinusMaxResistances",1009,1,-25,-25
59,"HasAdditionalProjectiles",996,1,1,1
60,"HasAttackSpeed",992,1,1,1
61,"HasCastSpeed",993,1,1,1
62,"HasMovementSpeed",991,1,1,1
