"rownum","Area","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","[i32]","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,12,0,60,0,0,0,0,0,100,20,0,0,"[10,90,0,0]",0,0,80,20,80,0,0,0,0,0,100,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,100,0,100
4,4,0,12,0,30,0,0,0,0,0,100,25,0,0,"[10,90,0,0]",0,0,40,20,40,0,10,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,100
5,5,0,15,10,60,15,0,0,0,0,100,30,0,0,"[10,90,0,0]",20,0,80,20,80,20,15,0,0,0,100,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,100,0,100
6,6,0,15,0,30,15,0,0,0,0,100,35,0,0,"[10,90,0,0]",0,0,40,20,40,20,15,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,100
7,7,0,15,10,60,15,0,0,0,0,100,40,0,0,"[30,60,10,0]",20,0,80,20,80,20,20,0,0,0,0,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100
8,8,0,15,15,60,15,0,0,0,0,100,50,0,0,"[30,60,10,0]",20,0,80,20,80,20,20,0,0,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100
9,9,0,15,40,60,15,0,0,0,0,100,50,0,0,"[30,60,10,0]",15,0,80,20,80,20,80,33,0,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100
10,10,0,15,50,60,15,0,0,0,0,100,40,0,0,"[30,60,10,0]",20,0,80,20,80,20,20,23,10,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100
11,11,0,15,0,60,15,0,0,0,0,100,35,1,20,"[30,60,10,0]",20,0,80,20,80,20,20,23,10,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100
12,12,0,15,0,60,15,0,0,0,0,100,30,2,30,"[30,60,10,0]",20,0,80,20,80,20,20,23,10,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100
13,13,0,15,80,60,15,0,0,0,0,100,30,2,20,"[30,60,10,0]",20,0,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,80,6,0,0,0,0,0,0,100,0,100
14,14,5,15,40,60,15,0,0,0,0,100,30,2,20,"[30,60,10,0]",20,0,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,80,6,0,0,0,0,0,0,100,0,100
15,15,5,15,0,30,15,0,0,0,0,100,30,2,20,"[30,60,10,0]",20,0,40,20,40,20,20,11,10,0,100,0,0,0,6,0,0,0,40,6,0,0,0,0,0,0,100,0,100
16,16,5,15,35,60,15,0,0,0,10,100,30,2,20,"[30,60,10,0]",20,0,80,20,80,20,20,11,10,0,100,0,0,0,13,10,0,0,80,6,0,0,0,0,0,0,100,0,100
17,17,5,15,35,60,15,0,0,0,10,100,30,2,20,"[30,60,10,0]",20,0,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,80,6,0,0,0,0,0,0,100,0,100
18,18,0,15,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,5,15,0,30,15,0,0,0,10,100,30,0,0,"[33,33,33,0]",0,0,40,20,40,20,20,11,10,0,100,0,0,0,6,0,0,0,38,8,0,0,0,0,0,0,100,0,100
20,20,5,15,40,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
21,21,5,15,0,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
22,22,5,15,35,60,15,30,12,10,10,100,30,2,30,"[33,33,33,0]",20,10,80,20,80,20,20,23,10,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100
