"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","NotificationIcon","HideoutName","Id"
0,8,1,[503],0,"","","","SeraphBootsCerulean"
1,8,2,[502],0,"","","","SeraphBodyCerulean"
2,8,3,[504],0,"","","","SeraphGlovesCerulean"
3,8,4,[505],0,"","","","SeraphHelmetCerulean"
4,9,1,[515],0,"","","","SeraphBootsSanguine"
5,9,2,[514],0,"","","","SeraphBodySanguine"
6,9,3,[516],0,"","","","SeraphGlovesSanguine"
7,9,4,[517],0,"","","","SeraphHelmetSanguine"
8,7,1,[6701],0,"","","","HideoutTotemPole1"
9,10,1,[6703],0,"","","","HideoutTotemPole2"
10,11,5,[507],0,"","","","SeraphBootsGolden"
11,11,10,[508],0,"","","","SeraphGlovesGolden"
12,11,15,[506],0,"","","","SeraphBodyGolden"
13,11,20,[509],0,"","","","SeraphHelmetGolden"
14,12,7,[654],0,"","","","RigwaldBoots"
15,12,14,[655],0,"","","","RigwaldGloves"
16,12,21,[656],0,"","","","RigwaldBody"
17,12,28,[653],0,"","","","RigwaldHelmet"
18,12,18,[6705],2,"","","","HideoutTotemPole3"
19,13,12,[689],0,"","","","PerandusFootprints"
20,13,24,[690],0,"","","","PerandusWeapon"
21,13,36,[691],0,"","","","PerandusPortal"
22,13,19,[6707],3,"","","","HideoutTotemPole4"
23,14,12,[712],0,"","","","ProphecyFootprints"
24,14,24,[713],0,"","","","ProphecyWeapon"
25,14,36,[3618],0,"","","","NavaliMonkey"
26,14,19,[6709],3,"","","","HideoutTotemPole5"
27,15,12,[780],0,"","","","EssenceFootprints"
28,15,24,[778],0,"","","","EssenceWings"
29,15,36,[779],0,"","","","EssencePortal"
30,15,19,[6711],3,"","","","HideoutTotemPole6"
31,16,12,[837],0,"","","","BreachFootprints"
32,16,24,[818],0,"","","","BreachPortal"
33,16,36,[808],0,"","","","DemonicWings"
34,16,19,[6713],3,"","","","HideoutTotemPole7"
35,17,12,[895],0,"","","","LegacyFootprintsEffect"
36,17,24,[901],0,"","","","LegacyWeaponEffect"
37,17,36,[850],0,"","","","LegacyPortalEffect"
