"rownum","Id","IsSupport","AllowedActiveSkillTypes","BaseEffectiveness","IncrementalEffectiveness","SupportGemLetter","i32","AddedActiveSkillTypes","ExcludedActiveSkillTypes","SupportsGemsOnly","i32","[i32]","bool","i32","CastTime","ActiveSkill","bool","bool","[i32]","rid","MultiPartAchievement","bool","SupportWeaponRestrictions","GrantedEffect"
0,"Fireball","",[],2.9384,0.0412,"",3,[],[],"",-800852557,[],"",2,750,44,"","",[],"","","",[],""
1,"FireballRoyale","",[],3.4315,0.0412,"",3,[],[],"",-1174666910,[],"",2,750,44,"","",[],"","","",[],""
2,"MonsterFireball","",[],2.5,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
3,"MonsterFireballContactPos","",[],2.5,0.0394,"",3,[],[],"",0,[],"",2,1330,44,"","",[],"","","",[],""
4,"BlightMonsterFireball","",[],2.5,0.045,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
5,"GemlingFireball1","",[],1.7889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
6,"GemlingFireball2","",[],1.7889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
7,"GemlingFireball3","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,3000,44,"","",[],"","","",[],""
8,"FireballSuperNovaCitystalker","",[],0.6111,0.0394,"",3,[],[],"",0,[],"",2,2300,44,"","",[],"","","",[],""
9,"MonsterFireball3Parallel","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
10,"HolyFireElementalFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
11,"LegionTemplarFireball","",[],2.75,0.04,"",3,[],[],"",0,[],"",2,1330,44,"","",[],"","","",[],""
12,"HolyCitystalkerFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
13,"AbberathMinionFireball","",[],1.7833,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
14,"AbberathMinionFireballMap","",[],1.605,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
15,"ExileShadowFireball","",[],0.9444,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
16,"AvariusFireball","",[],4.4444,0.03,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
17,"AvariusWickermanFireball","",[],2,0.03,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
18,"AvariusJudgeFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
19,"BlackguardClericBossFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
20,"VaalSideAreaBossHolyFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
21,"PhoenixMinionFireball","",[],4.6444,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
22,"IzaroDaemonFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
23,"MonsterFireballSideArea","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
24,"ProphecyFireballBurst","",[],1.5222,0.0414,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
25,"EssenceFireballBurst","",[],1.5222,0.0414,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
26,"ProphecyMultiFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
27,"MonsterFireballStrMissionBoss","",[],0.5889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
28,"MonsterFireballKaomsChest","",[],1.5222,0.0414,"",1,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
29,"MonsterMultiFireball","",[],0.7778,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
30,"MonsterMultiFireballSpectre","",[],0.7778,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
31,"MonsterSplitFireball","",[],0.9556,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
32,"MonsterSplitFireballSpectre","",[],0.9556,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
33,"MonsterLesserMultiFireball","",[],0.8889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
34,"MonsterLesserMultiFireballSpectre","",[],0.8889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
35,"MonsterFireballGoatmanBoss","",[],1.0222,0.0339,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
36,"MonsterFireballVaalSummonedSkeleton","",[],1.1889,0.0475,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
37,"PyroFireball","",[],1.1889,0.0394,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
38,"PyroFireballInvasion","",[],1.1889,0.0394,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
39,"BloodlinesYellowElementalPyroFireball","",[],0.4467,0.034,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
40,"PyroFireballBossSideArea","",[],1.0222,0.0394,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
41,"PyroChaosFireball","",[],1.3556,0.0285,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
42,"WbAnimatedItemChaosFireball","",[],1.3556,0.0285,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
43,"GladiatorBossFireball","",[],0.9444,0.048,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
44,"ExileFireball","",[],0.9444,0.048,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
45,"GemlingFireball","",[],0.7778,0.04,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
46,"ProphecyDragonFireball","",[],1.7778,0.0414,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
