"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1"
0,3574,[8254],"[8255,8431,8430,8435]","[8256,8347,8432,8434]",10,100,1000,"",125,[8473],[8474]
1,3575,[8257],"[8258,8431,8430,8435]","[8259,8345,8432,8434]",6,100,2500,"",125,[8473],[8474]
2,3576,[8260],"[8261,8431,8430,8435]","[8262,8347,8432,8434]",10,100,1000,3040,125,[8473],[8474]
3,3577,[8263],"[8264,8431,8430,8435]","[8265,8347,8432,8434]",10,100,1000,"",125,[8473],[8474]
4,3578,[8292],"[8293,8431,8430,8435]","[8294,8348,8432,8434]",30,100,500,"",125,[8473],[8474]
5,3579,[8305],"[8306,8431,8430,8435]","[8307,8347,8432,8434]",15,100,1000,"",8,[8473],[8474]
6,3580,"[8272,8273]","[8274,8431,8430,8435]","[8275,8347,8432,8434]",15,100,1000,1836,125,[8473],[8474]
7,3581,[8298],"[8299,8431,8430,8435]","[8300,8347,8432,8434]",6,100,1000,"",125,[8473],[8474]
8,3582,[8266],"[8267,8431,8430,8435]","[8268,8347,8432,8434]",20,100,1000,"",125,[8473],[8474]
9,3583,[8269],"[8270,8431,8430,8435]","[8271,8348,8432,8434]",30,100,500,277,125,[8473],[8474]
10,3584,[8276],"[8277,8431,8430,8435]","[8278,8345,8432,8434]",1,100,2500,"",125,[8473],[8474]
11,3585,[8279],"[8280,8431,8430,8435]","[8281,8345,8282,8432,8434]",1,100,2500,"",125,[8473],[8474]
12,3586,[],"[8283,8431,8430,8435]","[8284,8348,8432,8434]",60,100,1,"",125,[8473],[8474]
13,3587,[8285],"[8286,8431,8430,8435]","[8287,8348,8432,8434]",60,100,500,"",125,[8473],[8474]
14,3588,[8289],"[8290,8431,8430,8435]","[8291,8345,8432,8434]",1,100,2500,"",125,[8473],[8474]
15,3589,[8295],"[8296,8431,8430,8435]","[8297,8345,8432,8434]",6,100,2500,"",125,[8473],[8474]
16,3590,"[8301,8302]","[8303,8431,8430,8435]","[8304,8347,8432,8434]",20,100,1000,42,125,[8473],[8474]
17,3591,[8308],"[8309,8431,8430,8435]","[8310,8348,8432,8434]",40,100,500,"",10,[8473],[8474]
18,3592,[8314],"[8315,8431,8430,8435]","[8316,8347,8432,8434]",20,100,1000,"",125,[8473],[8474]
19,3593,[8317],"[8318,8431,8430,8435]","[8319,8345,8432,8434]",1,100,2500,"",125,[8473],[8474]
20,3594,[8321],"[8322,8431,8430,8435]","[8323,8347,8432,8434]",10,100,1000,"",125,[8473],[8474]
21,3595,[8324],"[8326,8431,8430,8435]","[8327,8325,8348,8432,8434]",40,100,500,"",125,[8473],[8474]
22,3598,[8328],"[8329,8431,8430,8435]","[8344,8330,8348,8432,8434]",1,100,0,"",125,[8473],[8474]
23,3596,[8331],"[8332,8431,8430,8435]","[8333,8346,8433,8434]",1,100,0,"",125,[8473],[8474]
24,3597,[8334],"[8335,8431,8430,8435]","[8336,8346,8433,8434]",1,100,0,"",125,[8473],[8474]
25,3599,[8337],"[8338,8431,8430,8435]","[8339,8345,8432,8434]",1,100,0,"",125,[8473],[8474]
26,3600,[8337],"[8338,8431,8430,8435]","[8340,8345,8432,8434]",1,100,0,"",125,[8473],[8474]
27,3601,[8337],"[8338,8431,8430,8435]","[8341,8345,8432,8434]",1,100,0,"",125,[8473],[8474]
28,3602,[8337],"[8338,8431,8430,8435]","[8342,8345,8432,8434]",1,100,0,"",125,[8473],[8474]
29,3603,[8337],"[8338,8431,8430,8435]","[8343,8345,8432,8434]",1,100,0,"",125,[8473],[8474]
30,3604,[19227],"[19228,8431,8430,8435]","[19229,8348,8432,8434]",68,100,0,3820,125,[8473],[8474]
31,3605,[19224],"[19225,8431,8430,8435]","[19226,8348,8432,8434]",68,100,0,"",125,[8473],[8474]
32,3606,[19230],"[19231,8431,8430,8435]","[19232,8348,8432,8434]",68,100,0,"",125,[8473],[8474]
33,7158,[],"[8277,8431,8430,8435]","[8278,8345,8432,8434]",1,100,0,"",125,[8473],[8474]
34,7159,[],"[8277,8431,8430,8435]","[8278,8345,8432,8434]",1,100,0,"",125,[8473],[8474]
35,7160,[],"[8277,8431,8430,8435]","[8278,8345,8432,8434]",1,100,0,"",125,[8473],[8474]
36,7161,[],"[8277,8431,8430,8435]","[8278,8345,8432,8434]",1,100,0,"",125,[8473],[8474]
37,7162,[],"[8277,8431,8430,8435]","[8278,8345,8432,8434]",1,100,0,"",125,[8473],[8474]
