"rownum","ModsKey","i32","i32","i32"
0,21421,2,9,100
1,21422,10,14,100
2,21423,15,20,100
3,21431,21,30,50
4,21424,2,9,100
5,21425,10,14,100
6,21426,15,30,100
7,21337,15,30,10
8,21338,15,30,10
9,21339,15,30,10
10,21340,10,14,0
11,21341,15,30,0
12,21342,10,14,0
13,21343,15,30,0
14,21344,10,14,0
15,21345,15,30,0
16,21346,10,14,20
17,21347,15,30,20
18,21348,5,14,35
19,21349,15,30,35
20,21350,5,9,50
21,21351,10,15,50
22,21352,15,30,50
23,21353,2,9,25
24,21354,10,14,25
25,21355,15,20,25
26,21436,21,30,25
27,21356,5,9,25
28,21357,10,14,25
29,21358,15,30,25
30,21359,5,9,25
31,21360,10,14,25
32,21361,15,30,25
33,21362,2,9,25
34,21363,10,14,25
35,21364,15,20,25
36,21437,21,30,25
37,21365,5,9,25
38,21366,10,14,25
39,21367,15,30,25
40,21368,5,9,25
41,21369,10,14,25
42,21370,15,30,25
43,21371,2,9,25
44,21372,10,14,25
45,21373,15,20,25
46,21434,21,30,25
47,21374,5,9,25
48,21375,10,14,25
49,21376,15,30,25
50,21377,5,9,25
51,21378,10,14,25
52,21379,15,30,25
53,21380,2,9,25
54,21381,10,14,25
55,21382,15,20,25
56,21435,21,30,25
57,21383,10,14,25
58,21384,15,17,25
59,21385,15,30,25
60,21386,5,9,25
61,21387,10,14,25
62,21388,15,30,25
63,21389,2,9,25
64,21390,10,14,25
65,21391,15,20,25
66,21438,21,30,25
67,21392,10,14,25
68,21393,15,17,25
69,21394,18,30,25
70,21395,10,14,20
71,21396,15,30,20
72,21397,2,9,20
73,21398,10,14,20
74,21399,15,30,20
75,21400,10,14,10
76,21401,15,17,10
77,21402,15,30,10
78,21403,2,9,100
79,21404,10,14,100
80,21405,15,30,100
81,21406,10,14,25
82,21407,15,30,25
83,21408,10,14,25
84,21409,15,30,25
85,21410,10,14,25
86,21411,15,30,25
87,21412,10,14,0
88,21413,15,30,0
89,21414,10,14,10
90,21415,15,20,10
91,21433,21,30,10
92,21416,10,14,10
93,21417,15,30,10
94,21418,2,9,30
95,21419,10,14,30
96,21420,15,30,30
97,21427,2,9,40
98,21428,10,14,40
99,21429,15,20,40
100,21432,21,30,40
