"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,8048
1,0,2,8049
2,0,3,8050
3,0,4,8051
4,1,1,8036
5,1,2,8037
6,1,3,8038
7,1,4,8039
8,2,1,8040
9,2,2,8041
10,2,3,8042
11,2,4,8043
12,3,1,8044
13,3,2,8045
14,3,3,8046
15,3,4,8047
16,4,1,8056
17,4,2,8057
18,4,3,8058
19,4,4,8059
20,5,1,8060
21,5,2,8061
22,5,3,8062
23,5,4,8063
24,6,1,8068
25,6,2,8069
26,6,3,8070
27,6,4,8071
28,7,1,8072
29,7,2,8073
30,7,3,8074
31,7,4,8075
32,8,1,8076
33,8,2,8077
34,8,3,8078
35,8,4,8079
36,9,1,8080
37,9,2,8081
38,9,3,8082
39,9,4,8083
40,10,1,8084
41,10,2,8085
42,10,3,8086
43,10,4,8087
44,11,1,8088
45,11,2,8089
46,11,3,8090
47,11,4,8091
48,12,1,8092
49,12,2,8093
50,12,3,8094
51,12,4,8095
52,13,1,8064
53,13,2,8065
54,13,3,8066
55,13,4,8067
56,14,1,8096
57,14,2,8097
58,14,3,8098
59,14,4,8099
60,15,1,8100
61,15,2,8101
62,15,3,8102
63,15,4,8103
