"rownum","Id","BaseItemTypesKeys","WorldAreasKey","MicrotransactionPortalVariation","AreaLevel","i32","i32","IsLegionMap","IsShaperOrElderFight","IsMavenFight","bool","[rid]"
0,"Disabled","[6246,6247,6248]",0,"",0,2604,1,"","","","",[]
1,"Atziri1","[6178,6179,6180,6181]",745,24,0,2604,0,"","","","",[]
2,"Atziri2","[6183,6184,6185,6186]",746,24,0,2604,0,"","","","",[]
3,"VaalFragment1_1",[6178],1487,"",72,2604,0,"","","","",[]
4,"VaalFragment1_2",[6179],1487,"",70,2604,0,"","","","",[]
5,"VaalFragment1_3",[6180],1487,"",71,2604,0,"","","","",[]
6,"VaalFragment1_4",[6181],1487,"",69,2604,0,"","","","",[]
7,"VaalFragment2_1",[6183],1487,"",74,2604,0,"","","","",[]
8,"VaalFragment2_2",[6184],1487,"",76,2604,0,"","","","",[]
9,"VaalFragment2_3",[6185],1487,"",75,2604,0,"","","","",[]
10,"VaalFragment2_4",[6186],1487,"",73,2604,0,"","","","",[]
11,"PaleCourt","[6188,6189,6190,6191]",274,"",0,2604,0,"","","","",[]
12,"ShapersRealm","[6193,6194,6195,6196]",1238,20,0,2604,0,"",1,"","",[]
13,"EldersRealm","[6198,6199,6200,6201]",1271,108,0,2604,0,"",1,"","",[]
14,"UberEldersRealm","[6203,6204,6205,6206]",1272,20,0,2604,0,"",1,"","",[]
15,"BreachDomainFire",[6209],1052,"",0,2604,0,"","","","",[]
16,"BreachDomainCold",[6210],1053,"",0,2604,0,"","","","",[]
17,"BreachDomainLightning",[6211],1054,"",0,2604,0,"","","","",[]
18,"BreachDomainPhysical",[6212],1050,"",0,2604,0,"","","","",[]
19,"BreachDomainChaos",[6213],1051,"",0,2604,0,"","","","",[]
20,"ClassicVault",[6249],275,27,0,2604,0,"","","","",[]
21,"MaligaroMap",[4917],106,"",0,1283,0,"","","","",[]
22,"340Vault",[6250],276,27,0,2604,0,"","","","",[]
23,"BreachDomainFire2",[6214],1057,"",0,2604,0,"","","","",[]
24,"BreachDomainCold2",[6215],1058,"",0,2604,0,"","","","",[]
25,"BreachDomainLightning2",[6216],1059,"",0,2604,0,"","","","",[]
26,"BreachDomainPhysical2",[6217],1055,"",0,2604,0,"","","","",[]
27,"BreachDomainChaos2",[6218],1056,"",0,2604,0,"","","","",[]
28,"BreachDomainFire3",[6219],1062,"",0,2604,0,"","","","",[]
29,"BreachDomainCold3",[6220],1063,"",0,2604,0,"","","","",[]
30,"BreachDomainLightning3",[6221],1064,"",0,2604,0,"","","","",[]
31,"BreachDomainPhysical3",[6222],1060,"",0,2604,0,"","","","",[]
32,"BreachDomainChaos3",[6223],1061,"",0,2604,0,"","","","",[]
33,"BreachDomainFire4",[6224],1067,"",0,2604,0,"","","","",[]
34,"BreachDomainCold4",[6225],1068,"",0,2604,0,"","","","",[]
35,"BreachDomainLightning4",[6226],1069,"",0,2604,0,"","","","",[]
36,"BreachDomainPhysical4",[6227],1065,"",0,2604,0,"","","","",[]
37,"BreachDomainChaos4",[6228],1066,"",0,2604,0,"","","","",[]
38,"BreachDomainFire5",[6229],1072,"",0,2604,0,"","","","",[]
39,"BreachDomainCold5",[6230],1073,"",0,2604,0,"","","","",[]
40,"BreachDomainLightning5",[6231],1074,"",0,2604,0,"","","","",[]
41,"BreachDomainPhysical5",[6232],1070,"",0,2604,0,"","","","",[]
42,"BreachDomainChaos5",[6233],1071,"",0,2604,0,"","","","",[]
43,"EndgameLegionMap","[6234,6236,6237,6238,6235,6239,6240,6241,6242,6243]",1282,86,0,2604,2,1,"","","",[]
44,"EndgameLegionMap2","[6234,6236,6237,6238,6235,6239,6240,6241,6242,6243]",1283,86,0,2604,3,1,"","","",[]
45,"EndgameLegionMap3","[6234,6236,6237,6238,6235,6239,6240,6241,6242,6243]",1284,86,0,2604,4,1,"","","",[]
46,"EndgameLegionMap4","[6234,6236,6237,6238,6235,6239,6240,6241,6242,6243]",1285,86,0,2604,5,1,"","","",[]
47,"AfflictionBoss",[6244],1488,122,0,2604,0,"","","","",[]
48,"MavenFight","[8358,8359,8360,8361,8362,8363,8364,8365,8366,8367,8368,8369,8370,8371,8372,8373,8374,8375,8376,8377,8378,8379,8380,8381,8382,8383,8384,8385,8386,8387,8388,8389,8390,8391,8392,8393,8394,8395,8396,8397,8398,8399,8400,8401,8402]",1704,157,0,2604,1,1,"",1,1,[]
49,"MavenBoss",[8403],1705,157,0,2604,0,1,"","",1,[]
50,"VaalVault",[6251],277,24,0,2604,0,"","","","",[]
51,"IncursionTemple",[8429],284,50,0,2604,0,"","","","",[]
52,"UltimatumTrial",[8430],1711,159,0,2604,0,"","","",1,[]
53,"HarvestBoss",[8431],1288,135,0,2604,0,"","","","",[]
