"rownum","ChestsKey","LegionFactionsKey","LegionRanksKey","MonsterVarietiesKey","i32"
0,1233,0,0,7145,4
1,1234,0,1,7146,4
2,1235,3,0,7147,4
3,1236,3,1,7148,4
4,1237,2,0,7149,4
5,1238,2,1,7150,4
6,1239,4,0,7151,4
7,1240,4,1,7152,4
8,1241,1,0,7153,4
9,1242,1,1,7154,4
10,1233,0,4,7145,4
11,1234,0,5,7146,4
12,1235,3,4,7147,4
13,1236,3,5,7148,4
14,1237,2,4,7149,4
15,1238,2,5,7150,4
16,1239,4,4,7151,4
17,1240,4,5,7152,4
18,1241,1,4,7153,4
19,1242,1,5,7154,4
20,1233,0,8,7145,4
21,1234,0,9,7146,4
22,1235,3,8,7147,4
23,1236,3,9,7148,4
24,1237,2,8,7149,4
25,1238,2,9,7150,4
26,1239,4,8,7151,4
27,1240,4,9,7152,4
28,1241,1,8,7153,4
29,1242,1,9,7154,4
30,1233,0,12,7145,4
31,1234,0,13,7146,4
32,1235,3,12,7147,4
33,1236,3,13,7148,4
34,1237,2,12,7149,4
35,1238,2,13,7150,4
36,1239,4,12,7151,4
37,1240,4,13,7152,4
38,1241,1,12,7153,4
39,1242,1,13,7154,4
40,1233,0,16,7145,4
41,1234,0,17,7146,4
42,1235,3,16,7147,4
43,1236,3,17,7148,4
44,1237,2,16,7149,4
45,1238,2,17,7150,4
46,1239,4,16,7151,4
47,1240,4,17,7152,4
48,1241,1,16,7153,4
49,1242,1,17,7154,4
50,1233,0,20,7145,4
51,1234,0,21,7146,4
52,1235,3,20,7147,4
53,1236,3,21,7148,4
54,1237,2,20,7149,4
55,1238,2,21,7150,4
56,1239,4,20,7151,4
57,1240,4,21,7152,4
58,1241,1,20,7153,4
59,1242,1,21,7154,4
60,1233,0,24,7145,4
61,1234,0,25,7146,4
62,1235,3,24,7147,4
63,1236,3,25,7148,4
64,1237,2,24,7149,4
65,1238,2,25,7150,4
66,1239,4,24,7151,4
67,1240,4,25,7152,4
68,1241,1,24,7153,4
69,1242,1,25,7154,4
70,1233,0,28,7145,4
71,1234,0,29,7146,4
72,1235,3,28,7147,4
73,1236,3,29,7148,4
74,1237,2,28,7149,4
75,1238,2,29,7150,4
76,1239,4,28,7151,4
77,1240,4,29,7152,4
78,1241,1,28,7153,4
79,1242,1,29,7154,4
80,1233,0,32,7145,4
81,1234,0,33,7146,4
82,1235,3,32,7147,4
83,1236,3,33,7148,4
84,1237,2,32,7149,4
85,1238,2,33,7150,4
86,1239,4,32,7151,4
87,1240,4,33,7152,4
88,1241,1,32,7153,4
89,1242,1,33,7154,4
90,1233,0,36,7145,4
91,1234,0,37,7146,4
92,1235,3,36,7147,4
93,1236,3,37,7148,4
94,1237,2,36,7149,4
95,1238,2,37,7150,4
96,1239,4,36,7151,4
97,1240,4,37,7152,4
98,1241,1,36,7153,4
99,1242,1,37,7154,4
100,1233,0,40,7145,4
101,1234,0,41,7146,4
102,1235,3,40,7147,4
103,1236,3,41,7148,4
104,1237,2,40,7149,4
105,1238,2,41,7150,4
106,1239,4,40,7151,4
107,1240,4,41,7152,4
108,1241,1,40,7153,4
109,1242,1,41,7154,4
110,1233,0,44,7145,4
111,1234,0,45,7146,4
112,1235,3,44,7147,4
113,1236,3,45,7148,4
114,1237,2,44,7149,4
115,1238,2,45,7150,4
116,1239,4,44,7151,4
117,1240,4,45,7152,4
118,1241,1,44,7153,4
119,1242,1,45,7154,4
120,1233,0,48,7145,4
121,1234,0,49,7146,4
122,1235,3,48,7147,4
123,1236,3,49,7148,4
124,1237,2,48,7149,4
125,1238,2,49,7150,4
126,1239,4,48,7151,4
127,1240,4,49,7152,4
128,1241,1,48,7153,4
129,1242,1,49,7154,4
130,1233,0,52,7145,4
131,1234,0,53,7146,4
132,1235,3,52,7147,4
133,1236,3,53,7148,4
134,1237,2,52,7149,4
135,1238,2,53,7150,4
136,1239,4,52,7151,4
137,1240,4,53,7152,4
138,1241,1,52,7153,4
139,1242,1,53,7154,4
