"rownum","Id","ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight_TagsKeys","SpawnWeight_Values","i32","BuffDefinitionsKey","[i32]","ItemWeight_TagsKeys","ItemWeight_Values","MonsterVarietiesKey","i32","bool","AchievementItemsKey","bool"
0,"FlameBearers",[8242],12,100,"[170,0]","[0,300]",0,"",[],[],[],3557,125,"",[],""
1,"FrostBearers",[8243],12,100,"[170,0]","[0,300]",0,"",[],[],[],3558,125,"",[],""
2,"StormBearers",[8244],12,100,"[170,0]","[0,300]",0,"",[],[],[],3560,125,"",[],""
3,"UnionOfSouls",[8248],0,100,"[170,0]","[0,800]",0,"",[],[],[],"",125,"",[],1
4,"Shrouded",[8249],16,100,"[170,48,72,56,75,76,73,74,53,0]","[0,800,0,0,0,0,0,0,0,0]",0,"",[],[],[],"",125,"",[],""
5,"Necrovigil",[8250],68,100,"[170,163,125,73,0]","[0,0,0,0,0]",0,"",[],[],[],"",125,"",[],1
6,"PackDeathCount",[8251],0,100,[0],[0],0,"",[],[],[],"",125,"",[],1
7,"DamageCharges",[8349],20,100,"[291,170,149,0]","[0,0,0,600]",0,360,[],[],[],"",125,"",[],""
8,"SpeedCharges",[8350],20,100,"[170,0]","[0,600]",0,361,[],[],[],"",125,"",[],""
9,"MarkOfCannibalism",[8351],0,100,"[170,125,0]","[0,0,800]",0,"",[],[],[],3562,125,"",[],1
10,"FlaringPulseblood",[8353],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3563,125,"",[],1
11,"RimePulseblood",[8354],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3564,125,"",[],1
12,"StaticPulseblood",[8355],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3565,125,"",[],1
13,"CongealingBloodRed",[8356],0,100,"[170,119,120,121,122,123,124,118,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1833,125,"",[],1
14,"CongealingBloodYellow",[8357],52,100,"[170,119,120,118,122,123,124,121,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1834,125,"",[],1
15,"CongealingBloodMud",[8358],32,100,"[170,119,118,121,122,123,124,120,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1838,125,"",[],1
16,"Shared Boon","[8387,8388,8389]",16,100,"[170,0]","[0,800]",0,"",[],[],[],"",125,"",[],1
17,"CultOfTheElements","[8390,8397,8398]",16,20,[0],[0],0,"",[],[],[],"",125,"",[],""
18,"CultOfTheElements2","[8391,8397,8398]",21,40,[0],[0],0,"",[],[],[],"",125,"",[],""
19,"CultOfTheElements3","[8392,8397,8398]",41,60,[0],[0],0,"",[],[],[],"",125,"",[],""
20,"CultOfTheElements4","[8393,8397,8398]",61,65,[0],[0],0,"",[],[],[],"",125,"",[],""
21,"CultOfTheElements5","[8394,8397,8398]",66,70,[0],[0],0,"",[],[],[],"",125,"",[],""
22,"CultOfTheElements6","[8395,8397,8398]",71,75,[0],[0],0,"",[],[],[],"",125,"",[],""
23,"CultOfTheElements7","[8396,8397,8398]",76,100,[0],[0],0,"",[],[],[],"",125,"",[],""
24,"VengefulBlizzard",[8402],60,100,"[170,126,0]","[0,0,600]",0,"",[],[],[],3566,125,"",[],1
25,"HeraldsOfTheObelisk",[8404],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",1,1,[],1
26,"HeraldsOfTheObelisk2",[8405],6,100,"[170,163,0]","[0,0,0]",0,"",[],[],[],"",2,1,[],1
27,"HeraldsOfTheObelisk3",[8406],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",3,1,[],1
28,"HeraldsOfTheObelisk4",[8407],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",4,1,[],1
29,"HeraldsOfTheObelisk5",[8408],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",5,1,[],1
30,"SpiritWalkers",[8409],12,100,"[170,53,0]","[0,0,800]",0,"",[],[],[],"",125,"",[],""
31,"BearersOfTheGuardian",[8413],60,100,"[170,0]","[0,100]",0,"",[],[],[],3677,125,"",[],1
32,"Otherworldly",[8414],0,100,"[170,0]","[0,800]",13000,"",[],[],[],"",125,"",[],""
33,"PhylacteralLink",[8415],0,100,"[127,0]","[0,0]",7000,369,"[1,1,1]",[],[],"",125,"",[],""
34,"KeepersOfTheTrove",[8416],40,61,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,38]","",125,"",[7957],""
35,"KeepersOfTheTrove2",[8416],62,67,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,28]","",125,"",[7957],""
36,"KeepersOfTheTrove3",[8416],68,71,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,20]","",125,"",[7957],""
37,"KeepersOfTheTrove4",[8416],72,75,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,14]","",125,"",[7957],""
38,"KeepersOfTheTrove5",[8416],76,79,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,10]","",125,"",[7957],""
39,"KeepersOfTheTrove6",[8416],80,100,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9]","[2810,1123,374,437,562,499,125,62,125,125]","",125,"",[7957],""
40,"CorruptedBloodline",[8419],0,20,"[170,0]","[0,0]",0,"",[],[],[],"",125,"",[],""
41,"CorruptedBloodline2",[8420],21,35,"[170,0]","[0,0]",0,"",[],[],[],"",125,"",[],""
42,"CorruptedBloodline3",[8421],36,45,"[170,0]","[0,800]",0,"",[],[],[],"",125,"",[],""
43,"CorruptedBloodline4",[8422],46,60,"[170,0]","[0,800]",0,"",[],[],[],"",125,"",[],""
44,"CorruptedBloodline5",[8423],61,100,"[170,0]","[0,800]",0,"",[],[],[],"",125,"",[],""
45,"Voidspawn",[8424],60,100,"[170,0]","[0,50]",0,"",[],[],[],"",7,"",[],1
46,"MonsterBloodlinesThorns",[8359],40,100,"[141,0]","[0,0]",0,"",[],[],[],"",125,"",[],1
47,"MonsterBloodlinesThornsLargeModel",[8360],40,100,"[141,0]","[0,0]",0,"",[],[],[],"",125,"",[],1
48,"SummonSewerZombieGiant",[12745],0,100,[0],[0],0,"",[],[],[],1094,125,"",[],1
