"rownum","WorldAreasKey","i32","[i32]","MonsterVarietiesKeys1","MonsterVarietiesKeys2","i32","i32","i32","i32"
0,2,1,[],"[1110,1111,1112,1117,1119,1121]",[446],90,200,66,0
1,3,1,[],"[1098,1100,1102,4180,4187,4194,5915,5916,5917,5918]",[469],150,350,66,0
2,4,1,[],"[2646,2609,1041,4180,4187,4194,5915,5916,5917,5918]","[1098,1100,1102]",150,400,85,0
3,5,1,[],"[1135,1138,1141,413,421]","[1129,1131,1133,1041]",150,400,85,0
4,6,1,[],"[429,1129,1131,1133]","[638,516]",250,650,85,0
5,7,1,[],"[886,495,2988]","[1129,1131,1133,638,1041]",150,450,85,0
6,8,1,[],"[883,492,904,1058,1041]","[1129,1131,1133,638]",150,450,85,0
7,9,1,[],"[648,516,2647,2610,2673,991,992,993,994]","[212,1530]",250,450,66,0
8,10,1,[],"[212,253,529]","[5164,5168]",200,500,85,0
9,11,1,[],"[646,391,536,8492]","[1202,1204,1206,8493]",250,550,85,0
10,12,1,[],"[646,400,543,576,620,8492]","[1202,1204,1206,8493]",250,600,85,0
11,13,1,[],"[310,226,264]",[469],150,600,85,0
12,14,0,[],"[422,1211,160,1032,895]","[150,175]",250,675,100,0
13,15,1,[],"[164,1048,1211,171]","[884,491]",200,650,85,0
14,16,1,[],"[485,168,883,171,2988,491]","[5915,5916,5917,5918]",200,600,85,0
15,17,2,[],"[485,478,888,886,479,899]","[457,4746]",200,650,70,0
16,19,1,[],"[336,349,871]",[1512],200,700,85,0
17,20,1,[],"[375,116,837,839,841,843,845,353,361,3815,847]","[212,5]",200,650,85,0
18,21,1,[],"[102,941]","[366,363,310]",200,650,85,0
19,22,1,[],"[54,6,534,696,698,700,702,704]","[115,368]",200,650,85,0
20,27,1,[],"[51,8,367]","[116,361,363,353]",200,650,85,0
21,23,1,[],"[640,611,534,937]","[168,583,587]",250,700,85,0
22,24,1,[],"[650,397,937]","[607,581,587]",250,650,85,0
23,25,1,[],"[1187,1189,1191,391,938]","[942,538]",250,700,85,0
24,26,1,[],"[774,402,635]","[620,935]",250,800,85,0
25,28,1,[],"[871,341,354]","[3041,3043,48,55]",250,620,85,0
26,29,2,[],"[932,860,2586]","[935,116,336,349]",250,700,85,0
27,30,1,[],"[47,40,932]","[49,10]",250,700,85,0
28,31,1,[],"[925,912]","[946,921]",200,550,85,0
29,32,1,[],"[863,818,271]","[792,788]",200,600,85,0
30,33,1,[],"[56,871,413,4184,4190]","[116,1053]",200,650,85,0
31,34,1,[],"[339,3041,3043]","[118,879]",250,700,85,0
32,35,4,[],"[117,175,902,624,579,605,779,742,753,275]","[133,2586,3851,406,1564,1558]",200,600,85,0
33,36,2,[],"[624,579,605,785,748,761,1002,988,987,989,986]","[275,863,406,1564,1558]",200,650,85,0
34,37,1,[],"[638,516,1164,1167,1170]",[368],220,660,85,0
35,39,1,[],"[1996,1512]","[1589,1592]",200,700,85,0
36,40,1,[],"[1503,1996]","[1609,1510]",200,600,85,0
37,41,1,[],"[1549,750,1556]","[1599,1566,1877]",200,600,85,0
38,42,3,[],"[1996,1860,1938]","[1512,1609,1998]",150,550,85,0
39,43,1,[],"[1562,1603,587]","[1873,1942]",200,600,85,0
40,44,2,[],"[1306,1237,1488]","[1264,1294,1489,1490]",200,650,85,0
41,45,1,[],[1485],"[1479,1477]",200,500,75,0
42,46,1,[],"[1485,1843]","[1479,1477]",200,550,85,0
43,47,1,[],"[2003,2005,1540,1860,2007]","[2016,2014]",200,600,85,0
44,48,2,[],"[1871,1940,1985]","[1568,1440,2987]",150,450,85,0
45,49,1,[],"[1305,1293,1238]","[1305,1299]",250,700,85,0
46,50,5,[],"[1300,1299,1368]","[1305,1238,1293,1382,1386,1389]",200,700,85,0
47,51,2,[],"[1419,1807]","[1399,1301,1382,1386,1389]",250,675,85,0
48,52,1,[],"[1615,1525,3706,2586]","[879,363,368]",200,550,85,0
49,53,2,[],"[1870,1942,638]","[429,729,630]",250,800,85,0
50,54,1,[],"[1870,1942,729]","[585,630]",200,550,85,0
51,55,1,[],"[1879,1920,1889,1924,1451,1464]","[1870,1942]",200,650,85,0
52,56,1,[],"[1879,1920,1889,1924,1451,1464]","[1542,956]",200,600,85,0
