"rownum","Level","Multiplier","StatsKeys","StatsValues"
0,1,1,"[10636,10640,10642,10643]","[500,50,200,400]"
1,8,1,"[10636,10640,10642,10643]","[500,50,200,400]"
2,15,1,"[10636,10640,10642,10643]","[500,50,200,400]"
3,22,1,"[10636,10640,10642,10643]","[500,50,200,400]"
4,29,1,"[10636,10640,10642,10643]","[500,50,200,400]"
5,36,1,"[10636,10640,10642,10643]","[500,50,200,400]"
6,43,1,"[10636,10640,10642,10643]","[500,50,200,400]"
7,50,1,"[10636,10640,10642,10643]","[500,50,200,400]"
8,57,1,"[10636,10640,10642,10643]","[500,50,200,400]"
9,68,1,"[10636,10640,10642,10643]","[500,50,200,400]"
10,69,1,"[10636,10640,10642,10643]","[500,50,200,400]"
11,70,1,"[10636,10640,10642,10643]","[500,50,200,400]"
12,71,1,"[10636,10640,10642,10643]","[500,50,200,400]"
13,72,1,"[10636,10640,10642,10643]","[500,50,200,400]"
14,73,1,"[10636,10640,10642,10643]","[500,50,200,400]"
15,74,1,"[10636,10640,10642,10643]","[500,50,200,400]"
16,75,1,"[10636,10640,10642,10643]","[500,50,200,400]"
17,76,1,"[10636,10640,10642,10643]","[500,50,200,400]"
18,77,1,"[10636,10640,10642,10643]","[500,50,200,400]"
19,78,1,"[10636,10640,10642,10643]","[500,50,200,400]"
20,79,1,"[10636,10640,10642,10643]","[500,50,200,400]"
21,80,1,"[10636,10640,10642,10643]","[500,50,200,400]"
22,81,1,"[10636,10640,10642,10643]","[500,50,200,400]"
23,82,1,"[10636,10640,10642,10643]","[500,50,200,400]"
24,83,1,"[10636,10640,10642,10643]","[500,50,200,400]"
