"rownum","Mod","TiersWhitelist","TransformAchievement"
0,24298,[1],""
1,24299,[2],""
2,24300,[3],""
3,24301,[4],""
4,24302,[1],8327
5,24303,[2],8327
6,24304,[3],8327
7,24305,[4],8327
8,24306,[1],8327
9,24307,[2],8327
10,24308,[3],8327
11,24309,[4],8327
12,24310,[1],8327
13,24311,[2],8327
14,24312,[3],8327
15,24313,[4],8327
16,24314,[1],8327
17,24315,[2],8327
18,24316,[3],8327
19,24317,[4],8327
20,24318,[1],8327
21,24319,[2],8327
22,24320,[3],8327
23,24321,[4],8327
24,24322,[1],8327
25,24323,[2],8327
26,24324,[3],8327
27,24325,[4],8327
28,24326,[1],8327
29,24327,[2],8327
30,24328,[3],8327
31,24329,[4],8327
32,24330,[1],8327
33,24331,[2],8327
34,24332,[3],8327
35,24333,[4],8327
36,24334,[1],8327
37,24335,[2],8327
38,24336,[3],8327
39,24337,[4],8327
40,24338,[3],""
41,24339,[4],""
42,24340,[3],""
43,24341,[4],""
44,24342,[3],""
45,24343,[4],""
46,24344,[3],""
47,24345,[4],""
48,24346,[3],""
49,24347,[4],""
50,24348,[3],""
51,24349,[4],""
52,24350,[3],""
53,24351,[4],""
54,24352,[3],""
55,24353,[4],""
56,24354,"[2,3,4]",""
57,24355,[3],""
58,24356,[4],""
59,24357,[2],""
60,24358,[3],""
61,24359,[4],""
62,24360,[3],""
63,24361,[4],""
64,24362,[2],""
65,24363,[3],""
66,24364,[4],""
67,24365,[2],""
68,24366,[3],""
69,24367,[4],""
70,24368,[2],""
71,24369,[3],""
72,24370,[4],""
73,24371,[2],""
74,24372,[3],""
75,24373,[4],""
76,24374,[2],""
77,24375,[3],""
78,24376,[4],""
79,24377,"[2,3,4]",""
80,24378,[2],""
81,24379,[3],""
82,24380,[4],""
83,24381,[2],""
84,24382,[3],""
85,24383,[4],""
86,24384,[2],""
87,24385,[3],""
88,24386,[4],""
89,24387,[2],""
90,24388,[3],""
91,24389,[4],""
92,24390,"[3,4]",""
93,24391,"[3,4]",""
94,24392,"[3,4]",""
95,24393,[3],""
96,24394,[4],""
97,24395,"[3,4]",8326
98,24396,"[3,4]",8326
99,24397,"[3,4]",8326
100,24398,"[3,4]",8326
101,24399,"[3,4]",8326
102,24400,"[3,4]",8326
103,24401,"[3,4]",8326
104,24402,"[3,4]",8326
105,24403,"[3,4]",8326
106,24404,"[3,4]",8326
107,24405,"[3,4]",8326
108,24406,[2],""
109,24407,[3],""
110,24408,[4],""
111,24409,[3],""
112,24410,[4],""
113,24411,[2],""
114,24412,[3],""
115,24413,[4],""
116,24414,[3],""
117,24415,[4],""
118,24416,[3],8327
119,24417,[4],8327
120,24418,[1],""
121,24419,[2],""
122,24420,[3],""
123,24421,[4],""
124,24422,[1],""
125,24423,[2],""
126,24424,[3],""
127,24425,[4],""
128,24426,[2],""
129,24427,[3],""
130,24428,[4],""
131,24429,[1],8328
132,24430,[2],8328
133,24431,[3],8328
134,24432,[4],8328
135,24433,[1],8328
136,24434,[2],8328
137,24435,[3],8328
138,24436,[4],8328
139,24437,[1],8328
140,24438,[2],8328
141,24439,[3],8328
142,24440,[4],8328
143,24441,[1],8328
144,24442,[2],8328
145,24443,[3],8328
146,24444,[4],8328
147,24445,[1],8328
148,24446,[2],8328
149,24447,[3],8328
150,24448,[4],8328
151,24449,[2],8328
152,24450,[3],8328
153,24451,[4],8328
154,24452,[2],8328
155,24453,[3],8328
156,24454,[4],8328
157,24455,[2],""
158,24456,[3],""
159,24457,[4],""
160,24458,[2],""
161,24459,[3],""
162,24460,[4],""
163,24461,[2],""
164,24462,[3],""
165,24463,[4],""
166,24464,[2],""
167,24465,[3],""
168,24466,[4],""
169,24467,[2],""
170,24468,[3],""
171,24469,[4],""
172,24470,[2],""
173,24471,[3],""
174,24472,[4],""
175,24473,[2],""
176,24474,[3],""
177,24475,[4],""
178,24476,[2],""
179,24477,[3],""
180,24478,[4],""
181,24479,[2],""
182,24480,[3],""
183,24481,[4],""
184,24482,[2],""
185,24483,[3],""
186,24484,[4],""
187,24485,[2],""
188,24486,[3],""
189,24487,[4],""
190,24488,[1],""
191,24489,[2],""
192,24490,[3],""
193,24491,[4],""
194,24492,[2],""
195,24493,[3],""
196,24494,[4],""
197,24495,[2],""
198,24496,[3],""
199,24497,[4],""
200,24498,[2],""
201,24499,[3],""
202,24500,[4],""
203,24501,[2],""
204,24502,[3],""
205,24503,[4],""
206,24504,[1],""
207,24505,[2],""
208,24506,[3],""
209,24507,[4],""
210,24508,[1],""
211,24509,[2],""
212,24510,[3],""
213,24511,[4],""
214,24512,[1],""
215,24513,[2],""
216,24514,[3],""
217,24515,[4],""
218,24516,[1],""
219,24517,[2],""
220,24518,[3],""
221,24519,[4],""
222,24520,[1],""
223,24521,[2],""
224,24522,[3],""
225,24523,[4],""
226,24524,[1],""
227,24525,[2],""
228,24526,[3],""
229,24527,[4],""
230,24528,[1],""
231,24529,[2],""
232,24530,[3],""
233,24531,[4],""
234,24532,[1],""
235,24533,[2],""
236,24534,[3],""
237,24535,[4],""
238,24536,[1],""
239,24537,[2],""
240,24538,[3],""
241,24539,[4],""
242,24540,[1],""
243,24541,[2],""
244,24542,[3],""
245,24543,[4],""
246,24544,[1],""
247,24545,[2],""
248,24546,[3],""
249,24547,[4],""
250,24548,[1],""
251,24549,[2],""
252,24550,[3],""
253,24551,[4],""
254,24552,[1],""
255,24553,[2],""
256,24554,[3],""
257,24555,[4],""
258,24556,[1],""
259,24557,[2],""
260,24558,[3],""
261,24559,[4],""
262,24560,[1],""
263,24561,[2],""
264,24562,[3],""
265,24563,[4],""
266,24564,[1],""
267,24565,[2],""
268,24566,[3],""
269,24567,[4],""
270,24568,[1],""
271,24569,[2],""
272,24570,[3],""
273,24571,[4],""
274,24572,[1],""
275,24573,[2],""
276,24574,[3],""
277,24575,[4],""
278,24576,[1],""
279,24577,[2],""
280,24578,[3],""
281,24579,[4],""
282,24580,[1],""
283,24581,[2],""
284,24582,[3],""
285,24583,[4],""
286,24584,[1],""
287,24585,[2],""
288,24586,[3],""
289,24587,[4],""
290,24588,[1],""
291,24589,[2],""
292,24590,[3],""
293,24591,[4],""
294,24592,[1],""
295,24593,[2],""
296,24594,[3],""
297,24595,[4],""
298,24596,[1],""
299,24597,[2],""
300,24598,[3],""
301,24599,[4],""
302,24600,[1],""
303,24601,[1],""
304,24602,[2],""
305,24603,[2],""
306,24604,[3],""
307,24605,[4],""
308,24606,[1],""
309,24607,[1],""
310,24608,[2],""
311,24609,[2],""
312,24610,[3],""
313,24611,[4],""
314,24612,[1],""
315,24613,[1],""
316,24614,[2],""
317,24615,[2],""
318,24616,[3],""
319,24617,[4],""
320,24618,[1],""
321,24619,[1],""
322,24620,[2],""
323,24621,[2],""
324,24622,[3],""
325,24623,[4],""
326,24624,[1],""
327,24625,[1],""
328,24626,[2],""
329,24627,[2],""
330,24628,[3],""
331,24629,[4],""
332,24630,[1],""
333,24631,[1],""
334,24632,[2],""
335,24633,[2],""
336,24634,[3],""
337,24635,[4],""
338,24636,[1],""
339,24637,[1],""
340,24638,[2],""
341,24639,[2],""
342,24640,[3],""
343,24641,[4],""
344,24642,[1],""
345,24643,[1],""
346,24644,[2],""
347,24645,[2],""
348,24646,[3],""
349,24647,[4],""
350,24648,[1],""
351,24649,[1],""
352,24650,[2],""
353,24651,[2],""
354,24652,[3],""
355,24653,[4],""
356,24654,[1],""
357,24655,[1],""
358,24656,[2],""
359,24657,[2],""
360,24658,[3],""
361,24659,[4],""
362,24660,[1],""
363,24661,[1],""
364,24662,[2],""
365,24663,[2],""
366,24664,[3],""
367,24665,[4],""
368,24666,[1],""
369,24667,[1],""
370,24668,[2],""
371,24669,[2],""
372,24670,[3],""
373,24671,[4],""
374,24672,[1],""
375,24673,[1],""
376,24674,[2],""
377,24675,[2],""
378,24676,[3],""
379,24677,[4],""
380,24678,[1],""
381,24679,[1],""
382,24680,[2],""
383,24681,[2],""
384,24682,[3],""
385,24683,[4],""
386,24684,[1],""
387,24685,[2],""
388,24686,[3],""
389,24687,[4],""
390,24688,[1],""
391,24689,[2],""
392,24690,[3],""
393,24691,[4],""
394,24692,[2],""
395,24693,[3],""
396,24694,[4],""
397,24695,[2],""
398,24696,[3],""
399,24697,[4],""
400,24698,[2],""
401,24699,[3],""
402,24700,[4],""
403,24701,[2],""
404,24702,[3],""
405,24703,[4],""
406,24704,[3],""
407,24705,[4],""
408,24706,[3],""
409,24707,[4],""
410,24708,[3],""
411,24709,[4],""
412,24710,[3],""
413,24711,[4],""
414,24712,[3],""
415,24713,[4],""
416,24714,[3],""
417,24715,[4],""
418,24716,[3],""
419,24717,[4],""
420,24718,[3],""
421,24719,[4],""
422,24720,[2],""
423,24721,[3],""
424,24722,[4],""
425,24723,[1],""
426,24724,[2],""
427,24725,[3],""
428,24726,[4],""
429,24727,[1],""
430,24728,[2],""
431,24729,[3],""
432,24730,[4],""
433,24731,[1],""
434,24732,[2],""
435,24733,[3],""
436,24734,[4],""
437,24735,[3],""
438,24736,[4],""
439,24737,[3],""
440,24738,[4],""
441,24739,[3],""
442,24740,[4],""
443,24741,[2],""
444,24742,[3],""
445,24743,[4],""
446,24744,"[3,4]",8329
447,24745,"[3,4]",8329
448,24746,"[3,4]",8329
449,24747,"[3,4]",8329
450,24748,"[3,4]",8329
451,24749,"[3,4]",8329
452,24750,"[3,4]",8329
453,24751,"[3,4]",8329
454,24752,"[3,4]",8329
455,24753,"[3,4]",8329
456,24754,"[3,4]",8329
457,24755,"[3,4]",8329
458,24756,"[3,4]",8329
459,24757,"[3,4]",8329
460,24758,"[3,4]",8329
461,24759,"[3,4]",8329
462,24760,"[3,4]",8329
463,24761,"[3,4]",8329
464,24762,"[3,4]",8329
465,24763,"[3,4]",8329
466,24764,"[3,4]",8329
467,24765,"[3,4]",8329
468,24766,"[3,4]",8329
469,24767,"[3,4]",8329
470,24768,"[3,4]",8329
471,24769,"[2,3,4]",""
472,24770,"[2,3,4]",""
473,24771,[1],""
474,24772,[2],""
475,24773,[3],""
476,24774,[4],""
477,24775,[1],""
478,24776,[2],""
479,24777,[3],""
480,24778,[4],""
481,24779,[2],""
482,24780,[3],""
483,24781,[4],""
484,24782,[1],""
485,24783,[2],""
486,24784,[3],""
487,24785,[4],""
488,24786,[2],""
489,24787,[3],""
490,24788,[4],""
491,24789,[1],""
492,24790,[1],""
493,24791,[1],""
494,24792,[2],""
495,24793,[2],""
496,24794,[2],""
497,24795,[3],""
498,24796,[3],""
499,24797,[3],""
500,24798,[4],""
501,24799,[2],""
502,24800,[2],""
503,24801,[3],""
504,24802,[4],""
505,24803,[2],""
506,24804,[3],""
507,24805,[4],""
508,24806,[1],""
509,24807,[2],""
510,24808,[3],""
511,24809,[4],""
512,24810,[1],""
513,24811,[2],""
514,24812,[3],""
515,24813,[4],""
516,24814,[1],""
517,24815,[2],""
518,24816,[2],""
519,24817,[3],""
520,24818,[3],""
521,24819,[4],""
522,24820,[1],""
523,24821,[1],""
524,24822,[1],""
525,24823,[1],""
526,24824,[2],""
527,24825,[2],""
528,24826,[3],""
529,24827,[4],""
530,24828,[2],""
531,24829,[3],""
532,24830,[4],""
533,24831,[2],""
534,24832,[3],""
535,24833,[4],""
536,24834,[2],""
537,24835,[3],""
538,24836,[4],""
539,24837,[2],""
540,24838,[3],""
541,24839,[4],""
542,24840,[2],""
543,24841,[3],""
544,24842,[4],""
545,24843,[2],""
546,24844,[3],""
547,24845,[4],""
548,24846,[2],""
549,24847,[3],""
550,24848,[4],""
551,24849,[2],""
552,24850,[3],""
553,24851,[4],""
554,24852,[1],""
555,24853,[2],""
556,24854,[3],""
557,24855,[4],""
558,24856,[1],""
559,24857,[2],""
560,24858,[3],""
561,24859,[4],""
562,24860,[1],""
563,24861,[2],""
564,24862,[3],""
565,24863,[4],""
566,24864,[2],""
567,24865,[3],""
568,24866,[4],""
569,24867,[2],""
570,24868,[3],""
571,24869,[4],""
572,24870,[2],""
573,24871,[3],""
574,24872,[4],""
575,24873,[2],""
576,24874,[3],""
577,24875,[4],""
578,24876,[2],""
579,24877,[3],""
580,24878,[4],""
581,24879,[2],""
582,24880,[3],""
583,24881,[4],""
584,24882,[2],""
585,24883,[3],""
586,24884,[4],""
587,24885,[2],""
588,24886,[3],""
589,24887,[4],""
590,24888,[1],""
591,24889,[2],""
592,24890,[3],""
593,24891,[4],""
594,24892,[3],""
595,24893,[4],""
596,24894,[3],""
597,24895,[4],""
598,24896,[3],""
599,24897,[4],""
600,24898,[3],""
601,24899,[4],""
602,24900,[3],""
603,24901,[4],""
604,24902,[3],""
