"rownum","i32","[rid]","[rid]","i32","i32","bool","bool","bool","[rid]","i32","i32","i32","i32","i32","bool","i32","bool","bool","i32","i32","bool","bool","bool","i32","bool","bool","i32","i32","i32"
0,1,[2800],[],4,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
1,2,[2810],[],2,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
2,3,[2750],[],4,1,"",1,"",[],1,0,4,90,0,"",1792,"","",110,-65,1,"","",0,"","",13,13,0
3,4,[2750],[],4,1,"",1,1,[],1,0,4,-90,0,"",1792,"","",110,65,1,"","",0,"","",13,13,0
4,5,[2806],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",18,0,"","","",0,"","",13,13,0
5,6,[2807],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",18,0,"","","",0,"","",13,13,0
6,7,[2853],[],4,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
7,8,[2898],[],4,1,"",1,"",[],1,0,4,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
8,9,[2909],[],4,1,"",1,"",[],1,0,2,0,0,1,1792,"","",15,0,"","","",0,"","",13,13,0
9,10,"[3120,3121,3122]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",55,0,"","","",0,"","",13,13,0
10,11,[3126],[],4,1,"",1,"",[],1,0,4,0,0,"",1792,"","",110,0,"","","",0,"","",13,13,0
11,12,[3140],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",27,0,"","","",0,"","",13,13,0
12,13,[3139],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",10,0,"","","",0,"","",13,13,0
13,14,[3144],[],4,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
14,15,[3145],[],4,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
15,16,[3183],[],2,1,"","","",[],1,0,2,180,0,"",1792,"","",25,0,"","","",0,"","",13,13,0
16,17,[3256],[],4,1,"",1,"",[],4,11,4,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
17,18,[3069],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
18,19,[3291],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
19,20,[3492],[],4,1,"",1,"",[],4,11,4,0,0,"",1792,"","",110,0,"","","",0,"","",13,13,0
20,21,[3491],[],2,1,"","","",[],1,0,2,0,0,"",1792,"","",27,0,1,"","",0,"","",13,13,0
21,22,[3515],[],3,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
22,23,[3526],[],3,1,"",1,"",[],1,0,2,0,0,1,1792,"","",18,0,"","","",5500,"","",13,13,0
23,24,[3652],[],4,1,"",1,"",[],1,0,4,0,0,1,1792,"","",14,0,"","","",0,"","",13,13,0
24,25,"[3698,3699,3700]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",55,0,"","","",0,"","",13,13,0
25,26,"[3702,3703,3704]",[],4,1,"","","",[],1,0,2,0,0,"",1792,"","",40,0,"","","",0,"","",13,13,0
26,27,[3802],[],4,1,"",1,"",[],1,0,2,0,0,1,1792,"","",27,0,"","","",5500,"","",13,13,0
27,28,[3840],[],3,1,"",1,"",[],3,0,2,0,0,1,1792,"","",60,0,"","",1,0,"","",13,13,0
28,29,[3812],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",11,0,"","","",0,"","",13,13,0
29,30,[4113],[],2,1,"",1,"",[],3,0,2,0,0,"",1792,"","",23,0,"","",1,0,"",1,13,13,0
30,31,[4290],[],3,1,"",1,1,[],3,0,4,-10,0,"",1792,"","",30,0,"","",1,0,"",1,13,13,0
31,32,[4181],[],3,1,"",1,"",[],3,0,4,10,0,"",1792,"","",30,0,"","",1,0,"",1,13,13,0
32,33,[4281],[],2,1,"",1,"",[],1,0,7,0,0,"",1792,"","",12,0,1,"","",0,"",1,13,13,0
33,34,[4323],[],4,1,"","","",[],1,0,5,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
34,35,[4753],[],2,1,"",1,"",[],1,0,7,0,0,"",1792,"","",12,0,1,"","",0,"",1,13,13,0
35,36,[4739],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",28,0,"","",1,0,"",1,13,13,0
