"rownum","Id","[i32]","i32","[i32]","bool"
0,"MapGeofriNormal",[42],1,[921217086],1
1,"MapGeofriMagic",[174],2,[921217086],1
2,"MapGeofriRare",[300],3,[921217086],1
3,"MapMonkeyNormal",[430],1,[-347898435],1
4,"MapMonkeyMagic",[570],2,[-347898435],1
5,"MapMonkeyUnique","[708,0]",0,"[-25324482,-1822314065]",""
6,"MapAliraSuperZombie",[998],0,[-1805354307],""
7,"MapAliraZombieZerg",[1168],0,[-1505545745],1
8,"MapAliraBanditArcher","[1330,0]",0,"[-889802396,2063899922]",1
9,"MapKraitynMagicBandits","[1662,0,1802]",2,"[1724967973,-1574231130,1823943938]",1
10,"MapSkeletonLargeBoss",[2162],1,[-403427272],1
11,"MapStatueMaleBoss",[2338],0,[322021568],""
12,"MapStatueFemaleBoss",[2542],0,[1708533552],""
13,"MapLightningGolemBoss",[2756],0,[-825187885],1
14,"TreeMonkeyParasite",[2934],1,[1719791360],""
15,"AbberathGoats","[3088,0]",4,"[1705637226,-926678782]",1
16,"AbberathGoatsPhase2","[3354,0]",4,"[1822950592,1448877889]",1
17,"DespairBearProjectiles",[3650],0,[-1690171670],1
18,"DoedreStonePillar1",[3790],0,[-79797179],1
19,"DoedreStonePillar2",[3976],0,[688435008],1
20,"DoedreStonePillar3",[4164],0,[-528967967],1
21,"KitavaKitavaDemons",[4340],0,[-1303383412],1
22,"AbberathGoatsMap","[4506,0]",4,"[661800939,-1417488459]",1
23,"AbberathGoatsPhase2Map","[4790,0]",4,"[-1168546020,207989924]",1
24,"AliraSummonCauldron",[5092],0,[521177313],1
25,"ElderUnstableSpawner1",[5278],0,[-220843807],1
26,"ElderUnstableSpawner2","[5524,0]",0,"[583179156,1497289115]",1
27,"ElderUnstableSpawner3",[5960],0,[2031070070],1
28,"ElderUnstableSpawner4",[6210],0,[1274908798],1
29,"ElderUnstableSpawner5",[6472],0,[-1865651863],1
30,"DelveRogueExileSpawner","[6730,0,6946,0,7162,0]",0,"[-1342306113,1534458883,-299910771,-772998909,569764042,-2029478566]",1
