"rownum","RewardOffer","i32","Character","Reward","RewardLevel","rid","i32","string","[rid]","RewardStack","bool","bool","[rid]","i32","i32","[rid]","i32","rid","i32"
0,0,0,1,5033,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
1,0,1,1,5248,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
2,0,2,1,5222,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
3,0,3,1,4986,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
4,0,4,1,5268,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
5,0,5,1,5437,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
6,0,6,6,5329,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
7,0,7,6,5276,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
8,0,8,6,5248,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
9,0,9,6,5222,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
10,0,10,6,5200,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
11,0,11,6,5345,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
12,0,12,0,4974,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
13,0,13,0,5200,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
14,0,14,4,4975,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
15,0,15,4,5200,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
16,0,16,4,5252,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
17,0,17,4,5365,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
18,0,18,4,5458,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
19,0,19,3,4995,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
20,0,20,3,4993,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
21,0,21,3,5242,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
22,0,22,3,5252,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
23,0,23,3,4991,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
24,0,24,5,5033,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
25,0,25,5,5317,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
26,0,26,5,5387,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
27,0,27,5,5110,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
28,0,28,5,5268,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
29,0,29,5,5378,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
30,0,30,2,5200,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
31,0,31,2,4995,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
32,0,32,2,5222,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
33,0,33,2,5458,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
34,3,0,1,5260,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
35,3,1,1,5261,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
36,3,2,1,5167,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
37,3,3,1,5266,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
38,3,4,1,4987,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
39,3,5,1,5460,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
40,3,6,6,5260,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
41,3,7,6,5332,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
42,3,8,6,5113,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
43,3,9,6,5278,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
44,3,10,6,5243,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
45,3,11,6,5460,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
46,3,12,0,5108,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
47,3,13,0,5075,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
48,3,14,0,5278,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
49,3,15,0,5243,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
50,3,16,4,5278,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
51,3,17,4,5108,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
52,3,18,4,5077,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
53,3,19,4,5243,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
54,3,20,4,5339,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
55,3,21,4,5363,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
56,3,22,3,5105,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
57,3,23,3,5077,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
58,3,24,3,5056,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
59,3,25,3,5393,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
60,3,26,5,5105,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
61,3,27,5,5261,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
62,3,28,5,5056,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
63,3,29,5,5266,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
64,3,30,5,4987,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
65,3,31,2,5260,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
66,3,32,2,5105,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
67,3,33,2,5108,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
68,3,34,2,5243,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
69,4,0,1,5370,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
70,4,1,6,5357,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
71,4,2,6,5370,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
72,4,3,0,5357,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
73,4,4,4,5357,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
74,4,5,4,5359,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
75,4,6,3,5359,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
76,4,7,5,5359,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
77,4,8,5,5370,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
78,4,9,2,5357,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
79,4,10,2,5359,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
80,4,11,2,5370,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
81,8,0,1,5005,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
82,8,1,1,5063,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
83,8,2,1,5270,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
84,8,3,1,5297,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
85,8,4,1,5066,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
86,8,5,1,5433,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
87,8,6,1,5293,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
88,8,7,6,4996,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
89,8,8,6,5005,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
90,8,9,6,5131,1,"",0,"",[],1,"","",[],1161,0,[],0,"",0
