"rownum","BaseItemTypesKey","AOFile","bool"
0,534,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,535,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,536,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,537,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,538,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,539,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,540,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,541,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,542,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,543,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
