"rownum","InfluenceOutcome","[rid]","rid","[rid]","i32","[i32]","[i32]"
0,0,"[1792,1793,1794,1795]","",[],20,[],[]
1,1,"[1792,1793,1794,1795]","",[],30,[],[]
2,2,"[1792,1793,1794,1795]","",[],40,[],[]
3,3,"[1796,1797,1798,1799,1800]","",[],20,[],[]
4,4,"[1796,1797,1798,1799,1800]","",[],30,[],[]
5,5,"[1796,1797,1798,1799,1800]","",[],40,[],[]
6,6,"[1801,1802,1803,1804,1805]","",[],20,[],[]
7,7,"[1801,1802,1803,1804,1805]","",[],30,[],[]
8,8,"[1801,1802,1803,1804,1805]","",[],40,[],[]
9,9,"[1806,1807,1808]","",[],20,[],[]
10,10,"[1806,1807,1808]","",[],30,[],[]
11,11,"[1806,1807,1808]","",[],40,[],[]
12,12,[1809],"",[],15,[],[]
13,13,[1810],"",[],15,[],[]
14,14,[1811],"",[],15,[],[]
15,15,[1812],"",[],15,[],[]
16,16,[],"",[10830],0,[],[15]
17,17,[1813],"",[],6,[],[]
18,18,[1814],"",[],4,[],[]
19,19,[1815],"",[],6,[],[]
20,20,[],1451,[],0,"[1,25,30,8,30]",[]
21,21,[],1452,[],0,"[1,1,15,20,30,1,1]",[]
22,22,[],1453,[],0,"[1,30,10,30]",[]
23,23,[],1454,[],0,"[15,30,30,15,40]",[]
