"rownum","i32","i32","[rid]"
0,2,90,"[8093,8339]"
1,3,20,[1010]
2,4,20,[1576]
3,5,5,[]
4,7,0,[]
5,8,0,[]
6,1,0,[]
7,2,100,"[8224,8409]"
8,9,0,"[1175,7885]"
9,10,0,"[8220,4210]"
10,11,0,"[4222,8217]"
11,12,0,[]
12,13,0,[]
13,14,0,[]
14,15,0,[2507]
15,16,1,[]
16,16,2,[]
17,16,3,[]
18,16,4,[]
19,16,5,[1029]
20,17,2,[]
21,18,100,[]
22,18,250,"[7626,8349]"
23,18,270,[]
24,18,300,[]
25,18,600,[]
26,23,0,[]
27,19,10,[]
28,19,50,[]
29,19,100,[]
30,19,150,[]
31,20,0,[]
32,21,2,[]
33,21,3,[]
34,21,4,[]
35,21,5,[]
36,22,0,[8350]
37,24,0,[]
38,25,0,[1026]
39,26,0,[]
40,28,0,[]
41,18,1000,[8410]
