"rownum","Area","PosX","PosY","Tags","[i32]","bool","TextAudio","CompletionAchievements"
0,0,0,0,[734],[1],"",11918,[]
1,1713,981,797,"[721,735]","[1,3]","",11909,"[8144,8315]"
2,1714,1078,700,"[720,735]","[1,3]","",11908,"[8145,8315]"
3,1715,962,587,"[721,735]","[1,3]","",11909,"[8146,8315]"
4,1716,1273,421,"[722,735]","[1,3]","",11909,"[8147,8315]"
5,1717,1181,611,"[727,735]","[1,3]","",11911,"[8148,8315]"
6,1718,1248,862,"[717,735]","[1,3]","",11910,"[8149,8315]"
7,1719,1020,314,"[723,735]","[1,3]","",11909,"[8150,8315]"
8,1720,857,259,"[724,735]","[1,3]","",11909,"[8151,8315]"
9,1721,938,198,"[725,735]","[1,3]","",11906,"[8152,8315]"
10,1722,1093,501,"[728,735]","[1,3]","",11912,"[8153,8315]"
11,1725,1282,212,"[726,735]","[1,3]","",11906,"[8156,8315]"
12,1723,1132,310,"[718,735]","[1,3]",1,11907,"[8154,8315]"
13,1724,1209,333,"[718,735]","[1,3]",1,11907,"[8155,8315]"
14,1726,1397,229,"[729,735]","[1,3]","",11913,"[8157,8315]"
15,1727,868,922,"[720,735]","[1,3]","",11908,"[8158,8315]"
