"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","Name","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","MiscAnimations","bool"
0,1098,0,337,[],[],8571,"",[],[],0,"",[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
1,1100,0,337,[],[],8571,"",[],[],0,"",[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
2,1102,0,337,[],[],8571,"",[],[],0,"",[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
3,4180,0,337,[],[],8571,"",[],[],0,"",[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
4,4187,0,337,[],[],8571,"",[],[],0,"",[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
5,4194,0,337,[],[],8571,"",[],[],0,"",[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
6,4194,1,337,[1231],[20],6464,"",[],[],0,"",[7413],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike",0,[],30,0,[],[],[],[],[],""
7,5915,0,337,[],[],8571,"",[],[],0,"",[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
8,5916,0,337,[],[],8571,"",[],[],0,"",[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
9,5917,0,337,[],[],8571,"",[],[],0,"",[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
10,5918,0,337,[],[],8571,"",[],[],0,"",[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
11,469,0,488,[10578],[1],8508,"",[],[],0,477,[],4,"","","",[],"Stone Shot",0,[],150,0,[],[],[],[],[],""
12,469,1,488,[10578],[1],8535,1,[],[],0,477,[],4,"","","",[],"Stone Shot",56,[],0,0,[],[],[],[],[],""
13,469,2,488,[10578],[1],8546,1,"[175,318,4557]","[200,400,1]",0,477,[],0,"","","",[],"Stone Snipe",53,[],0,0,[],[],[],[],[],""
14,469,3,488,[10578],[1],8539,1,[1212],[200],0,477,[],0,"","","",[],"Stone Shot",52,[],0,0,[],[],[],[],[],""
15,2646,0,337,[],[],8571,"",[],[],0,"",[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
16,2646,1,644,[],[],8527,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
17,2609,0,337,[],[],8571,"",[],[],0,"",[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
18,2609,1,644,[],[],8527,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
19,2614,0,337,[],[],8571,"",[],[],0,"",[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
20,2614,2,1892,[],[],8591,51,"[173,2504]","[4,10]",0,"",[1893],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
21,2614,3,1892,[],[],8593,51,"[3211,5765]","[20,-40]",0,"",[1893],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
22,2614,4,1892,[],[],8533,51,"[173,2504]","[0,5]",0,"",[1893],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
23,2649,0,337,[],[],8571,"",[],[],0,"",[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
24,2649,2,1892,[],[],8591,51,"[173,2504]","[4,10]",0,"",[1893],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
25,2649,3,1892,[],[],8593,51,"[3211,5765]","[20,-40]",0,"",[1893],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
26,2649,4,1892,[],[],8533,51,"[173,2504]","[0,5]",0,"",[1893],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
