"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","rid","bool","[rid]","[rid]","[rid]","[rid]","i32","bool","rid"
0,"ignited","You're on fire","","","Ignited",[8084],"",13,"","","",1,19,2,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[8084],[14591],0,"",""
1,"chilled","You are slowed","","","Chilled",[8420],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[8420],[14592],16842752,"",""
2,"frozen","Frozen solid","","","Frozen",[12460],1,13,"","","",1,19,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","","",4,"","",0,[],"","","","",[],[],[12460],"[14593,1999]",16777216,"",""
3,"shocked","You take up to 50% increased Damage","","","Shocked",[477],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[477],[14594],16842752,"",""
4,"sprinting","Increased movement velocity","",1,"Faster Run",[177],1,2,"","","","",19,7,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[177],[],0,"",""
5,"flask_effect_life","",1,"","Healing",[7705],1,5,"","","","",19,0,1,"",4,"",1,"",1,0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[7705],[],0,"",""
6,"grace_period","You can't be damaged","",1,"Grace Period","[140,861,1304,8171,2973,6836,6835]",1,2,"","","","",19,8,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[140,861,1304,8171,2973,6836,6835]",[],0,"",""
7,"god_mode","You cannot be damaged","",1,"Invulnerability",[140],1,3,"","","","",19,9,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[140],[],0,"",""
8,"experience","Increased experience for 30 seconds","",1,"Increased Experience",[157],1,2,"","","","",19,10,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[157],[],0,"",""
9,"flask_effect_mana","",1,"","Regenerating Mana",[7706],1,5,"","","","",14,0,1,"",4,"",1,"",1,0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[7706],[],0,"",""
