"rownum","Id","[rid]","i32","i32","rid"
0,"divine_cry_weapon",[449],1,0,""
1,"divine_cry_weapon",[481],1,2,""
2,"divine_cry_weapon",[311],1,3,""
3,"storm_rain_beam",[454],3,0,""
4,"chain_strike",[188],3,0,""
5,"chain_strike",[456],3,1,""
6,"orb_of_storms",[29],1,0,""
7,"orb_of_storms",[69],1,1,""
8,"orb_of_storms",[457],1,2,""
9,"exsanguinate_beam",[429],1,0,""
10,"exsanguinate_beam_lite",[448],1,0,""
11,"exsanguinate_beam",[458],1,1,""
12,"exsanguinate_beam_lite",[459],1,1,""
13,"earthshatter_spike_beam",[431],1,1,""
14,"arc",[3],1,0,""
15,"arc",[5],1,1,""
16,"arc",[4],1,2,""
17,"arc",[39],1,3,""
18,"arc",[6],1,4,""
19,"arc",[3],1,5,""
20,"arc",[96],1,6,""
21,"arc",[111],1,7,""
22,"arc",[202],1,8,""
23,"arc",[203],1,9,""
24,"arc",[232],1,10,""
25,"arc",[320],1,11,""
26,"arc",[475],1,12,""
27,"storm_brand_attached_beam",[113],3,0,""
28,"storm_brand_attached_beam",[200],3,1,""
29,"storm_brand_attached_beam",[477],3,2,""
30,"storm_brand_attack_beam",[114],3,0,""
31,"storm_brand_attack_beam",[201],3,1,""
32,"storm_brand_attack_beam",[478],3,2,""
33,"armageddon_attached_beam",[119],3,0,""
34,"armageddon_attached_beam",[477],3,2,""
35,"arcanist_brand_attached_beam",[269],3,0,""
36,"arcanist_brand_attached_beam",[477],3,2,""
37,"penance_brand_attached_beam",[271],3,0,""
38,"penance_brand_attached_beam",[477],3,2,""
39,"penance_brand_charge_beam",[272],3,0,""
40,"penance_brand_charge_beam",[479],3,2,""
41,"winter_brand_attached_beam",[279],3,0,""
42,"winter_brand_attached_beam",[477],3,2,""
43,"winter_brand_charge_beam",[290],3,0,""
44,"winter_brand_charge_beam",[480],3,2,""
45,"tempest_shield_beam",[26],1,0,""
46,"soul_link_beam",[482],1,0,""
47,"flame_link_beam",[483],1,0,""
48,"remora_link_beam",[484],1,0,""
49,"bulwark_link_beam",[485],1,0,""
50,"trigger_link_beam",[486],1,0,""
51,"critical_link_beam",[487],1,0,""
52,"brand_surge_cast_beam",[295],1,0,""
53,"brand_surge_cast_beam",[488],1,1,""
54,"brand_surge_cast_beam",[489],1,2,""
55,"crackling_lance_main_beam",[318],1,0,""
56,"crackling_lance_main_beam",[387],1,1,""
57,"crackling_lance_main_beam",[490],1,2,""
58,"crackling_lance_final_beam",[360],1,0,""
59,"crackling_lance_final_beam",[388],1,1,""
60,"crackling_lance_final_beam",[491],1,2,""
