"rownum","Id","rid","rid","rid","[rid]","bool","bool","[rid]","[rid]","i32","i32","i32","i32"
0,"IsNormalMonster",0,"","",[],"","",[],[],0,1,100,0
1,"IsMagicMonster",1,"","",[],"","",[],[],0,1,100,0
2,"IsRareMonster",2,"","",[],"","",[],[],0,1,100,0
3,"IsUniqueMonster",3,"","",[],"","",[],[],0,1,100,0
4,"IsMapBoss","","","",[],1,"",[],[],0,1,100,0
5,"IsNotUnique","","",3,[],"","",[],[],0,1,100,0
6,"IsBeyondMonster","",5748,"",[],"","",[],[],0,1,100,0
7,"IsInvasionBoss","",3537,"",[],"","",[],[],0,1,100,0
8,"IsTormentedSpirit","",5613,"",[],"","",[],[],0,1,100,0
9,"IsRogueExile","",8895,"",[],"","",[],[],0,1,100,0
10,"IsIzaro","",4149,"",[],"","",[],[],0,1,100,0
11,"IsNotIzaro","","","",[4149],"","",[],[],0,1,100,0
12,"IsSynthesisedMonster","","","",[],"","",[414],[],0,1,100,0
13,"IsNotConvertingPhysicalDamage","","","","[1106,1107,1108,1109]","","",[],[],0,1,100,0
14,"IsHarbinger","",9364,"",[],"","",[],[],0,1,100,0
15,"IsFirst3Possessed","",2624,"",[],"","",[],[],3,1,100,0
16,"IsCorruptedVaal","","","",[],"","",[444],[],0,1,100,0
17,"IsNotMapBoss","","","",[],"",1,[],[],0,1,100,0
18,"ShouldNotDropSplinters","",11702,"",[],"","",[],[],0,1,100,0
19,"IsWarband","",11703,"",[],"","",[],[],0,1,100,0
20,"IsElderPortal","",11704,"",[],"","",[],[],0,1,100,0
21,"IsMapBossUnderling","",11705,"",[],"","",[],[],0,1,100,0
22,"IsAfflictionWildBoss","",11706,"",[],"","",[],[],0,1,100,0
23,"IsTempleArchitect","",11739,"",[],"","",[],[],0,1,100,0
24,"IsNotTempleArchitect","","","",[11739],"","",[],[],0,1,100,0
25,"IsIncursionBoss","",11740,"",[],"","",[],[],0,1,100,0
26,"IsWarbandLeader","",11788,"",[],"","",[],[],0,1,100,0
27,"IsNotWarbandLeader","","","",[11788],"","",[],[],0,1,100,0
28,"IsBetrayalTarget","",11808,"",[],"","",[],[],0,1,100,0
29,"IsNotBetrayalTarget","","","",[11808],"","",[],[],0,1,100,0
30,"IsIncursionArchitect","",11809,"",[],"","",[],[],0,1,100,0
31,"IsNotIncursionArchitect","","","",[11809],"","",[],[],0,1,100,0
32,"IsBestiaryRedBeast","",11810,"",[],"","",[],[],0,1,100,0
33,"IsNotBestiaryRedBeast","","","",[11810],"","",[],[],0,1,100,0
34,"HeistGuard","","","",[],"","",[680],[],0,1,100,0
35,"IsNotRitualMonster","","","",[13450],"","",[],[],0,1,100,0
36,"IsShaperMonster","","","",[],"","",[688],[],0,1,100,0
37,"IsElderMonster","","","",[],"","",[689],[],0,1,100,0
38,"IsCrusaderMonster","","","",[],"","",[692],[],0,1,100,0
39,"IsEyrieMonster","","","",[],"","",[690],[],0,1,100,0
40,"IsBasiliskMonster","","","",[],"","",[691],[],0,1,100,0
41,"IsAdjudicatorMonster","","","",[],"","",[693],[],0,1,100,0
42,"IsBreachMonster","",5157,"",[],"","",[],[],0,1,100,0
43,"IsRitualRespawnedMapBoss","",7982,"",[],"","",[],[],0,1,100,0
44,"IsNotRitualRespawnedMapBoss","","","",[7982],"","",[],[],0,1,100,0
45,"IsAbyssMonster","","","",[],"","",[239],[],0,1,100,0
46,"IsEssenceMonster","",13791,"",[],"","",[],[],0,1,100,0
47,"IsInfluenceMonster","","","",[],"","",[698],[],0,1,100,0
48,"IsBlightBoss","","","",[],"","",[699],[],0,1,100,0
49,"Level4Plus","","","",[],"","",[],[],0,4,100,0
50,"IsBreachCommander","","","",[],"","",[199],[],0,1,100,0
51,"IsDelveBoss","","","",[],"","",[],[],0,1,100,11950100
52,"IsHellscapeMonster","","","",[],"","",[],[],0,1,100,-1520197555
