"rownum","Id","Act","Name","Icon_DDSFile","QuestId","bool","Type","[i32]","i32","TrackerGroup"
0,"a1q1",1,"Enemy at the Gate","Art/2DArt/QuestIcons/hillock.dds",6,"",0,[],42,""
1,"a1q5",1,"Mercy Mission","Art/2DArt/QuestIcons/medicinechest.dds",5,"",0,[],42,""
2,"a1q4",1,"Breaking Some Eggs","Art/2DArt/QuestIcons/mudflats.dds",4,"",0,[],42,""
3,"a1q8",1,"A Dirty Job","Art/2DArt/QuestIcons/dirtyjob.dds",9,1,1,[],42,""
4,"a1q7",1,"The Dweller of the Deep","Art/2DArt/QuestIcons/deepdweller.dds",8,1,1,[],42,""
5,"a1q2",1,"The Caged Brute","Art/2DArt/QuestIcons/brutus.dds",2,"",0,[],42,""
6,"a1q6",1,"The Marooned Mariner","Art/2DArt/QuestIcons/fairgraves.dds",7,1,1,[],42,""
7,"a1q3",1,"The Siren's Cadence","Art/2DArt/QuestIcons/merveil.dds",1,"",0,[],42,""
8,"a1q9",1,"The Way Forward","Art/2DArt/QuestIcons/forest.dds",3,"",0,[],42,""
9,"a2q11",2,"The Way Forward","Art/2DArt/QuestIcons/forest.dds",9,"",0,[],42,""
10,"a2q5",2,"Through Sacred Ground","Art/2DArt/QuestIcons/goldenhand.dds",10,1,1,[],42,""
11,"a2q6",2,"Intruders in Black","Art/2DArt/QuestIcons/chamberofsins.dds",8,"",0,[],42,""
12,"a2q10",2,"The Great White Beast","Art/2DArt/QuestIcons/greatwhitebeast.dds",12,1,1,[],42,""
13,"a2q4",2,"Sharp and Cruel","Art/2DArt/QuestIcons/poisonspear.dds",7,"",0,[],42,""
14,"a2q9",2,"The Root of the Problem","Art/2DArt/QuestIcons/cathedralofbones.dds",6,"",0,[],42,""
15,"a2q7",2,"Deal with the Bandits","Art/2DArt/QuestIcons/bandits.dds",2,"",0,[],42,""
16,"a2q1",2,"The Bandit Lord Kraityn","Art/2DArt/QuestIcons/kraityn.dds",3,"",0,[],42,""
17,"a2q2",2,"The Bandit Lord Alira","Art/2DArt/QuestIcons/alira.dds",4,"",0,[],42,""
18,"a2q3",2,"The Bandit Lord Oak","Art/2DArt/QuestIcons/oak.dds",5,"",0,[],42,""
19,"a2q8",2,"Shadow of the Vaal","Art/2DArt/QuestIcons/incaboss.dds",1,"",0,[],42,""
20,"a2q8a3",3,"Shadow of the Vaal","Art/2DArt/QuestIcons/incaboss.dds",1,"",0,[],42,""
21,"a3q1",3,"Lost in Love","Art/2DArt/QuestIcons/findingclarity.dds",8,"",0,[],42,""
22,"a3q2",3,"Lost in Love","Art/2DArt/QuestIcons/findingclarity.dds",7,"",0,[],42,""
23,"a3q11",3,"Victario's Secrets","Art/2DArt/QuestIcons/victariostash.dds",12,1,1,[],42,""
24,"a3q3",3,"The Gemling Queen","Art/2DArt/QuestIcons/tombofthegemlingqueen.dds",6,"",0,[],42,""
25,"a3q4",3,"The Ribbon Spool","Art/2DArt/QuestIcons/ribbonspool.dds",5,"",0,[],42,""
26,"a3q5",3,"Fiery Dust","Art/2DArt/QuestIcons/fierydust.dds",4,"",0,[],42,""
27,"a3q8",3,"Sever the Right Hand","Art/2DArt/QuestIcons/severtherighthand.dds",11,"",0,[],42,""
