"rownum","Id","Part","string","ActNumber","i32","WorldPanelImage","WorldPanelImageEpilogue","i32","IsPostGame","i32","i32"
0,"Act1",0,"",0,1,"Art/2DArt/UIImages/InGame/WorldPanelMapAct1","",0,"",2604,1161
1,"Act2",0,"",0,2,"Art/2DArt/UIImages/InGame/WorldPanelMapAct2","",0,"",2604,1161
2,"Act3",0,"",0,3,"Art/2DArt/UIImages/InGame/WorldPanelMapAct3","",0,"",2604,1161
3,"Act4",0,"",0,4,"Art/2DArt/UIImages/InGame/WorldPanelMapAct4","",0,"",2604,1161
4,"Act5",0,"",0,5,"Art/2DArt/UIImages/InGame/WorldPanelMapAct5","",0,"",2604,1161
5,"Act6",1,"",0,6,"Art/2DArt/UIImages/InGame/WorldPanelMapAct6","",0,"",2604,1161
6,"Act7",1,"",0,7,"Art/2DArt/UIImages/InGame/WorldPanelMapAct7","",0,"",2604,1161
7,"Act8",1,"",0,8,"Art/2DArt/UIImages/InGame/WorldPanelMapAct8","",0,"",2604,1161
8,"Act9",1,"",0,9,"Art/2DArt/UIImages/InGame/WorldPanelMapAct9","",0,"",2604,1161
9,"Act10",1,"",0,10,"Art/2DArt/UIImages/InGame/WorldPanelMapAct10","",0,"",2604,1161
10,"Epilogue",2,"",0,11,"Art/2DArt/UIImages/InGame/WorldPanelMapAct11","Art/2DArt/UIImages/InGame/WorldPanelMapEpilogue2",0,"",2604,1161
11,"Epilogue2",2,"Conquerors",0,12,"Art/2DArt/UIImages/InGame/WorldPanelConquerors","",0,1,60,275
12,"Epilogue3",2,"Maven",0,13,"Art/2DArt/UIImages/InGame/WorldPanelMaven","",0,1,60,374
