"rownum","BaseItemTypesKey","Code","i32","bool"
0,9,"alch",0,1
1,12,"alt",0,1
2,200,"annul",0,1
3,177,"simple-sextant",0,1
4,11,"aug",0,""
5,17,"bauble",0,""
6,24,"blessed",0,1
7,7,"chance",0,1
8,5,"chaos",20,1
9,19,"chisel",0,1
10,20,"chrome",0,1
11,23,"divine",0,1
12,204,"engineers",0,""
13,14,"exalted",0,1
14,395,"facetors",0,""
15,21,"fusing",0,1
16,18,"gcp",0,1
17,205,"infused-engineers-orb",0,""
18,22,"jewellers",0,1
19,178,"prime-sextant",0,1
20,179,"awakened-sextant",0,1
21,1,"mirror",0,1
22,277,"offer",0,""
23,280,"offer-dedication",0,""
24,279,"offer-gift",0,""
25,278,"offer-tribute",0,""
26,16,"portal",0,""
27,15,"regal",0,1
28,3,"regret",0,1
29,13,"scour",0,1
30,0,"scrap",0,""
31,40,"silver",0,1
32,8,"transmute",0,""
33,33,"vaal",0,1
34,10,"whetstone",0,""
35,2,"wisdom",0,""
