"rownum","WorldAreasKey","NPCTextAudioKey","[rid]"
0,77,5768,[]
1,75,5769,[]
2,79,5770,[]
3,80,5771,[]
4,81,5772,[]
5,83,5773,[]
6,84,5774,[]
7,85,5775,[]
8,86,5776,[]
9,87,5777,[5325]
10,88,5778,[]
11,89,5779,[]
12,90,5780,[]
13,91,5781,[5534]
14,92,5782,[]
15,93,5783,[]
16,94,5784,[1505]
17,95,5785,[]
18,96,5786,[]
19,97,5787,[]
20,98,5788,[5073]
21,100,5789,[]
22,101,5790,[]
23,102,5791,[]
24,103,5792,[]
25,104,5793,[]
26,106,5794,[]
27,105,5795,[]
28,107,5796,[]
29,108,5797,[5275]
30,109,5798,[]
31,110,5799,[5567]
32,111,5800,[]
33,112,5801,[]
34,113,5802,[]
35,114,5803,[5291]
36,115,5804,[]
37,117,5805,[]
38,118,5806,[]
39,119,5813,[]
40,120,5815,[5580]
41,121,5814,[]
42,122,5816,[]
43,123,5817,[]
44,124,5818,[]
45,125,5807,[]
46,126,5808,[]
47,127,5809,[]
48,128,5812,[]
49,129,5810,[]
50,130,5811,[]
51,131,5819,"[5203,5226]"
52,132,5820,[]
53,134,5821,[]
54,135,5822,[]
55,136,5824,[5774]
56,137,5823,[]
57,138,5825,[]
58,139,5826,[]
59,140,5827,[5618]
60,141,5828,[]
61,142,5829,[]
62,143,5830,[]
63,145,5831,[]
64,146,5832,[]
65,147,5835,[]
66,148,5836,[]
67,149,5838,[]
68,150,5839,[5303]
69,151,5833,[]
70,152,5834,[]
71,153,5837,[]
