"rownum","rid","i32","[i32]","[rid]","rid","i32","bool","i32","i32","i32","i32"
0,8063,0,[3],[5999],"",0,1,-30,0,150,800
1,8063,1,[1],"[6004,9083]","",0,1,-30,0,150,800
2,8066,0,[1],[],"",0,1,0,0,150,800
3,8068,0,"[1,3]","[6003,9083]","",0,1,-30,0,150,800
4,8070,0,"[1,3]","[5982,9083]","",0,1,-30,0,150,800
5,8072,0,[2],[1578],"",10,1,-15,0,150,800
6,8074,0,[2],[5987],"",10,1,10,0,150,800
7,8076,0,"[3,1]",[6000],"",0,1,-30,0,150,800
8,8078,0,"[1,3]","[5982,9083]","",0,1,-30,0,150,800
9,8080,0,[2],"[5987,1582]","",10,1,10,0,150,800
10,8082,0,"[3,1]",[6000],"",0,1,-30,0,150,800
11,8083,0,"[1,3]","[5982,9083]","",0,1,-30,0,150,800
12,8084,0,[2],"[5987,1582]","",10,1,10,0,150,800
13,8085,0,"[3,1]",[6001],"",0,1,-30,0,150,800
14,8086,0,"[1,3]",[5982],"",0,1,-30,0,150,800
15,8125,0,"[3,1]","[6031,9083]","",0,1,-30,0,150,800
16,8127,0,[3],"[6032,9083]","",0,1,-30,0,150,800
17,8127,1,[1],[],"",0,1,-30,0,150,800
18,8129,0,"[1,3]","[6033,9083]","",0,1,-30,0,150,800
19,8131,0,"[1,3]","[6034,9083]","",0,1,-30,0,150,800
20,8133,0,[2],[6542],"",10,1,-15,0,150,800
21,8135,0,[2],[3765],"",10,1,10,0,150,800
22,8137,0,[2],[],7841,10,1,5,0,150,800
23,8139,0,"[3,1]","[6031,9083]","",0,1,-30,0,150,800
24,8140,0,[3],"[6032,9083]","",0,1,-30,0,150,800
25,8140,1,[1],[],"",0,1,-30,0,150,800
26,8141,0,"[1,3]","[6033,9083]","",0,1,-30,0,150,800
27,8142,0,"[1,3]","[6034,9083]","",0,1,-30,0,150,800
28,8144,0,[2],[6542],"",10,1,-15,0,150,800
29,8145,0,[2],[3765],"",10,1,10,0,150,800
30,8146,0,[2],[],7841,10,1,5,0,150,800
31,8147,0,[3],"[6032,9083]","",0,1,-30,0,150,800
32,8147,1,[1],[],"",0,1,-30,0,150,800
33,8149,0,"[1,3]","[6034,9083]","",0,1,-30,0,150,800
34,8151,0,"[3,1]",[6035],"",0,1,-15,0,150,800
35,8153,0,[2],[3765],"",10,1,10,0,150,800
36,8155,0,[3],"[6032,9083]","",0,1,-30,0,150,800
37,8155,1,[1],[],"",0,1,-30,0,150,800
38,8156,0,"[1,3]","[6034,9083]","",0,1,-30,0,150,800
39,8157,0,"[3,1]",[6035],"",0,1,-15,0,150,800
40,8158,0,[2],[3765],"",0,1,10,0,150,800
41,8159,0,"[3,1]",[6036],"",0,1,-30,0,150,800
42,8160,0,[2],[3766],"",10,1,10,0,150,800
43,8088,0,[2],[9092],"",0,1,0,0,150,800
44,8092,0,[1],[6557],"",0,1,0,0,150,800
45,8094,0,[1],[6557],"",0,1,0,0,150,800
46,8096,0,[1],[6557],"",0,1,0,0,150,800
47,8099,0,[1],[6557],"",0,1,0,0,150,800
48,8101,1,[2],[564],"",0,1,0,0,150,800
49,8104,0,[1],[6557],"",0,1,0,0,150,800
50,8123,0,[1],[6557],"",0,1,0,0,150,800
51,8089,0,[1],[6557],"",0,1,0,0,150,800
52,8090,0,[1],[6557],"",0,1,0,0,150,800
53,8105,0,[2],[7840],"",0,1,15,0,150,800
54,8106,0,[2],[7840],"",0,1,15,0,150,800
55,8107,0,[2],[7840],"",0,1,15,0,150,800
56,8109,0,[2],[7838],"",0,1,15,0,150,800
57,8111,0,[2],[7838],"",0,1,15,0,150,800
58,8112,0,[2],[7838],"",0,1,15,0,150,800
59,8114,0,[2],[],"",0,1,0,0,150,800
60,8115,0,[2],[],"",0,1,0,0,150,800
61,8116,0,[2],[],"",0,1,0,0,150,800
62,8118,0,[2],[6066],"",5,1,-30,0,150,800
63,8119,0,[2],[6066],"",5,1,-30,0,150,800
64,8120,0,[2],[6066],"",5,1,-30,0,150,800
65,8169,0,[3],[],"",0,1,0,1,150,800
66,8172,0,[1],[],"",0,1,0,1,150,800
67,8173,0,[1],[],"",0,1,0,1,150,800
68,8176,0,[2],[6051],"",0,1,-30,0,150,800
69,8178,0,[2],[6552],"",0,1,-30,0,150,800
