"rownum","Id","BuffStatValues","BuffDefinitionsKey","BuffVisual"
0,"acceleration_player","[-50,80,1]",234,""
1,"acceleration_monster","[-60,100,1]",234,247
2,"regen_player","[600,400,1]",237,""
3,"regen_monster","[400,400,1]",237,247
4,"brutal_player","[50,1,30,1,1]",235,""
5,"brutal_monster","[50,1,30,1,1]",235,247
6,"thorns_player","[18,18,1]",236,""
7,"thorns_monster","[18,18,1]",236,247
8,"diamond_player","[1,1]",238,""
9,"diamond_monster","[1,1]",238,247
10,"fire_player",[1],239,""
11,"cold_player",[1],241,""
12,"lightning_player",[1],240,""
13,"arc_player",[1],242,""
14,"skeleton_player",[1],244,""
15,"smoke_player",[1],243,""
16,"shrine_echoing_monster","[100,100,1,1]",245,247
17,"shrine_echoing_player","[100,100,1,1]",245,""
18,"curses_monster","[100,1,1]",246,247
19,"curses_player","[0,0,1]",246,""
20,"massive_player","[30,40,40,1]",247,""
21,"massive_monster","[20,155,60,1]",247,247
22,"defence_player","[100,100,100,0,0,0,1]",248,""
23,"defence_monster","[0,0,0,-20,20,20,1]",248,247
24,"resistance_player","[50,10,1]",250,""
25,"resistance_monster","[50,10,1]",250,247
26,"godmode_player","[1,1]",249,""
27,"godmode_monster","[1,1]",249,247
28,"rare_monsters_drop_uniques","[1,1]",549,""
29,"acceleration_lesser","[-10,30,1]",234,""
30,"brutal_lesser","[20,1,20,0,1]",235,""
31,"regen_lesser","[200,200,1]",237,""
32,"massive_lesser","[10,20,20,1]",247,""
33,"resistance_lesser","[25,2,1]",250,""
34,"defence_lesser","[50,50,50,0,0,0,1]",248,""
35,"resonating_player","[20,60,40,4,4,4,4,4,5,1]",1292,""
36,"resonating_monster","[100,0,0,0,0,0,0,0,0,1]",1292,247
37,"gloom_player","[10,40,1]",1293,""
38,"gloom_monster","[10,0,1]",1293,247
