"rownum","MapPinsKey0","MapPinsKey1","i32","RestrictedAreaText","i32","i32","i32","[rid]"
0,0,1,1,"You must complete the quest 'Enemy at the Gate' first.",2,2604,2604,[]
1,0,2,2604,"",2604,2604,2604,[]
2,2,3,2604,"",2604,2604,2604,[]
3,2,4,2604,"",2604,2604,2604,[]
4,4,5,2604,"",2604,2604,2604,[]
5,4,7,25,"You must complete the quest 'Breaking Some Eggs' first.",26,2604,2604,[]
6,7,6,2604,"",2604,2604,2604,[]
7,7,8,2604,"",2604,2604,2604,[]
8,8,9,2604,"",2604,2604,2604,[]
9,9,10,2604,"",2604,2604,2604,[]
10,10,11,2604,"",2604,2604,2604,[]
11,11,12,2604,"",2604,2604,2604,[]
12,12,13,2604,"",2604,2604,2604,[]
13,12,14,2604,"",2604,2604,2604,[]
14,17,18,2604,"",2604,2604,2604,[]
15,17,19,2604,"",2604,2604,2604,[]
16,17,25,2604,"",2604,2604,2604,[]
17,19,21,2604,"",2604,2604,2604,[]
18,19,20,2604,"",2604,2604,2604,[]
19,21,24,2604,"",2604,2604,2604,[]
20,21,23,2604,"",2604,2604,2604,[]
21,21,33,2604,"",2604,2604,2604,[]
22,22,33,2604,"",2604,2604,2604,[]
23,25,30,2604,"",2604,2604,2604,[]
24,25,27,2604,"",2604,2604,2604,[]
25,27,28,2604,"",2604,2604,2604,[]
26,30,29,100,"You must complete the quest 'The Root of the Problem' first.",101,2604,2604,[]
27,29,26,2604,"",2604,2604,2604,[]
28,26,31,2604,"",2604,2604,2604,[]
29,26,32,2604,"",2604,2604,2604,[]
30,14,15,2604,"",2604,2604,2604,[]
31,11,16,234,"You must complete the quest 'The Way Forward' first.",231,2604,2604,[]
32,34,35,2604,"",2604,2604,2604,[]
33,34,36,2604,"",2604,2604,2604,[]
34,36,37,2604,"",2604,2604,2604,[]
35,36,44,2604,"",2604,2604,2604,[]
36,44,45,435,"The way is impassable due to the Undying blockage.",195,435,474,[]
37,44,38,2604,"",2604,2604,2604,[]
38,38,39,2604,"",2604,2604,2604,[]
39,38,40,2604,"",2604,2604,2604,[]
