"rownum","Id","BaseItemTypesKey","X","Y","IntId","SlotWidth","SlotHeight","IsUpgradableEssenceSlot"
0,"Metadata/Items/Currency/CurrencyEssenceHatred1",71,480,183,0,1,1,1
1,"Metadata/Items/Currency/CurrencyEssenceHatred2",72,408,183,1,1,1,1
2,"Metadata/Items/Currency/CurrencyEssenceHatred3",73,335,183,2,1,1,1
3,"Metadata/Items/Currency/CurrencyEssenceHatred4",74,263,183,3,1,1,1
4,"Metadata/Items/Currency/CurrencyEssenceHatred5",75,190,183,4,1,1,1
5,"Metadata/Items/Currency/CurrencyEssenceHatred6",76,117,183,5,1,1,1
6,"Metadata/Items/Currency/CurrencyEssenceHatred7",77,44,183,6,1,1,""
7,"Metadata/Items/Currency/CurrencyEssenceWoe1",78,480,256,7,1,1,1
8,"Metadata/Items/Currency/CurrencyEssenceWoe2",79,408,256,8,1,1,1
9,"Metadata/Items/Currency/CurrencyEssenceWoe3",80,335,256,9,1,1,1
10,"Metadata/Items/Currency/CurrencyEssenceWoe4",81,263,256,10,1,1,1
11,"Metadata/Items/Currency/CurrencyEssenceWoe5",82,190,256,11,1,1,1
12,"Metadata/Items/Currency/CurrencyEssenceWoe6",83,117,256,12,1,1,1
13,"Metadata/Items/Currency/CurrencyEssenceWoe7",84,44,256,13,1,1,""
14,"Metadata/Items/Currency/CurrencyEssenceGreed1",85,480,38,14,1,1,1
15,"Metadata/Items/Currency/CurrencyEssenceGreed2",86,408,38,15,1,1,1
16,"Metadata/Items/Currency/CurrencyEssenceGreed3",87,335,38,16,1,1,1
17,"Metadata/Items/Currency/CurrencyEssenceGreed4",88,263,38,17,1,1,1
18,"Metadata/Items/Currency/CurrencyEssenceGreed5",89,190,38,18,1,1,1
19,"Metadata/Items/Currency/CurrencyEssenceGreed6",90,117,38,19,1,1,1
20,"Metadata/Items/Currency/CurrencyEssenceGreed7",91,44,38,20,1,1,""
21,"Metadata/Items/Currency/CurrencyEssenceContempt1",92,480,111,21,1,1,1
22,"Metadata/Items/Currency/CurrencyEssenceContempt2",93,408,111,22,1,1,1
23,"Metadata/Items/Currency/CurrencyEssenceContempt3",94,335,111,23,1,1,1
24,"Metadata/Items/Currency/CurrencyEssenceContempt4",95,263,111,24,1,1,1
25,"Metadata/Items/Currency/CurrencyEssenceContempt5",96,190,111,25,1,1,1
26,"Metadata/Items/Currency/CurrencyEssenceContempt6",97,117,111,26,1,1,1
27,"Metadata/Items/Currency/CurrencyEssenceContempt7",98,44,111,27,1,1,""
28,"Metadata/Items/Currency/CurrencyEssenceSorrow1",99,408,547,28,1,1,1
29,"Metadata/Items/Currency/CurrencyEssenceSorrow2",100,335,547,29,1,1,1
30,"Metadata/Items/Currency/CurrencyEssenceSorrow3",101,263,547,30,1,1,1
31,"Metadata/Items/Currency/CurrencyEssenceSorrow4",102,190,547,31,1,1,1
32,"Metadata/Items/Currency/CurrencyEssenceSorrow5",103,117,547,32,1,1,1
33,"Metadata/Items/Currency/CurrencyEssenceSorrow6",104,44,547,33,1,1,""
34,"Metadata/Items/Currency/CurrencyEssenceAnger1",105,408,402,34,1,1,1
35,"Metadata/Items/Currency/CurrencyEssenceAnger2",106,335,402,35,1,1,1
36,"Metadata/Items/Currency/CurrencyEssenceAnger3",107,263,402,36,1,1,1
37,"Metadata/Items/Currency/CurrencyEssenceAnger4",108,190,402,37,1,1,1
38,"Metadata/Items/Currency/CurrencyEssenceAnger5",109,117,402,38,1,1,1
39,"Metadata/Items/Currency/CurrencyEssenceAnger6",110,44,402,39,1,1,""
40,"Metadata/Items/Currency/CurrencyEssenceTorment1",111,408,474,40,1,1,1
41,"Metadata/Items/Currency/CurrencyEssenceTorment2",112,335,474,41,1,1,1
42,"Metadata/Items/Currency/CurrencyEssenceTorment3",113,263,474,42,1,1,1
43,"Metadata/Items/Currency/CurrencyEssenceTorment4",114,190,474,43,1,1,1
44,"Metadata/Items/Currency/CurrencyEssenceTorment5",115,117,474,44,1,1,1
45,"Metadata/Items/Currency/CurrencyEssenceTorment6",116,44,474,45,1,1,""
46,"Metadata/Items/Currency/CurrencyEssenceFear1",117,408,329,46,1,1,1
47,"Metadata/Items/Currency/CurrencyEssenceFear2",118,335,329,47,1,1,1
48,"Metadata/Items/Currency/CurrencyEssenceFear3",119,263,329,48,1,1,1
49,"Metadata/Items/Currency/CurrencyEssenceFear4",120,190,329,49,1,1,1
50,"Metadata/Items/Currency/CurrencyEssenceFear5",121,117,329,50,1,1,1
51,"Metadata/Items/Currency/CurrencyEssenceFear6",122,44,329,51,1,1,""
52,"Metadata/Items/Currency/CurrencyEssenceSuffering1",123,335,692,52,1,1,1
53,"Metadata/Items/Currency/CurrencyEssenceSuffering2",124,263,692,53,1,1,1
54,"Metadata/Items/Currency/CurrencyEssenceSuffering3",125,190,692,54,1,1,1
55,"Metadata/Items/Currency/CurrencyEssenceSuffering4",126,117,692,55,1,1,1
56,"Metadata/Items/Currency/CurrencyEssenceSuffering5",127,44,692,56,1,1,""
57,"Metadata/Items/Currency/CurrencyEssenceRage1",128,335,619,57,1,1,1
58,"Metadata/Items/Currency/CurrencyEssenceRage2",129,263,619,58,1,1,1
59,"Metadata/Items/Currency/CurrencyEssenceRage3",130,190,619,59,1,1,1
60,"Metadata/Items/Currency/CurrencyEssenceRage4",131,117,619,60,1,1,1
61,"Metadata/Items/Currency/CurrencyEssenceRage5",132,44,618,61,1,1,""
62,"Metadata/Items/Currency/CurrencyEssenceWrath1",133,335,764,62,1,1,1
63,"Metadata/Items/Currency/CurrencyEssenceWrath2",134,263,764,63,1,1,1
64,"Metadata/Items/Currency/CurrencyEssenceWrath3",135,190,764,64,1,1,1
65,"Metadata/Items/Currency/CurrencyEssenceWrath4",136,117,764,65,1,1,1
66,"Metadata/Items/Currency/CurrencyEssenceWrath5",137,44,764,66,1,1,""
67,"Metadata/Items/Currency/CurrencyEssenceDoubt1",138,335,837,67,1,1,1
68,"Metadata/Items/Currency/CurrencyEssenceDoubt2",139,263,837,68,1,1,1
69,"Metadata/Items/Currency/CurrencyEssenceDoubt3",140,190,837,69,1,1,1
70,"Metadata/Items/Currency/CurrencyEssenceDoubt4",141,117,837,70,1,1,1
71,"Metadata/Items/Currency/CurrencyEssenceDoubt5",142,44,837,71,1,1,""
72,"Metadata/Items/Currency/CurrencyEssenceAnguish1",143,613,182,72,1,1,1
73,"Metadata/Items/Currency/CurrencyEssenceAnguish2",144,685,182,73,1,1,1
74,"Metadata/Items/Currency/CurrencyEssenceAnguish3",145,760,182,74,1,1,1
75,"Metadata/Items/Currency/CurrencyEssenceAnguish4",146,833,182,75,1,1,""
76,"Metadata/Items/Currency/CurrencyEssenceLoathing1",147,613,38,76,1,1,1
77,"Metadata/Items/Currency/CurrencyEssenceLoathing2",148,685,38,77,1,1,1
78,"Metadata/Items/Currency/CurrencyEssenceLoathing3",149,760,38,78,1,1,1
79,"Metadata/Items/Currency/CurrencyEssenceLoathing4",150,833,38,79,1,1,""
80,"Metadata/Items/Currency/CurrencyEssenceSpite1",151,613,256,80,1,1,1
81,"Metadata/Items/Currency/CurrencyEssenceSpite2",152,686,256,81,1,1,1
82,"Metadata/Items/Currency/CurrencyEssenceSpite3",153,760,256,82,1,1,1
83,"Metadata/Items/Currency/CurrencyEssenceSpite4",154,833,256,83,1,1,""
84,"Metadata/Items/Currency/CurrencyEssenceZeal1",155,613,111,84,1,1,1
85,"Metadata/Items/Currency/CurrencyEssenceZeal2",156,686,111,85,1,1,1
86,"Metadata/Items/Currency/CurrencyEssenceZeal3",157,760,111,86,1,1,1
87,"Metadata/Items/Currency/CurrencyEssenceZeal4",158,833,111,87,1,1,""
88,"Metadata/Items/Currency/CurrencyEssenceMisery1",159,686,474,88,1,1,1
89,"Metadata/Items/Currency/CurrencyEssenceMisery2",160,760,474,89,1,1,1
90,"Metadata/Items/Currency/CurrencyEssenceMisery3",161,833,474,90,1,1,""
91,"Metadata/Items/Currency/CurrencyEssenceDread1",162,686,547,91,1,1,1
92,"Metadata/Items/Currency/CurrencyEssenceDread2",163,760,547,92,1,1,1
93,"Metadata/Items/Currency/CurrencyEssenceDread3",164,833,547,93,1,1,""
94,"Metadata/Items/Currency/CurrencyEssenceScorn1",165,686,329,94,1,1,1
95,"Metadata/Items/Currency/CurrencyEssenceScorn2",166,760,329,95,1,1,1
96,"Metadata/Items/Currency/CurrencyEssenceScorn3",167,833,329,96,1,1,""
97,"Metadata/Items/Currency/CurrencyEssenceEnvy1",168,686,402,97,1,1,1
98,"Metadata/Items/Currency/CurrencyEssenceEnvy2",169,760,402,98,1,1,1
99,"Metadata/Items/Currency/CurrencyEssenceEnvy3",170,833,402,99,1,1,""
100,"Metadata/Items/Currency/CurrencyEssenceHysteria1",171,833,838,100,1,1,""
101,"Metadata/Items/Currency/CurrencyEssenceInsanity1",172,833,620,101,1,1,""
102,"Metadata/Items/Currency/CurrencyEssenceHorror1",173,833,693,102,1,1,""
103,"Metadata/Items/Currency/CurrencyEssenceDelirium1",174,833,765,103,1,1,""
104,"Metadata/Items/Currency/CurrencyCorruptMonolith",175,760,620,104,1,1,""
105,"GenericSlot1","",760,693,105,1,1,""
106,"GenericSlot2","",760,765,106,1,1,""
107,"GenericSlot3","",760,838,107,1,1,""
108,"CraftingSlot","",514,653,108,2,4,""
