"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19135,0,11,100,1,6,1,1
1,19136,0,50,100,3,6,1,1
2,19187,0,11,100,1,6,1,1
3,19191,0,11,100,1,6,1,1
4,19192,0,11,100,1,6,1,1
5,19193,0,11,100,1,6,1,1
6,19194,0,11,100,1,6,1,1
7,19199,0,11,100,1,6,1,1
8,19202,150,11,100,1,3,1,1
9,19203,150,25,100,4,5,1,1
10,19204,75,68,100,6,7,1,1
11,19205,150,11,100,1,3,1,1
12,19206,150,25,100,4,5,1,1
13,19207,75,68,100,6,7,1,1
14,19208,150,11,100,1,3,1,1
15,19209,150,25,100,4,5,1,1
16,19210,75,68,100,6,7,1,1
17,19201,75,68,100,3,6,1,1
18,19211,150,40,100,1,3,1,1
19,19212,75,68,100,4,5,1,1
20,19200,37,68,100,6,7,1,1
21,19189,0,11,100,1,3,1,1
22,19213,0,25,100,4,5,1,1
23,19214,0,68,100,6,7,1,1
24,19215,0,68,100,6,7,1,1
25,19195,0,11,100,1,3,1,1
26,19216,0,25,100,4,5,1,1
27,19217,0,68,100,6,7,1,1
28,19190,150,11,100,1,3,1,1
29,19218,75,40,100,4,5,1,1
30,19219,37,68,100,6,7,1,1
31,19196,150,11,100,1,6,1,1
32,19197,75,68,100,4,7,1,1
33,19220,150,68,100,3,7,1,1
