"rownum","RecipeId","Description","CraftingItemClassCategoriesKeys","UnlockDescription","Rank","UnlockArea"
0,146,"Movement Speed - Rank 1",[8],"",1,35
1,161,"Spell Damage - Rank 1","[0,1,2,3]","",1,36
2,158,"Physical Damage - Rank 1","[0,1,2,3,4,7,9,10,13]","",1,48
3,170,"Fire Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,46
4,173,"Cold Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,62
5,176,"Lightning Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,51
6,133,"Elemental Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,68
7,141,"Attributes - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,92
8,168,"Attack, Cast and Warcry Speed - Rank 1","[0,1,2,3,4,7,9,10]","",1,59
9,180,"Chaos Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,114
10,147,"Movement Speed and Exerted Attacks - Rank 2","[8,9,10,11]","",2,78
11,159,"Physical Damage - Rank 2","[0,1,2,3,4,9,10]","",2,79
12,183,"Accuracy - Rank 1","[0,1,2,3,4,5,7,9,10,13]","",1,80
13,142,"Attributes - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,1178
14,149,"Life and Mana - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,97
15,162,"Spell Damage - Rank 2","[0,1,2,3]","",2,90
16,187,"Defences - Rank 1","[4,5,6,7,8]","",1,41
17,171,"Fire Damage - Rank 2","[0,1,2,3,9,10]","",2,110
18,174,"Cold Damage - Rank 2","[0,1,2,3,9,10]","",2,111
19,178,"Lightning Damage - Rank 2","[0,1,2,3,9,10]","",2,104
20,185,"Accuracy - Rank 2","[0,1,2,3,4,5,7,9,10,13]","",2,148
21,135,"Elemental Resistances - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,118
22,228,"Minions - Rank 1","[0,1,2,3,5,7,9,10]","",1,124
23,230,"Traps and Mines - Rank 1","[0,1,2,3]","",1,130
24,160,"Physical Damage - Rank 3","[0,1,2,3]","",3,140
25,163,"Spell Damage - Rank 3","[0,1,2,3]","",3,138
