"rownum","Type","[i32]","[i32]"
0,"Shop","[128,128,128]","[255,255,255]"
1,"Pets","[128,128,128]","[255,255,255]"
2,"People","[128,128,128]","[255,255,255]"
3,"Plants","[128,128,128]","[255,255,255]"
4,"Trees","[128,128,128]","[255,255,255]"
5,"Nests","[128,128,128]","[255,255,255]"
6,"Furniture","[128,128,128]","[255,255,255]"
7,"Cages","[128,128,128]","[255,255,255]"
8,"Rocks","[128,128,128]","[255,255,255]"
9,"Crates","[128,128,128]","[255,255,255]"
10,"Barrels","[128,128,128]","[255,255,255]"
11,"Containers","[128,128,128]","[255,255,255]"
12,"Ground","[128,128,128]","[255,255,255]"
13,"Water","[128,128,128]","[255,255,255]"
14,"Walls","[128,128,128]","[255,255,255]"
15,"Effects","[128,128,128]","[255,255,255]"
16,"Weather","[128,128,128]","[255,255,255]"
17,"Lights","[128,128,128]","[255,255,255]"
18,"Carpets","[128,128,128]","[255,255,255]"
19,"Debris","[128,128,128]","[255,255,255]"
20,"Statues","[128,128,128]","[255,255,255]"
21,"Barricades","[128,128,128]","[255,255,255]"
22,"Tents","[128,128,128]","[255,255,255]"
23,"Stalls","[128,128,128]","[255,255,255]"
24,"Equipment","[128,128,128]","[255,255,255]"
25,"Machines","[128,128,128]","[255,255,255]"
26,"Pillars","[128,128,128]","[255,255,255]"
27,"Stonework","[128,128,128]","[255,255,255]"
28,"Carcasses","[128,128,128]","[255,255,255]"
29,"Bones","[128,128,128]","[255,255,255]"
30,"Vehicles","[128,128,128]","[255,255,255]"
31,"Banners","[128,128,128]","[255,255,255]"
