"rownum","BaseItemTypesKey","AddedModsKeys","NegativeWeight_TagsKeys","NegativeWeight_Values","ForcedAddModsKeys","ForbiddenDelveCraftingTagsKeys","AllowedDelveCraftingTagsKeys","CanMirrorItem","CorruptedEssenceChance","CanImproveQuality","CanRollEnchant","HasLuckyRolls","SellPrice_ModsKeys","CanRollWhiteSockets","Weight_TagsKeys","Weight_Values","DelveCraftingModifierDescriptionsKeys","BlockedDelveCraftingModifierDescriptionsKeys","bool","bool"
0,237,[],[310],[0],[],[],[],"",0,"","","",[],"",[309],[1000],"[11,29]","[12,57]","",""
1,238,[],[309],[0],[],[],[],"",0,"","","",[],"",[310],[1000],"[12,28]","[11,51]","",""
2,239,[],[313],[0],[],[],[],"",0,"","","",[],"",[311],[1000],"[13,27]","[10,45]","",""
3,240,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[1000],"[10,31]","[14,58]","",""
4,241,[],[311],[0],[],[],[],"",0,"","","",[],"",[312],[1000],"[14,30]","[13,48]","",""
5,242,[],[317],[0],[],[],[],"",0,"","","",[],"",[316],[1000],"[17,33]","[18,53]","",""
6,243,[],[316],[0],[],[],[],"",0,"","","",[],"",[317],[1000],"[18,32]","[17,49]","",""
7,244,[],[318],[0],[],[],[],"",0,"","","",[],"","[315,314]","[1000,1000]","[16,34]","[15,52]","",""
8,245,[],"[315,314]","[0,0]",[],[],[],"",0,"","","",[],"",[318],[600],"[15,35]","[16,63]","",""
9,246,[],[319],[15],[],[],[],"",0,"","","",[],"",[34],[1000],"[19,26]",[25],"",""
10,247,[],[34],[15],[],[],[],"",0,"","","",[],"",[319],[1000],"[20,25]",[26],"",""
11,248,[],[324],[0],[],[],[],"",0,"","","",[],"",[323],[1000],"[21,37]","[22,43]","",""
12,249,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[1000],"[22,36]","[21,47]","",""
13,250,[],[],[],[],[],[],"",0,"","","",[],"","[320,321,645]","[1000,1000,1000]",[23],[],"",""
14,251,[],[],[],[],[],"[0,2,5,6,4,3,7]","",0,1,"","",[],"",[],[],[9],[],"",""
15,252,[],[639],[0],[],[],[],"",0,"","","",[],"",[630],[1000],"[39,42]","[41,61]","",""
16,253,[],[630],[0],[],[],[],"",0,"","","",[],"",[639],[1000],"[41,40]","[39,56]","",""
17,254,"[15493,15494,15495]",[],[],[],[],[],"",0,"","","",[],"",[27],[1000],[24],[],"",""
18,255,[],[],[],[],"[13,14,15]",[],"",0,"","","",[],"",[],[],[38],[],1,""
19,256,[],[],[],[15496],[],"[0,4,6,5,2]","",0,"","","",[],"",[],[],[5],[],"",""
20,257,[],[],[],[],[],[],1,0,"","","",[],"",[],[],[4],[],"",""
21,258,[],[],[],[],[],"[0,2,5,6,4,3,8,9,10,11]","",100,"","","",[],"",[],[],[3],[],"",""
22,259,"[15493,15494,15495,15497,15498,15499,15501,15502,15503,15500,15496]",[],[],[],[],[],"",10,"","","",[],"",[],[],[2],[],"",1
23,260,[],[],[],[],[],[],"",0,"","",1,[],"",[],[],[1],[],"",""
24,261,[],[],[],[],[],[],"",0,"","","","[15140,15141,15142,15143,15144,15145,15146,15147,15148]","",[],[],[0],[],"",""
25,8471,[],[638],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,64]","[44,73]","",""
26,8472,[],[313],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,27]","[45,10]","",""
27,8473,[],[320],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,65]","[46,74]","",""
28,8474,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,36]","[47,21]","",""
29,8475,[],[311],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,30]","[48,13]","",""
