"rownum","Id","AtlasRegionsKey","MinTier","MaxTier","SpawnWeight_TagsKeys","SpawnWeight_Values"
0,"TopLeftWhite1",0,1,5,"[181,185,189]","[1000,1000,1000]"
1,"TopLeftYellow1",0,6,10,"[181,185,189,183]","[1000,1000,1000,1000]"
2,"TopLeftRed1",0,11,16,"[181,185,189,183,179]","[1000,1000,1000,1000,1000]"
3,"TopRightWhite1",1,1,5,"[186,457,188,704]","[1000,1000,1000,1000]"
4,"TopRightYellow1",1,6,10,"[186,457,188,704]","[1000,1000,1000,1000]"
5,"TopRightRed1",1,11,16,"[186,457,188,704,705]","[1000,1000,1000,1000,1000]"
6,"BottomLeftWhite1",2,1,5,"[180,707,187]","[1000,1000,1000]"
7,"BottomLeftYellow1",2,6,10,"[180,707,187,182]","[1000,1000,1000,1000]"
8,"BottomLeftRed1",2,11,16,"[180,707,187,182,453,454]","[1000,1000,1000,1000,1000,1000]"
9,"BottomRightWhite1",3,1,5,"[190,706,184,708]","[1000,1000,1000,1000]"
10,"BottomRightYellow1",3,6,10,"[190,706,184,708]","[1000,1000,1000,1000]"
11,"BottomRightRed1",3,11,16,"[190,706,184,708,178]","[1000,1000,1000,1000,1000]"
