"rownum","Id","BuffDefinitionsKey","[i32]","AuraRadius","[i32]","[i32]","BuffVisualsKey","f32","bool","StatsKey","i32"
0,"UltimatumRecoveryDebuff1",1772,"[-30,-30,-30]",0,[],[],"",0,1,[],1
1,"UltimatumAreaAndProjectileSpeedDebuff",1773,"[-50,-50]",0,[],[],"",0,1,[],1
2,"UltimatumBuffsExpireFaster",1774,[200],0,[],[],"",0,1,[],1
3,"UltimatumCooldownSpeedDebuff",1775,[-80],0,[],[],"",0,1,[],1
4,"UltimatumVulnerabilityDebuff",1768,[100],0,[],"[-100,1,-50]","",0,1,[],1
5,"UltimatumMonsterSpeedBuff",1779,"[50,50,50]",0,[],"[-100,5,0]","",0,1,[],1
6,"Unhinged",1692,[],0,[],[],"",0,1,[],1
7,"PainSuppression",1784,"[0,0,0]",0,[],[],"",0,1,"[13962,13894,14047]",1
8,"PlayerDebuffExtraCriticalRolls",1797,[-1],0,[],[],"",0,1,[],1
9,"PlayerDebuffHinderedMsOnFlaskUse",1798,[4000],0,[],[],"",0,1,[],1
10,"PlayerDebuffCancelFlaskEffectOnFlaskUse",1799,[1],0,[],[],"",0,1,[],1
11,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1800,"[1,1]",0,[],[],"",0,1,[],1
12,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCost",1801,[1000],0,[],[],"",0,1,[],1
13,"PlayerDebuffRandomProjectileDirection",1802,[1],0,[],[],"",0,1,[],1
14,"UltimatumFrostInfection",342,[],1,[9],[],1525,0,1,[],1
15,"PlayerDebuffAurasAlsoAffectEnemies",1804,[1],0,[],[],"",0,1,[],1
16,"ScionMovementSpeed",483,[8],60,"[1,2,10]",[],"",0,1,[],1
17,"OccultistWitherNearbyEnemies",1221,[15000],0,[],[],"",0,1,[],1
18,"ScionAuguryOfPenitence",564,[10],60,[3],[],"",0,1,[],1
19,"OccultistPowerChargeOnManaSpent",913,[],0,[],[],"",0,1,[],1
20,"OccultistNearbyEnemiesColdChaosResistLifeRegen",612,"[-20,-100,-20]",60,[3],[],"",0,1,[],1
21,"ChampionMovementSpeed",482,[12],60,"[1,2,10]",[],"",0,1,[],1
22,"JuggernautPhysDamagePreventedAsLifeRegen",1054,[],0,[],[],"",0,1,[],1
23,"OccultistFreezeNearbyChilledEnemies",1222,"[600,600]",0,[],[],"",0,1,[],1
24,"ChampionFortify",1910,[],0,[],[],"",0,1,[],20
25,"PendulumOfDestruction",1035,[],0,[],[],"",0,1,[],1
26,"ChieftanPhysicalAsFireCycle",1041,[100],0,[],[],"",0,1,[],1
27,"ChampionDamageAgainstImpaled",1226,"[6,12]",60,"[1,2,10]",[],"",0,1,[],1
28,"SaboteurBlind",1492,[],35,[3],[9],"",0,1,[],1
29,"AuguryOfPenitence",563,"[16,-8]",60,[3],[],"",0,1,[],1
30,"OccultistNearbyChilledEnemiesReducedHitDamage",1224,[-10],60,[3],[],"",0,1,[],1
31,"OccultistNearbyHinderedEnemiesReducedDotDamage",1225,[-15],60,[3],[],"",0,1,[],1
32,"SlayerCritMultiplier",1316,[-30],60,[3],[],"",0,1,[],1
33,"GuardianDamageSpeedAreaIntimidate",1337,"[20,30,100,100]",60,"[2,10]",[],"",0,1,[],1
34,"AfflictionNearbyEnemiesChilled",1492,[],30,[3],[1],"",0,1,[],1
35,"AfflictionNearbyEnemiesFireExposure",1492,[],30,[3],"[3,-10]","",0,1,[],1
36,"ReplenishingPresenceLifeRegenAura",1536,[60],60,"[1,2,10]",[],"",0,1,[],1
37,"DeadeyeTailwind",1062,[-8],60,"[1,2,10]",[],"",0,1,[],1
38,"ScionTailwind",1062,[-8],60,"[1,2,10]",[],"",0,1,[],1
39,"UltimatumDealNoDamageFor2SecondEvery8Seconds",1817,[],0,[],"[8000,2000]","",0,1,[],1
40,"UltimatumLoseChargesEverySecond",1818,[],0,[],[1000],"",0,1,[],1
41,"UltimatumAltarProtection",1821,[],22,"[3,10]",[],1540,0,1,[],1
42,"UltimatumRecoveryDebuff2",1772,"[-60,-60,-60]",0,[],[],"",0,1,[],1
43,"WitherNearbyEnemiesRoyale",1221,[5000],0,[],[],"",0,1,[],1
44,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostLow",1801,[50],0,[],[],"",0,1,[],1
45,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostMid",1801,[200],0,[],[],"",0,1,[],1
46,"AuguryOfPenitenceRoyale",563,"[10,-5]",30,[3],[],"",0,1,[],1
47,"NearbyEnemiesChilledRoyale",1492,[],20,[3],[1],"",0,1,[],1
48,"MonsterAuraPhysicalThorns1",81,[0],36,"[1,2]",[],"",0,1,[564],1
49,"MonsterAuraElementalThorns1",82,[0],36,"[1,2]",[],"",0,1,[565],1
50,"MonsterAuraMediumDamage1",85,[0],50,"[1,2]",[],"",0,1,[26],1
51,"MonsterAuraLargeDamage1",86,[0],50,"[1,2]",[],"",0,1,[26],1
52,"MonsterAuraLargeDamageUniqueMap",86,[0],50,[2],[],"",0,1,[26],1
53,"MonsterAuraSpeed1",87,"[0,0,0]",45,"[1,2]",[],"",0,1,"[70,216,177]",1
54,"StrIntMissionAuraSpeed1",87,"[0,0,0]",30,[2],[],"",0,1,"[70,216,177]",1
55,"MonsterAuraSpeedUniqueMap1",87,"[0,0,0]",50,[2],[],"",0,1,"[70,216,177]",1
56,"MonsterAuraLifeRegen1",88,[0],50,"[1,2]",[],"",0,1,[451],1
57,"MonsterAuraResists1",89,[0],50,"[1,2]",[],"",0,1,[141],1
58,"MonsterAuraEnergyShield1",90,[0],50,"[1,2]",[],"",0,1,[563],1
59,"StrIntMissionAuraEnergyShield1",90,[0],30,[2],[],"",0,1,[563],1
60,"MonsterAuraAccuracyAndCrits1",92,"[0,0]",50,"[1,2]",[],"",0,1,"[84,554]",1
61,"MonsterImplicitAuraAccuracyAndCrits",92,"[0,0]",50,"[1,2]",[],"",0,1,"[84,554]",1
62,"MonsterImplicitAuraAccuracyAndCritsSextant",92,"[0,0]",140,"[1,2]",[],"",0,1,"[84,554]",1
63,"MonsterAuraEnemyLifeDegen1",93,[0],50,[3],[],"",0,1,[452],1
64,"MonsterAuraEnemyLifeDegen2_",93,[0],50,[3],[],"",0,1,[452],1
65,"MonsterAuraEssenceEnemyLifeDegen1",98,[0],50,[3],[],"",0,1,[452],1
66,"MonsterAuraEnemyLifeDegenDexMission",93,[0],50,[3],[],"",0,1,[452],1
67,"MonsterAuraEnemyLifeDegenCold",582,[0],10,[3],[],"",0,1,[3871],1
68,"MonsterAuraEnemyLifeDegenFire",581,[0],10,[3],[],"",0,1,[2533],1
69,"MonsterAuraEnemyLifeDegenLightning",583,[0],10,[3],[],"",0,1,[3872],1
70,"MonsterAuraElementalDamage1",97,[0],50,"[1,2]",[],"",0,1,[486],1
71,"MonsterThornsPhysical1",981,[],0,[],[],779,0,1,[],1
72,"MonsterThornsElemental1",982,[],0,[],[],780,0,1,[],1
73,"MonsterThornsPhysical1Large",981,[],0,[],[],781,0,1,[],1
74,"MonsterThornsElemental1Large",982,[],0,[],[],782,0,1,[],1
75,"StrIntMissionAuraElementalDamage1",97,[0],30,[2],[],"",0,1,[486],1
76,"MonsterImplicitAuraSpeed1",87,"[0,0,0]",45,"[1,2]",[],"",0,1,"[70,216,177]",1
77,"MonsterImplicitAuraSpeedSextant_",87,"[0,0,0]",140,"[1,2]",[],"",0,1,"[70,216,177]",1
