"rownum","Id","Name","Tier","MinLevel","RoomUpgrade_IncursionRoomsKey","[rid]","string","i32","rid","string","string","string","string","string","[rid]","i32","i32","i32","i32","rid"
0,"EntranceRoom","Entrance",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/entrance_01.arm",51448,"","","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Entrance","The tomb unsealed, what will it yield?","",[],90,1161,-16843010,-16843010,""
1,"Boss","Apex of Atzoatl",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/boss_main.arm",20539,"","","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossRoom","'Tis not the meek who reach the peak.","",[],90,464,-16843010,-16843010,""
2,"TEMPLATE_BlankRoom","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/room_blank.arm",15188,"","Metadata/Terrain/Leagues/Incursion/Rooms/room_blank_past.arm","","","","",[],90,1161,-16843010,-16843010,""
3,"TEMPLATE_LockedDoor1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_01_01.arm",33435,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_past_01_01.arm","","","","",[],90,1161,-16843010,-16843010,""
4,"TEMPLATE_LockedDoor2","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_02_01.arm",20548,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_past_02_01.arm","","","","",[],90,1161,-16843010,-16843010,""
5,"TEMPLATE_OpenDoor1Trap1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap1.arm",17985,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1161,-16843010,-16843010,""
6,"TEMPLATE_OpenDoor1Trap2","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap2.arm",22436,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1161,-16843010,-16843010,""
7,"TEMPLATE_OpenDoor1Trap3","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap3.arm",16661,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1161,-16843010,-16843010,""
8,"TEMPLATE_OpenDoor1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_01.arm",42086,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1161,-16843010,-16843010,""
9,"TEMPLATE_OpenDoor2Trap1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_Trap1.arm",64909,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","",[],90,1161,-16843010,-16843010,""
10,"TEMPLATE_OpenDoor2Trap2","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_Trap2.arm",34812,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","",[],90,1161,-16843010,-16843010,""
11,"TEMPLATE_OpenDoor2Trap3","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_Trap3.arm",24216,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","",[],90,1161,-16843010,-16843010,""
12,"TEMPLATE_OpenDoor2","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_01.arm",61239,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","",[],90,1161,-16843010,-16843010,""
13,"PoisonRoomI","Poison Garden",1,0,35,"[15011,15096]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/poison_present_1.arm",56998,0,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/poison_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/PoisonRoom","Sweet scents mask foul intents.","Spreads poisonous plants throughout the Temple.",[],55,71,-16843010,-16843010,""
14,"SacrificeRoomI","Sacrificial Chamber",1,0,36,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/sacrificialchamber_present_1.arm",50849,1,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/sacrificialchamber_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_black.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/SacrificeRoom","Sacred words read to bless the dead.","Allows you to sacrifice a unique item.\nAhuana drops an additional Unique Item.",[],61,72,-16843010,-16843010,""
15,"StormRoomI","Tempest Generator",1,0,37,"[15078,15064]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/storm_present_1.arm",37180,2,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/storm_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/StormRoom","White mists form a quiet storm.","Adds certain Tempests to the Temple.\nBuffs from Tempests have 50% increased duration.",[],64,73,-16843010,-16843010,""
16,"TrapRoomI","Trap Workshop",1,0,38,"[15040,15067,15090]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/trap_present_1.arm",4946,3,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/trap_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_white.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/TrapRoom","From the hollows, death soon follows.","Monsters throughout the Temple have increased area of effect.\nAdds traps throughout the Temple.",[],67,74,-16843010,-16843010,""
17,"CartographyRoomI","Surveyor's Study",1,68,39,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/cartography_present_1.arm",54001,4,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/cartography_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_white.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/CartographyRoom","Borders drawn; liberties gone. ","Contains chests full of maps.",[],22,75,-16843010,-16843010,""
18,"QueensChambersI","Royal Meeting Room",1,68,40,"[15055,15108]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/queenschamber_present_1.arm",42889,5,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/queenschamber_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_yellow.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/QueensChambers","A few beguile the rank and file.","Increases the number of magic monsters throughout the Temple. ",[],58,76,-16843010,-16843010,""
19,"ChestsI","Storage Room",1,0,41,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/chests_present_1.arm",25231,6,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/chests_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Chests","Relics rust and gather dust.","Contains chests full of items.",[],25,77,-16843010,-16843010,""
20,"CorruptionRoomI","Corruption Chamber",1,0,42,"[15018,15114]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/corruption_present_1.arm",7940,7,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/corruption_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_red.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/CorruptionRoom","Powers dance with fate and chance.","Reduces player maximum resistances throughout the Temple.",[],28,78,-16843010,-16843010,""
21,"ExplosivesRoomI","Explosives Room",1,0,43,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/explosives_present_1.arm",51256,8,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/explosives_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_yellow.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/ExplosivesRoom","Cogs assemble to make walls tremble.","Contains an Explosive Charge.\nContains one Sealed Coffer.",[],46,79,-16843010,-16843010,""
22,"ArmourRoomI","Armourer's Workshop",1,0,44,"[15043,15067]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/armour_present_1.arm",47840,9,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/armour_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/ArmourRoom","An opus penned through metal's bend.","Monsters throughout the Temple have increased resistances.\nContains chests full of armour.",[],13,80,-16843010,-16843010,""
23,"WeaponRoomI","Sparring Room",1,0,45,"[15046,15067]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/weapons_present_1.arm",20517,10,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/weapons_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_red.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/WeaponRoom","A sharpened blade breaks the charade.","Increases monster criticals throughout the Temple.\nContains chests full of weapons.",[],73,81,-16843010,-16843010,""
24,"BreedingRoomI","Guardhouse",1,0,46,[15021],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/breeding_present_1.arm",47693,11,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/breeding_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BreedingRoom","Stoic they stand at their Queen's demand.","Increases monster pack size throughout the Temple.",[],19,82,-16843010,-16843010,""
