"rownum","NPCsKey","MonsterVarietiesKey","SkillLevel_HeistJobsKeys","PortraitFile","HeistNPCStatsKeys","StatValues","f32","SkillLevel_Values","Name","SilhouetteFile","i32","i32","HeistNPCsKey","StatValues2","Ally_NPCsKey","ActiveNPCIcon","HeistJobsKey","Equip_AchievementItemsKeys","AOFile","rid"
0,455,8028,"[0,2,6]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KarstCharacterPortrait",[112],[-15],1.1,"[5,3,2]","Karst, the Lockpick","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KarstCharacterSilhouette",1161,0,"",[-5],442,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/KarstIcon",0,[7325],"Metadata/NPC/League/Heist/Karst/Karst.ao",45
1,456,8029,"[4,7]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NilesCharacterPortrait","[57,106]","[1,1]",1.2,"[5,4]","Niles, the Interrogator","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NilesCharacterSilhouette",742,50,2,"[0,0]",443,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/NilesIcon",4,[7326],"Metadata/NPC/League/Heist/Niles/Niles.ao",46
2,457,8030,"[0,1,3,8]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/HuckCharacterPortrait","[107,133]","[1,5]",0.7,"[3,3,3,3]","Huck, the Soldier","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/HuckCharacterSilhouette",739,50,0,"[0,5]",444,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/HuckIcon","",[7327],"Metadata/NPC/League/Heist/Huck/Huck.ao",47
3,458,8031,"[1,3]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TibbsCharacterPortrait",[58],[1],0.9,"[5,4]","Tibbs, the Giant","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TibbsCharacterSilhouette",1161,0,"",[0.2],445,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/TibbsIcon",1,[7328],"Metadata/NPC/League/Heist/Tibbs/Tibbs.ao",48
4,459,8033,"[2,4]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NenetCharacterPortrait","[108,113]","[1,-5]",1,"[5,4]","Nenet, the Scout","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NenetCharacterSilhouette",741,50,6,"[0,-3]",446,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/NenetIcon",2,[7329],"Metadata/NPC/League/Heist/Nenet/Nenet.ao",49
5,460,8034,"[3,5,8]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/VinderiCharacterPortrait","[114,56]","[10,4]",1.2,"[5,5,2]","Vinderi, the Dismantler","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/VinderiCharacterSilhouette",743,50,1,"[4,2]",447,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/VinderiIcon",3,[7330],"Metadata/NPC/League/Heist/Vinderi/Vinderi.ao",50
6,461,8035,"[6,0,5]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TullinaCharacterPortrait","[109,115]","[6,-4]",0.9,"[5,3,2]","Tullina, the Catburglar","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TullinaCharacterSilhouette",740,50,3,"[4,-2]",448,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/TullinaIcon",6,[7331],"Metadata/NPC/League/Heist/Tullina/Tullina.ao",51
7,462,8036,"[7,2,4]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/GiannaCharacterPortrait","[106,110]","[1,-5]",1.1,"[5,2,3]","Gianna, the Master of Disguise","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/GiannaCharacterSilhouette",744,50,5,"[0,-5]",449,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/GiannaIcon",7,[7332],"Metadata/NPC/League/Heist/Gianna/Gianna.ao",52
8,463,8038,"[8,5]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/IslaCharacterPortrait","[16,116]","[25,25]",1,"[5,4]","Isla, the Engineer","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/IslaCharacterSilhouette",1161,0,"","[5,5]",450,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/IslaIcon",8,[7333],"Metadata/NPC/League/Heist/Isla/Isla.ao",53
9,453,8040,[2],"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/AdiyahCharacterPortrait",[],[],1,[5],"Adiyah, the Wayfinder","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/AdiyahCharacterSilhouette",1161,0,"",[],471,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/AdiyahIcon",2,[],"Metadata/NPC/League/Heist/Adiyah/Adiyah.ao",""
10,451,8041,[0],"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KuraCharacterPortrait",[],[],1,[5],"Kurai, the Administrator","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KuraCharacterSilhouette",1161,0,"",[],472,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/KuraiIcon",0,[],"Metadata/NPC/League/Heist/Kura/Kura.ao",""
