"rownum","BaseItemTypesKey","Name","Group","LifePerUse","ManaPerUse","RecoveryTime","BuffDefinitionsKey","BuffStatValues","RecoveryTime2","BuffStatValues2"
0,4749,"Small Life Flask",1,70,0,30,"",[],30,[]
1,4750,"Medium Life Flask",1,150,0,35,"",[],35,[]
2,4751,"Large Life Flask",1,250,0,35,"",[],35,[]
3,4752,"Greater Life Flask",1,360,0,35,"",[],35,[]
4,4753,"Grand Life Flask",1,640,0,30,"",[],30,[]
5,4754,"Giant Life Flask",1,830,0,40,"",[],40,[]
6,4755,"Colossal Life Flask",1,1000,0,35,"",[],35,[]
7,4756,"Sacred Life Flask",1,1200,0,30,"",[],30,[]
8,4757,"Hallowed Life Flask",1,1990,0,40,"",[],40,[]
9,4758,"Sanctified Life Flask",1,1460,0,15,"",[],15,[]
10,4759,"Divine Life Flask",1,2400,0,35,"",[],35,[]
11,4760,"Eternal Life Flask",1,2080,0,20,"",[],20,[]
12,4761,"Small Life Flask",1,70,0,40,"",[],40,[]
13,4762,"Medium Life Flask",1,130,0,50,"",[],50,[]
14,4763,"Large Life Flask",1,200,0,60,"",[],60,[]
15,4764,"Small Mana Flask",2,0,50,30,"",[],30,[]
16,4765,"Medium Mana Flask",2,0,70,35,"",[],35,[]
17,4766,"Large Mana Flask",2,0,90,40,"",[],40,[]
18,4767,"Greater Mana Flask",2,0,120,40,"",[],40,[]
19,4768,"Grand Mana Flask",2,0,170,45,"",[],45,[]
20,4769,"Giant Mana Flask",2,0,250,50,"",[],50,[]
21,4770,"Colossal Mana Flask",2,0,350,50,"",[],50,[]
22,4771,"Sacred Mana Flask",2,0,480,55,"",[],55,[]
23,4772,"Hallowed Mana Flask",2,0,700,60,"",[],60,[]
24,4773,"Sanctified Mana Flask",2,0,1100,65,"",[],65,[]
25,4774,"Divine Mana Flask",2,0,1400,50,"",[],50,[]
26,4775,"Eternal Mana Flask",2,0,1800,70,"",[],70,[]
27,4776,"Small Hybrid Flask",3,100,70,50,"",[],50,[]
28,4777,"Medium Hybrid Flask",3,230,100,50,"",[],50,[]
29,4778,"Large Hybrid Flask",3,510,140,50,"",[],50,[]
30,4779,"Colossal Hybrid Flask",3,690,200,50,"",[],50,[]
31,4780,"Sacred Hybrid Flask",3,1440,400,50,"",[],50,[]
32,4781,"Hallowed Hybrid Flask",3,1740,480,50,"",[],50,[]
33,4782,"Diamond Flask",4,0,0,60,114,[100],60,[100]
34,4783,"Ruby Flask",4,0,0,80,115,"[50,-20]",80,"[50,-20]"
35,4784,"Sapphire Flask",4,0,0,80,116,"[50,-20]",80,"[50,-20]"
36,4785,"Topaz Flask",4,0,0,80,117,"[50,-20]",80,"[50,-20]"
37,4786,"Granite Flask",4,0,0,60,118,[1500],60,[1500]
38,4787,"Quicksilver Flask",4,0,0,60,119,[40],60,[40]
39,4788,"Amethyst Flask",4,0,0,65,120,[35],65,[35]
40,4789,"Quartz Flask",4,0,0,60,121,"[1,10]",60,"[1,10]"
41,4790,"Jade Flask",4,0,0,60,122,[1500],60,[1500]
42,4791,"Basalt Flask",4,0,0,80,123,[20],80,[20]
43,4792,"Aquamarine Flask",4,0,0,80,124,[-60],80,[-60]
44,4793,"Stibnite Flask",4,0,0,80,126,[20],80,[20]
45,4794,"Sulphur Flask",4,0,0,80,127,[40],80,[40]
46,4795,"Silver Flask",4,0,0,60,128,[1],60,[1]
47,4796,"Bismuth Flask",4,0,0,85,125,[35],85,[35]
48,4797,"Gold Flask",4,0,0,50,129,[30],50,[30]
49,4798,"Corundum Flask",4,0,0,75,1855,[30],75,[30]
50,4799,"Iron Flask",4,0,0,50,130,[200],50,[200]
