"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","i32","i32","i32","rid","i32","bool"
0,168,[163],1205,0,990,2604,287,125,42,""
1,169,[171],1207,1,2604,2604,112,115,42,""
2,326,"[340,325]",1208,2,2604,2604,606,117,42,""
3,338,"[24,226,337]",1204,3,2604,243,1161,11,42,1
4,333,"[328,331]",1209,4,2604,2604,68,118,42,""
5,336,[334],1210,5,2604,2604,592,126,42,""
6,130,[114],1206,6,2604,2604,91,106,42,""
7,392,"[390,391]",1211,13,2604,2604,372,130,42,""
8,396,[393],1212,14,2604,2604,660,131,42,""
9,407,[405],1213,15,2604,2604,351,105,42,""
10,499,[499],1214,21,2604,2604,1092,"",40,1
11,508,[500],1215,22,2604,2604,1093,"",40,1
12,509,[501],1216,23,2604,2604,1094,"",40,1
13,510,[502],1217,24,2604,2604,1095,"",40,1
14,518,"[516,517]",1218,26,2604,2604,1155,"",41,1
